date,Nonny de la Peña,Anote Tong,Genevieve von Petzinger,Ann Morgan,Iraola,isPartial
2004-01-01,0,0,0,42,14,False
2004-02-01,0,9,0,33,36,False
2004-03-01,0,0,0,48,11,False
2004-04-01,0,0,0,37,12,False
2004-05-01,0,7,0,37,10,False
2004-06-01,0,0,0,27,11,False
2004-07-01,0,0,0,31,10,False
2004-08-01,0,0,0,19,12,False
2004-09-01,0,0,0,22,17,False
2004-10-01,0,0,0,27,16,False
2004-11-01,0,7,0,18,20,False
2004-12-01,0,0,0,40,13,False
2005-01-01,0,0,0,29,18,False
2005-02-01,0,0,0,35,15,False
2005-03-01,0,0,0,24,11,False
2005-04-01,0,0,0,16,15,False
2005-05-01,0,5,0,26,16,False
2005-06-01,0,5,0,14,18,False
2005-07-01,0,0,0,31,15,False
2005-08-01,5,0,0,30,13,False
2005-09-01,0,4,0,19,17,False
2005-10-01,0,0,0,26,16,False
2005-11-01,0,0,0,31,16,False
2005-12-01,0,0,0,24,13,False
2006-01-01,0,0,0,29,10,False
2006-02-01,0,0,0,24,13,False
2006-03-01,0,0,0,26,23,False
2006-04-01,3,0,0,22,14,False
2006-05-01,0,0,0,14,14,False
2006-06-01,0,0,0,29,16,False
2006-07-01,0,3,0,24,19,False
2006-08-01,0,0,0,15,12,False
2006-09-01,0,0,0,17,10,False
2006-10-01,0,3,0,13,16,False
2006-11-01,0,2,0,20,15,False
2006-12-01,0,0,0,17,13,False
2007-01-01,0,0,0,19,16,False
2007-02-01,0,0,0,23,14,False
2007-03-01,0,0,0,19,23,False
2007-04-01,0,0,0,20,15,False
2007-05-01,0,0,0,17,15,False
2007-06-01,0,2,0,21,16,False
2007-07-01,0,0,0,19,13,False
2007-08-01,0,2,0,20,10,False
2007-09-01,0,2,0,22,19,False
2007-10-01,0,0,0,16,14,False
2007-11-01,0,0,0,21,12,False
2007-12-01,0,0,0,23,17,False
2008-01-01,0,0,0,23,11,False
2008-02-01,0,0,0,15,17,False
2008-03-01,0,0,0,21,15,False
2008-04-01,1,0,0,24,16,False
2008-05-01,0,1,0,18,16,False
2008-06-01,0,3,0,27,14,False
2008-07-01,0,2,0,22,9,False
2008-08-01,0,1,0,21,19,False
2008-09-01,0,1,0,23,21,False
2008-10-01,0,1,0,23,18,False
2008-11-01,0,1,0,19,19,False
2008-12-01,0,1,0,28,15,False
2009-01-01,0,1,0,21,18,False
2009-02-01,0,1,0,23,21,False
2009-03-01,0,2,0,18,14,False
2009-04-01,0,1,0,14,19,False
2009-05-01,0,1,0,22,24,False
2009-06-01,0,1,0,24,16,False
2009-07-01,1,1,0,20,16,False
2009-08-01,0,1,0,29,19,False
2009-09-01,0,1,1,25,23,False
2009-10-01,0,1,0,21,17,False
2009-11-01,0,2,0,20,22,False
2009-12-01,0,1,0,27,16,False
2010-01-01,0,0,0,20,21,False
2010-02-01,0,1,2,21,11,False
2010-03-01,0,0,1,18,16,False
2010-04-01,0,0,1,33,16,False
2010-05-01,0,1,0,22,14,False
2010-06-01,0,1,1,28,17,False
2010-07-01,0,1,0,22,12,False
2010-08-01,0,0,0,20,16,False
2010-09-01,0,1,0,21,19,False
2010-10-01,0,1,1,25,21,False
2010-11-01,1,1,1,26,25,False
2010-12-01,0,1,1,23,21,False
2011-01-01,1,1,0,24,17,False
2011-02-01,0,0,1,21,23,False
2011-03-01,1,0,1,24,27,False
2011-04-01,0,0,1,25,20,False
2011-05-01,0,1,1,21,19,False
2011-06-01,0,0,0,32,20,False
2011-07-01,0,0,1,27,17,False
2011-08-01,0,0,0,19,25,False
2011-09-01,1,1,0,16,20,False
2011-10-01,0,1,1,19,19,False
2011-11-01,0,0,1,18,17,False
2011-12-01,0,0,0,23,16,False
2012-01-01,0,1,0,17,15,False
2012-02-01,0,1,0,17,18,False
2012-03-01,0,1,0,21,33,False
2012-04-01,0,0,0,20,20,False
2012-05-01,0,1,0,21,24,False
2012-06-01,0,0,0,15,19,False
2012-07-01,0,0,0,23,14,False
2012-08-01,0,1,0,20,14,False
2012-09-01,0,0,0,23,16,False
2012-10-01,0,1,0,25,15,False
2012-11-01,0,1,0,19,16,False
2012-12-01,0,0,0,22,14,False
2013-01-01,0,0,0,23,14,False
2013-02-01,0,1,0,19,15,False
2013-03-01,0,1,0,21,14,False
2013-04-01,0,1,0,18,15,False
2013-05-01,0,1,0,17,12,False
2013-06-01,0,1,0,21,14,False
2013-07-01,0,0,0,20,14,False
2013-08-01,0,0,0,22,14,False
2013-09-01,0,0,1,19,18,False
2013-10-01,0,0,0,19,16,False
2013-11-01,0,1,0,19,14,False
2013-12-01,0,1,0,16,15,False
2014-01-01,0,0,0,23,13,False
2014-02-01,0,1,0,19,15,False
2014-03-01,0,1,0,20,17,False
