date,Alyssa Monks,Tasos Frantzolas,Silk Road Ensemble + Rhiannon Giddens,Kelli Jean Drinkwater,Iraola,isPartial
2004-01-01,11,0,16,0,16,False
2004-02-01,0,0,0,0,43,False
2004-03-01,13,0,0,0,13,False
2004-04-01,0,0,10,0,14,False
2004-05-01,0,0,0,0,12,False
2004-06-01,0,0,0,0,13,False
2004-07-01,9,0,0,0,12,False
2004-08-01,9,0,13,0,14,False
2004-09-01,0,0,8,0,20,False
2004-10-01,0,0,8,0,19,False
2004-11-01,0,0,0,0,24,False
2004-12-01,0,0,0,0,15,False
2005-01-01,7,0,7,0,22,False
2005-02-01,7,0,7,0,17,False
2005-03-01,0,0,6,0,14,False
2005-04-01,7,0,20,0,17,False
2005-05-01,0,0,9,0,19,False
2005-06-01,0,0,13,0,21,False
2005-07-01,0,0,0,0,18,False
2005-08-01,0,0,8,0,15,False
2005-09-01,5,0,5,0,21,False
2005-10-01,0,5,5,0,19,False
2005-11-01,5,0,0,0,19,False
2005-12-01,0,0,14,0,16,False
2006-01-01,0,0,8,0,12,False
2006-02-01,0,0,6,0,16,False
2006-03-01,11,0,4,0,27,False
2006-04-01,8,0,4,0,17,False
2006-05-01,0,0,4,0,17,False
2006-06-01,4,0,8,0,19,False
2006-07-01,4,0,26,0,23,False
2006-08-01,7,0,3,3,14,False
2006-09-01,4,0,3,3,12,False
2006-10-01,3,0,8,0,19,False
2006-11-01,3,0,4,3,18,False
2006-12-01,0,0,5,0,15,False
2007-01-01,3,0,3,0,20,False
2007-02-01,0,3,5,0,17,False
2007-03-01,7,0,2,0,28,False
2007-04-01,0,0,3,0,18,False
2007-05-01,2,0,3,0,18,False
2007-06-01,2,0,2,0,19,False
2007-07-01,0,0,2,0,16,False
2007-08-01,2,0,5,0,12,False
2007-09-01,0,0,4,0,23,False
2007-10-01,0,0,2,0,17,False
2007-11-01,2,0,4,0,15,False
2007-12-01,3,0,3,0,20,False
2008-01-01,2,0,5,0,13,False
2008-02-01,2,0,3,0,21,False
2008-03-01,2,0,3,0,18,False
2008-04-01,2,0,0,0,19,False
2008-05-01,2,2,4,0,19,False
2008-06-01,2,0,4,0,17,False
2008-07-01,0,0,2,0,11,False
2008-08-01,2,2,3,0,23,False
2008-09-01,1,0,6,0,25,False
2008-10-01,1,0,3,0,22,False
2008-11-01,4,0,3,0,22,False
2008-12-01,1,0,4,0,18,False
2009-01-01,3,0,3,0,21,False
2009-02-01,2,0,4,0,25,False
2009-03-01,1,0,6,0,17,False
2009-04-01,2,0,2,0,22,False
2009-05-01,3,0,6,0,28,False
2009-06-01,2,0,7,0,19,False
2009-07-01,2,0,2,0,19,False
2009-08-01,4,0,2,0,23,False
2009-09-01,34,0,5,0,27,False
2009-10-01,7,0,4,0,20,False
2009-11-01,6,0,3,0,26,False
2009-12-01,3,0,2,1,19,False
2010-01-01,3,0,3,0,25,False
2010-02-01,4,0,2,0,13,False
2010-03-01,5,0,3,1,19,False
2010-04-01,7,0,3,0,20,False
2010-05-01,5,0,3,0,17,False
2010-06-01,4,0,3,0,21,False
2010-07-01,6,0,5,0,15,False
2010-08-01,7,0,8,0,19,False
2010-09-01,4,0,3,0,23,False
2010-10-01,8,0,4,0,25,False
2010-11-01,4,0,2,0,30,False
2010-12-01,5,0,3,1,25,False
2011-01-01,7,0,2,0,20,False
2011-02-01,6,0,3,0,27,False
2011-03-01,7,0,6,1,33,False
2011-04-01,6,0,4,0,24,False
2011-05-01,7,0,2,0,22,False
2011-06-01,5,0,3,1,23,False
2011-07-01,2,0,2,0,20,False
2011-08-01,3,0,2,0,30,False
2011-09-01,6,0,2,0,24,False
2011-10-01,5,0,2,1,23,False
2011-11-01,7,0,3,0,20,False
2011-12-01,6,0,10,0,19,False
2012-01-01,7,0,4,0,18,False
2012-02-01,7,0,3,0,21,False
2012-03-01,7,0,4,1,39,False
2012-04-01,8,0,3,1,24,False
2012-05-01,6,0,3,0,29,False
2012-06-01,8,0,3,0,23,False
2012-07-01,39,0,2,0,16,False
2012-08-01,7,0,2,0,17,False
2012-09-01,15,0,2,1,19,False
2012-10-01,10,0,4,0,18,False
2012-11-01,7,0,2,0,19,False
2012-12-01,11,0,3,0,17,False
2013-01-01,9,0,2,0,17,False
2013-02-01,14,0,4,0,18,False
2013-03-01,7,0,5,0,16,False
2013-04-01,11,0,3,0,18,False
2013-05-01,11,0,2,0,15,False
2013-06-01,7,0,2,0,17,False
2013-07-01,8,0,5,0,17,False
2013-08-01,6,0,3,0,17,False
2013-09-01,6,0,5,0,21,False
2013-10-01,8,0,6,0,19,False
2013-11-01,8,0,3,0,17,False
2013-12-01,9,0,13,0,18,False
2014-01-01,8,0,9,0,16,False
2014-02-01,7,0,7,0,18,False
2014-03-01,6,0,6,0,20,False
2014-04-01,6,0,5,0,16,False
2014-05-01,4,0,8,0,18,False
2014-06-01,4,0,4,0,15,False
2014-07-01,4,0,4,0,18,False
2014-08-01,6,0,2,0,24,False
2014-09-01,8,0,13,0,25,False
2014-10-01,5,0,5,0,20,False
2014-11-01,3,0,22,0,18,False
2014-12-01,4,0,28,0,16,False
2015-01-01,6,0,32,1,15,False
