date,Ji-Hae Park,Jackson Katz,Hendrik Poinar,Lisa Bu,Iraola,isPartial
2017-10-01,0,22,0,3,16,False
2017-11-01,0,10,0,2,14,False
2017-12-01,0,7,0,2,14,False
2018-01-01,0,6,1,4,19,False
2018-02-01,0,6,0,5,17,False
2018-03-01,1,7,0,5,14,False
2018-04-01,0,5,0,3,16,False
2018-05-01,0,4,0,4,17,False
2018-06-01,0,4,0,3,17,False
2018-07-01,1,4,1,1,16,False
2018-08-01,0,7,0,2,17,False
2018-09-01,0,12,0,2,18,False
2018-10-01,1,17,1,3,20,False
2018-11-01,0,7,1,3,17,False
2018-12-01,0,4,0,3,16,False
2019-01-01,0,4,0,3,16,False
2019-02-01,0,5,0,3,19,False
2019-03-01,0,5,0,4,15,False
2019-04-01,0,3,0,2,19,False
2019-05-01,0,3,0,1,16,False
2019-06-01,0,4,0,2,17,False
2019-07-01,0,4,1,2,24,False
2019-08-01,0,5,0,3,20,False
2019-09-01,0,5,0,5,17,False
2019-10-01,0,6,0,2,16,False
2019-11-01,0,6,0,3,16,False
2019-12-01,0,3,0,2,19,False
2020-01-01,0,5,0,4,28,False
2020-02-01,0,7,0,5,54,False
2020-03-01,0,4,0,4,21,False
2020-04-01,0,4,0,4,17,False
2020-05-01,0,4,0,3,14,False
2020-06-01,0,4,0,5,16,False
2020-07-01,0,3,0,2,34,False
2020-08-01,0,3,0,5,27,False
2020-09-01,0,6,0,7,19,False
2020-10-01,0,7,0,5,21,False
