date,Melissa Walker,Jim Hemerling,Trevor Copp and Jeff Fox,Todd Coleman,Iraola,isPartial
2004-01-01,30,0,0,15,23,False
2004-02-01,0,0,0,15,60,False
2004-03-01,25,0,0,28,18,False
2004-04-01,14,0,0,21,19,False
2004-05-01,29,0,0,17,17,False
2004-06-01,25,0,0,0,19,False
2004-07-01,26,0,0,13,17,False
2004-08-01,12,0,0,18,20,False
2004-09-01,39,0,0,11,28,False
2004-10-01,40,0,0,11,26,False
2004-11-01,19,0,0,0,34,False
2004-12-01,25,0,0,10,21,False
2005-01-01,12,0,0,0,31,False
2005-02-01,16,0,0,20,24,False
2005-03-01,14,0,0,16,19,False
2005-04-01,18,0,0,12,24,False
2005-05-01,28,0,0,19,27,False
2005-06-01,11,0,0,16,29,False
2005-07-01,19,0,0,12,25,False
2005-08-01,13,0,0,12,21,False
2005-09-01,26,0,0,17,29,False
2005-10-01,18,0,0,10,27,False
2005-11-01,13,0,0,7,27,False
2005-12-01,15,7,0,13,22,False
2006-01-01,17,0,0,9,17,False
2006-02-01,18,6,0,12,22,False
2006-03-01,20,0,0,18,38,False
2006-04-01,20,0,0,8,24,False
2006-05-01,13,0,0,20,24,False
2006-06-01,21,0,0,18,27,False
2006-07-01,19,0,0,11,32,False
2006-08-01,13,0,0,15,20,False
2006-09-01,11,0,0,19,17,False
2006-10-01,11,0,0,4,27,False
2006-11-01,11,0,0,10,25,False
2006-12-01,7,0,0,10,22,False
2007-01-01,12,0,0,7,27,False
2007-02-01,8,0,0,8,24,False
2007-03-01,14,0,0,9,39,False
2007-04-01,19,0,0,8,25,False
2007-05-01,15,0,0,20,25,False
2007-06-01,21,3,0,18,27,False
2007-07-01,15,0,0,14,22,False
2007-08-01,13,0,0,11,17,False
2007-09-01,38,0,0,12,32,False
2007-10-01,15,3,0,26,24,False
2007-11-01,9,0,0,12,21,False
2007-12-01,12,0,0,15,28,False
2008-01-01,14,0,0,22,18,False
2008-02-01,16,2,0,15,29,False
2008-03-01,15,2,0,9,25,False
2008-04-01,17,0,0,12,27,False
2008-05-01,16,0,0,16,27,False
2008-06-01,16,0,0,8,24,False
2008-07-01,10,0,0,7,15,False
2008-08-01,17,0,0,22,32,False
2008-09-01,16,0,0,6,35,False
2008-10-01,12,0,0,7,30,False
2008-11-01,14,0,0,5,31,False
2008-12-01,12,0,0,9,25,False
2009-01-01,13,0,0,8,30,False
2009-02-01,14,0,0,9,35,False
2009-03-01,16,0,0,6,24,False
2009-04-01,20,0,0,9,32,False
2009-05-01,20,0,0,9,39,False
2009-06-01,13,0,0,7,27,False
2009-07-01,10,0,0,10,26,False
2009-08-01,14,2,0,21,32,False
2009-09-01,15,0,0,20,38,False
2009-10-01,16,0,0,30,28,False
2009-11-01,10,0,0,13,36,False
2009-12-01,12,0,0,16,27,False
2010-01-01,12,0,0,22,35,False
2010-02-01,10,0,0,13,18,False
2010-03-01,10,0,0,11,26,False
2010-04-01,14,0,0,10,27,False
2010-05-01,17,1,0,87,24,False
2010-06-01,12,0,0,48,29,False
2010-07-01,14,0,0,10,20,False
2010-08-01,12,0,0,11,27,False
2010-09-01,13,1,0,3,32,False
2010-10-01,12,0,0,5,34,False
2010-11-01,11,0,0,6,42,False
2010-12-01,16,0,0,6,34,False
2011-01-01,15,0,0,7,28,False
2011-02-01,11,1,0,7,38,False
2011-03-01,14,0,0,7,46,False
2011-04-01,10,0,0,8,34,False
2011-05-01,13,0,0,10,31,False
2011-06-01,13,0,0,5,33,False
2011-07-01,16,0,0,7,28,False
2011-08-01,15,0,0,8,42,False
2011-09-01,11,0,0,6,34,False
2011-10-01,11,0,0,8,32,False
2011-11-01,11,1,0,12,28,False
2011-12-01,14,0,0,8,27,False
2012-01-01,11,0,0,6,25,False
2012-02-01,14,0,0,6,30,False
2012-03-01,13,0,0,8,54,False
2012-04-01,13,0,0,6,34,False
2012-05-01,16,0,0,9,41,False
2012-06-01,12,0,0,6,32,False
2012-07-01,8,0,0,8,23,False
