date,Melissa Walker,Jim Hemerling,Trevor Copp and Jeff Fox,Todd Coleman,Iraola,isPartial
2012-08-01,16,0,0,7,24,False
2012-09-01,12,0,0,6,26,False
2012-10-01,12,0,0,7,25,False
2012-11-01,12,0,0,7,27,False
2012-12-01,12,0,0,7,23,False
2013-01-01,9,0,0,19,24,False
2013-02-01,13,0,0,8,25,False
2013-03-01,11,0,0,7,23,False
2013-04-01,10,0,0,8,25,False
2013-05-01,11,0,0,7,21,False
2013-06-01,11,0,0,7,23,False
2013-07-01,12,0,0,10,23,False
2013-08-01,12,0,0,9,24,False
2013-09-01,8,0,0,4,30,False
2013-10-01,8,0,0,7,26,False
2013-11-01,10,0,0,6,24,False
2013-12-01,39,0,0,11,25,False
2014-01-01,13,1,0,10,22,False
2014-02-01,14,0,0,7,25,False
2014-03-01,11,0,0,8,28,False
2014-04-01,13,0,0,6,22,False
2014-05-01,11,1,0,8,25,False
2014-06-01,9,0,0,7,21,False
2014-07-01,9,0,0,6,26,False
2014-08-01,11,0,0,8,34,False
2014-09-01,11,0,0,8,35,False
2014-10-01,10,0,0,10,27,False
2014-11-01,13,0,0,8,26,False
2014-12-01,15,0,0,9,22,False
2015-01-01,18,0,0,7,21,False
2015-02-01,21,0,0,6,26,False
2015-03-01,20,0,0,8,37,False
2015-04-01,23,0,0,11,38,False
2015-05-01,17,0,0,9,100,False
2015-06-01,20,0,0,8,44,False
2015-07-01,14,0,0,10,50,False
2015-08-01,12,0,0,12,34,False
2015-09-01,9,0,0,11,30,False
2015-10-01,12,0,0,8,24,False
2015-11-01,8,0,0,8,23,False
2015-12-01,10,0,0,6,20,False
2016-01-01,7,0,0,6,24,False
2016-02-01,13,0,0,6,23,False
2016-03-01,10,0,0,5,26,False
2016-04-01,10,0,0,7,18,False
2016-05-01,8,0,0,4,32,False
2016-06-01,11,0,0,6,26,False
2016-07-01,10,0,0,5,28,False
2016-08-01,10,0,0,5,18,False
2016-09-01,10,0,0,6,25,False
2016-10-01,9,1,0,8,24,False
2016-11-01,11,2,0,8,33,False
2016-12-01,10,0,0,5,19,False
2017-01-01,7,0,0,6,18,False
2017-02-01,9,1,0,5,21,False
2017-03-01,8,0,0,5,18,False
2017-04-01,10,1,0,6,19,False
2017-05-01,8,0,0,4,24,False
2017-06-01,8,1,0,5,19,False
2017-07-01,7,0,0,6,20,False
2017-08-01,9,1,0,5,18,False
2017-09-01,8,1,0,6,18,False
2017-10-01,8,1,0,4,16,False
2017-11-01,11,1,0,5,14,False
2017-12-01,10,0,0,5,14,False
2018-01-01,10,1,0,5,19,False
2018-02-01,9,0,0,6,17,False
2018-03-01,8,1,0,3,14,False
2018-04-01,7,1,0,3,16,False
2018-05-01,10,0,0,3,17,False
2018-06-01,6,1,0,5,17,False
2018-07-01,7,1,0,3,16,False
2018-08-01,9,0,0,9,17,False
2018-09-01,5,1,0,5,18,False
2018-10-01,6,0,0,6,20,False
2018-11-01,7,1,0,4,17,False
2018-12-01,8,0,0,5,16,False
2019-01-01,6,1,0,5,16,False
2019-02-01,9,0,0,5,19,False
2019-03-01,6,1,0,4,15,False
2019-04-01,7,1,0,3,19,False
2019-05-01,6,0,0,4,16,False
2019-06-01,7,0,0,5,17,False
2019-07-01,6,1,0,7,24,False
2019-08-01,7,0,0,6,20,False
2019-09-01,7,0,0,6,17,False
2019-10-01,7,0,0,5,16,False
2019-11-01,7,1,0,8,16,False
2019-12-01,9,1,0,6,19,False
2020-01-01,7,0,0,4,28,False
2020-02-01,6,0,0,5,54,False
2020-03-01,5,1,0,7,21,False
2020-04-01,6,0,0,4,17,False
2020-05-01,6,1,0,5,14,False
2020-06-01,6,1,0,5,16,False
2020-07-01,7,1,0,5,34,False
2020-08-01,7,0,0,5,27,False
2020-09-01,6,1,0,4,19,False
2020-10-01,10,1,0,4,21,False
