date,Michelle Obama,Kaki King,Liz Coleman,Yann Arthus-Bertrand,Iraola,isPartial
2014-06-01,10,0,0,0,0,False
2014-07-01,11,0,0,0,0,False
2014-08-01,10,0,0,0,0,False
2014-09-01,12,0,0,0,0,False
2014-10-01,14,0,0,0,0,False
2014-11-01,12,0,0,0,0,False
2014-12-01,11,0,0,0,0,False
2015-01-01,16,0,0,0,0,False
2015-02-01,11,0,0,0,0,False
2015-03-01,22,0,0,0,1,False
2015-04-01,17,0,0,0,1,False
2015-05-01,14,0,0,0,1,False
2015-06-01,14,0,0,0,1,False
2015-07-01,11,0,0,0,1,False
2015-08-01,10,0,0,0,0,False
2015-09-01,14,0,0,1,0,False
2015-10-01,12,0,0,0,0,False
2015-11-01,11,0,0,0,0,False
2015-12-01,14,0,0,0,0,False
2016-01-01,15,0,0,0,0,False
2016-02-01,13,0,0,0,0,False
2016-03-01,18,0,0,0,0,False
2016-04-01,12,0,0,0,0,False
2016-05-01,16,0,0,0,0,False
2016-06-01,13,0,0,0,0,False
2016-07-01,79,0,0,0,0,False
2016-08-01,19,0,0,0,0,False
2016-09-01,28,0,0,0,0,False
2016-10-01,48,0,0,0,0,False
2016-11-01,57,0,0,0,0,False
2016-12-01,30,0,0,0,0,False
2017-01-01,84,0,0,0,0,False
2017-02-01,22,0,0,0,0,False
2017-03-01,15,0,0,0,0,False
2017-04-01,15,0,0,0,0,False
2017-05-01,15,0,0,0,0,False
2017-06-01,9,0,0,0,0,False
2017-07-01,10,0,0,0,0,False
2017-08-01,12,0,0,0,0,False
2017-09-01,11,0,0,0,0,False
2017-10-01,11,0,0,0,0,False
2017-11-01,9,0,0,0,0,False
2017-12-01,8,0,0,0,0,False
2018-01-01,12,0,0,0,0,False
2018-02-01,22,0,0,0,0,False
2018-03-01,13,0,0,0,0,False
2018-04-01,10,0,0,0,0,False
2018-05-01,10,0,0,0,0,False
2018-06-01,7,0,0,0,0,False
2018-07-01,9,0,0,0,0,False
2018-08-01,7,0,0,0,0,False
2018-09-01,14,0,0,0,0,False
2018-10-01,10,0,0,0,0,False
2018-11-01,44,0,0,0,0,False
2018-12-01,53,0,0,0,0,False
2019-01-01,25,0,0,0,0,False
2019-02-01,27,0,0,0,0,False
2019-03-01,21,0,0,0,0,False
2019-04-01,18,0,0,0,0,False
2019-05-01,14,0,0,0,0,False
2019-06-01,15,0,0,0,0,False
2019-07-01,15,0,0,0,0,False
2019-08-01,16,0,0,0,0,False
2019-09-01,12,0,0,0,0,False
2019-10-01,12,0,0,0,0,False
2019-11-01,12,0,0,0,0,False
2019-12-01,12,0,0,0,0,False
2020-01-01,14,0,0,0,0,False
2020-02-01,14,0,0,0,1,False
2020-03-01,12,0,0,0,0,False
2020-04-01,15,0,0,0,0,False
2020-05-01,31,0,0,0,0,False
2020-06-01,20,0,0,0,0,False
2020-07-01,17,0,0,0,0,False
2020-08-01,41,0,0,0,0,False
2020-09-01,14,0,0,0,0,False
2020-10-01,17,0,0,0,0,False
