date,Carina Morillo,Mehdi Ordikhani-Seyedlar,Anne Lamott,Richard Browning,Iraola,isPartial
2004-01-01,0,0,64,11,17,False
2004-02-01,0,0,56,11,45,False
2004-03-01,0,0,42,14,14,False
2004-04-01,0,0,47,11,14,False
2004-05-01,0,0,56,9,12,False
2004-06-01,0,0,46,19,14,False
2004-07-01,0,0,19,10,13,False
2004-08-01,0,0,33,0,15,False
2004-09-01,0,0,55,17,21,False
2004-10-01,0,0,23,0,20,False
2004-11-01,0,0,21,26,25,False
2004-12-01,0,0,24,8,16,False
2005-01-01,0,0,28,0,23,False
2005-02-01,0,0,44,0,18,False
2005-03-01,0,0,100,14,14,False
2005-04-01,0,0,52,9,18,False
2005-05-01,0,0,70,12,20,False
2005-06-01,0,0,50,8,22,False
2005-07-01,0,0,39,9,18,False
2005-08-01,0,0,34,9,16,False
2005-09-01,5,0,25,5,22,False
2005-10-01,0,0,42,10,20,False
2005-11-01,0,0,40,8,20,False
2005-12-01,0,0,50,10,17,False
2006-01-01,0,0,39,9,13,False
2006-02-01,0,0,36,4,16,False
2006-03-01,0,0,27,6,28,False
2006-04-01,0,0,58,4,18,False
2006-05-01,0,0,48,8,18,False
2006-06-01,0,0,29,5,20,False
2006-07-01,0,0,32,8,24,False
2006-08-01,0,0,43,4,15,False
2006-09-01,0,0,34,6,13,False
2006-10-01,0,0,31,6,20,False
2006-11-01,0,0,32,3,19,False
2006-12-01,0,0,29,6,16,False
2007-01-01,0,0,28,8,21,False
2007-02-01,0,0,18,6,18,False
2007-03-01,0,0,41,5,29,False
2007-04-01,0,0,46,5,19,False
2007-05-01,0,0,29,2,19,False
2007-06-01,0,0,29,6,20,False
2007-07-01,0,0,31,4,16,False
2007-08-01,0,0,34,2,13,False
2007-09-01,0,0,33,3,24,False
2007-10-01,0,0,26,6,18,False
2007-11-01,0,0,24,3,15,False
2007-12-01,0,0,21,5,21,False
2008-01-01,0,0,22,4,14,False
2008-02-01,0,0,24,5,22,False
2008-03-01,2,0,28,5,19,False
2008-04-01,0,0,27,4,20,False
2008-05-01,0,0,23,5,20,False
2008-06-01,0,0,17,3,18,False
2008-07-01,0,0,22,3,11,False
2008-08-01,0,0,20,3,24,False
2008-09-01,0,0,37,5,27,False
2008-10-01,0,0,22,1,23,False
2008-11-01,0,0,26,2,23,False
