date,Moshe Safdie,Jill Sobule + Julia Sweeney,Raspyni Brothers,Joseph Lekuton,Iraola,isPartial
2004-01-01,23,62,0,0,12,False
2004-02-01,23,23,0,8,31,False
2004-03-01,35,50,0,0,9,False
2004-04-01,18,27,0,0,10,False
2004-05-01,10,53,0,6,8,False
2004-06-01,13,21,0,0,9,False
2004-07-01,11,29,0,7,9,False
2004-08-01,12,35,0,6,10,False
2004-09-01,15,39,0,0,14,False
2004-10-01,12,42,0,6,13,False
2004-11-01,15,41,0,0,17,False
2004-12-01,11,45,0,5,11,False
2005-01-01,5,63,5,0,16,False
2005-02-01,15,43,5,0,12,False
2005-03-01,18,42,0,4,10,False
2005-04-01,17,34,0,5,12,False
2005-05-01,26,30,0,4,14,False
2005-06-01,8,100,0,0,15,False
2005-07-01,8,35,0,4,13,False
2005-08-01,12,39,0,0,11,False
2005-09-01,18,37,0,0,15,False
2005-10-01,18,49,0,0,14,False
2005-11-01,18,32,0,3,14,False
2005-12-01,19,37,0,0,11,False
2006-01-01,8,32,0,3,9,False
2006-02-01,12,31,0,0,11,False
2006-03-01,21,27,0,0,19,False
2006-04-01,13,19,0,0,12,False
2006-05-01,9,30,0,0,12,False
2006-06-01,6,49,3,0,14,False
2006-07-01,16,23,0,3,16,False
2006-08-01,6,25,0,2,10,False
2006-09-01,10,27,0,2,9,False
2006-10-01,15,46,0,2,14,False
2006-11-01,13,55,0,0,13,False
2006-12-01,7,40,0,2,11,False
2007-01-01,16,39,2,2,14,False
2007-02-01,7,32,0,8,12,False
2007-03-01,6,24,0,2,20,False
2007-04-01,8,39,0,2,13,False
2007-05-01,9,30,0,0,13,False
2007-06-01,6,24,0,2,14,False
2007-07-01,6,26,0,0,11,False
2007-08-01,10,24,2,0,9,False
2007-09-01,5,23,0,1,16,False
2007-10-01,9,26,0,0,12,False
2007-11-01,6,25,1,0,10,False
2007-12-01,5,22,0,1,14,False
2008-01-01,9,29,0,4,9,False
2008-02-01,8,20,1,1,15,False
2008-03-01,11,30,0,2,13,False
2008-04-01,10,23,2,3,14,False
2008-05-01,7,28,2,0,14,False
2008-06-01,6,40,1,0,12,False
2008-07-01,5,44,1,1,8,False
2008-08-01,6,31,0,1,16,False
2008-09-01,6,25,0,1,18,False
2008-10-01,7,22,1,1,15,False
2008-11-01,7,18,1,2,16,False
2008-12-01,4,22,0,1,13,False
2009-01-01,6,23,1,1,15,False
2009-02-01,5,23,0,3,18,False
2009-03-01,6,22,0,1,12,False
2009-04-01,9,26,0,3,16,False
2009-05-01,6,27,1,0,20,False
2009-06-01,5,24,0,1,14,False
2009-07-01,5,23,0,0,13,False
2009-08-01,5,46,0,0,16,False
2009-09-01,6,18,0,1,20,False
2009-10-01,5,21,1,1,14,False
2009-11-01,7,17,0,1,18,False
2009-12-01,8,45,1,1,14,False
2010-01-01,7,26,1,1,18,False
2010-02-01,7,19,0,1,9,False
2010-03-01,8,20,1,1,13,False
2010-04-01,7,19,0,1,14,False
2010-05-01,6,21,1,1,12,False
2010-06-01,10,20,1,1,15,False
2010-07-01,9,18,0,1,10,False
2010-08-01,5,19,1,1,14,False
2010-09-01,5,14,1,1,16,False
2010-10-01,9,16,1,1,18,False
2010-11-01,6,15,0,1,21,False
2010-12-01,6,16,1,1,18,False
2011-01-01,6,15,0,1,14,False
2011-02-01,7,16,1,1,19,False
2011-03-01,8,14,0,1,23,False
2011-04-01,9,31,1,1,17,False
2011-05-01,8,15,0,0,16,False
2011-06-01,5,17,0,0,17,False
2011-07-01,4,16,0,0,14,False
2011-08-01,10,12,0,0,21,False
2011-09-01,8,11,0,0,17,False
2011-10-01,10,12,0,1,16,False
2011-11-01,11,13,0,1,14,False
2011-12-01,10,15,0,0,14,False
2012-01-01,6,14,0,1,13,False
2012-02-01,6,11,0,0,15,False
2012-03-01,7,14,0,0,28,False
2012-04-01,10,15,0,0,17,False
2012-05-01,6,13,0,0,21,False
2012-06-01,5,16,0,0,16,False
2012-07-01,6,11,0,0,12,False
2012-08-01,6,15,0,0,12,False
2012-09-01,7,13,1,1,13,False
2012-10-01,7,10,1,1,13,False
2012-11-01,7,10,0,1,13,False
2012-12-01,5,12,0,1,12,False
2013-01-01,5,11,1,0,12,False
2013-02-01,5,13,0,1,13,False
2013-03-01,7,14,0,0,12,False
2013-04-01,5,23,0,0,13,False
2013-05-01,4,14,0,0,11,False
2013-06-01,4,14,0,1,12,False
2013-07-01,4,13,0,0,12,False
2013-08-01,6,9,0,0,12,False
2013-09-01,5,11,0,1,15,False
2013-10-01,6,10,0,0,13,False
2013-11-01,6,16,0,0,12,False
2013-12-01,3,11,0,0,12,False
2014-01-01,4,17,0,0,11,False
2014-02-01,4,9,0,1,13,False
2014-03-01,5,10,0,0,14,False
2014-04-01,15,11,0,0,11,False
2014-05-01,7,12,0,1,13,False
2014-06-01,4,8,0,0,11,False
2014-07-01,3,9,0,0,13,False
2014-08-01,4,10,0,0,17,False
2014-09-01,7,11,0,0,18,False
2014-10-01,8,14,0,1,14,False
2014-11-01,6,23,0,1,13,False
2014-12-01,6,14,1,0,11,False
2015-01-01,5,9,0,0,11,False
2015-02-01,5,16,0,0,13,False
2015-03-01,5,10,1,1,19,False
2015-04-01,5,12,0,0,19,False
2015-05-01,5,9,0,0,51,False
2015-06-01,5,8,0,0,23,False
2015-07-01,4,9,0,0,26,False
2015-08-01,5,12,0,0,18,False
2015-09-01,6,7,0,1,15,False
2015-10-01,6,8,0,0,12,False
2015-11-01,5,6,0,0,12,False
2015-12-01,5,10,0,0,10,False
2016-01-01,4,7,0,0,12,False
2016-02-01,3,6,0,0,12,False
2016-03-01,5,9,0,0,13,False
2016-04-01,5,7,0,0,9,False
2016-05-01,4,5,0,0,16,False
2016-06-01,3,7,0,0,13,False
2016-07-01,3,6,0,0,14,False
2016-08-01,3,5,0,0,9,False
2016-09-01,4,7,0,1,13,False
2016-10-01,5,5,0,0,12,False
2016-11-01,4,5,0,0,17,False
2016-12-01,3,6,0,0,10,False
2017-01-01,3,7,0,0,9,False
2017-02-01,3,6,0,0,11,False
2017-03-01,4,7,0,0,9,False
2017-04-01,5,5,0,0,10,False
2017-05-01,4,6,0,0,12,False
2017-06-01,4,5,0,0,10,False
2017-07-01,3,4,0,0,10,False
2017-08-01,4,6,0,0,9,False
2017-09-01,3,7,0,1,9,False
2017-10-01,4,5,0,0,8,False
2017-11-01,4,5,0,0,7,False
2017-12-01,4,6,0,0,7,False
2018-01-01,3,6,0,0,10,False
2018-02-01,5,5,0,0,8,False
2018-03-01,4,5,0,0,7,False
2018-04-01,5,5,0,0,8,False
2018-05-01,4,5,0,0,9,False
2018-06-01,4,5,0,0,9,False
2018-07-01,3,4,0,0,8,False
2018-08-01,3,5,0,0,9,False
2018-09-01,4,7,0,0,9,False
2018-10-01,4,9,0,0,10,False
2018-11-01,4,4,0,0,9,False
2018-12-01,2,5,0,0,8,False
2019-01-01,3,7,0,0,8,False
2019-02-01,4,5,0,0,9,False
2019-03-01,6,9,0,0,8,False
2019-04-01,10,14,0,0,10,False
2019-05-01,5,10,0,0,8,False
2019-06-01,4,7,0,0,9,False
2019-07-01,4,8,0,0,12,False
2019-08-01,4,9,0,0,10,False
2019-09-01,5,7,0,0,9,False
