date,Ricardo Semler,Kenneth Shinozuka,Guy Winch,Nadine Burke Harris,Iraola,isPartial
2004-01-01,15,0,0,0,23,False
2004-02-01,53,0,0,0,60,False
2004-03-01,74,0,0,0,18,False
2004-04-01,53,0,0,0,19,False
2004-05-01,67,0,0,0,17,False
2004-06-01,29,0,0,0,19,False
2004-07-01,32,0,0,0,17,False
2004-08-01,48,0,0,0,20,False
2004-09-01,59,0,0,0,28,False
2004-10-01,38,0,11,0,26,False
2004-11-01,23,0,0,0,34,False
2004-12-01,32,0,0,0,21,False
2005-01-01,12,0,0,0,31,False
2005-02-01,23,0,0,0,24,False
2005-03-01,19,0,8,0,19,False
2005-04-01,24,0,0,0,24,False
2005-05-01,27,0,0,0,27,False
2005-06-01,24,0,0,0,29,False
2005-07-01,14,0,0,0,25,False
2005-08-01,40,0,0,0,21,False
2005-09-01,38,0,0,0,29,False
2005-10-01,11,0,0,0,27,False
2005-11-01,13,0,0,0,27,False
2005-12-01,27,0,0,0,22,False
2006-01-01,21,0,0,0,17,False
2006-02-01,18,0,6,0,22,False
2006-03-01,19,0,0,0,38,False
2006-04-01,24,0,0,0,24,False
2006-05-01,17,0,0,0,24,False
2006-06-01,21,0,5,0,27,False
2006-07-01,21,0,0,0,32,False
2006-08-01,23,0,0,0,20,False
2006-09-01,38,0,0,0,17,False
2006-10-01,29,0,0,0,27,False
2006-11-01,28,0,0,0,25,False
2006-12-01,14,0,0,0,22,False
2007-01-01,25,0,0,0,27,False
2007-02-01,22,0,0,0,24,False
2007-03-01,49,0,0,0,39,False
2007-04-01,25,0,0,0,25,False
2007-05-01,21,0,0,0,25,False
2007-06-01,21,0,0,0,27,False
2007-07-01,16,0,0,0,22,False
2007-08-01,22,0,0,0,17,False
2007-09-01,20,0,0,0,32,False
2007-10-01,18,0,0,0,24,False
2007-11-01,22,0,0,0,21,False
2007-12-01,14,0,6,0,28,False
2008-01-01,6,0,2,0,18,False
2008-02-01,17,0,0,0,29,False
2008-03-01,20,0,0,0,25,False
2008-04-01,15,0,0,0,27,False
2008-05-01,15,0,2,0,27,False
2008-06-01,17,0,0,0,24,False
2008-07-01,11,0,2,0,15,False
2008-08-01,19,0,2,0,32,False
2008-09-01,10,0,2,0,35,False
2008-10-01,20,0,0,0,30,False
2008-11-01,19,0,0,0,31,False
2008-12-01,12,0,2,0,25,False
2009-01-01,7,0,2,0,30,False
2009-02-01,8,0,2,0,35,False
2009-03-01,13,0,2,0,24,False
2009-04-01,17,0,0,0,32,False
2009-05-01,16,0,2,0,39,False
2009-06-01,11,0,0,0,27,False
2009-07-01,7,0,0,0,26,False
2009-08-01,11,0,0,0,32,False
2009-09-01,14,0,2,0,38,False
2009-10-01,10,0,0,0,28,False
2009-11-01,13,0,1,0,36,False
2009-12-01,7,0,0,0,27,False
2010-01-01,8,0,1,0,35,False
2010-02-01,13,0,0,0,18,False
2010-03-01,11,0,1,0,26,False
2010-04-01,12,0,1,0,27,False
2010-05-01,16,0,0,0,24,False
2010-06-01,10,0,0,0,29,False
2010-07-01,11,0,1,0,20,False
2010-08-01,10,0,1,0,27,False
2010-09-01,8,0,2,0,32,False
2010-10-01,10,0,1,0,34,False
2010-11-01,11,0,3,0,42,False
2010-12-01,9,0,2,0,34,False
2011-01-01,6,0,1,0,28,False
2011-02-01,7,0,1,0,38,False
2011-03-01,8,0,2,0,46,False
2011-04-01,12,0,2,0,34,False
2011-05-01,10,0,2,0,31,False
2011-06-01,11,0,1,0,33,False
2011-07-01,7,0,1,1,28,False
2011-08-01,13,0,2,0,42,False
2011-09-01,11,0,2,0,34,False
2011-10-01,14,0,2,0,32,False
2011-11-01,11,0,1,0,28,False
2011-12-01,11,0,1,0,27,False
2012-01-01,8,0,1,0,25,False
2012-02-01,8,0,2,0,30,False
2012-03-01,10,0,2,0,54,False
2012-04-01,6,0,2,1,34,False
2012-05-01,7,0,1,1,41,False
2012-06-01,8,0,1,0,32,False
2012-07-01,7,0,1,0,23,False
2012-08-01,5,0,0,0,24,False
2012-09-01,9,0,1,2,26,False
2012-10-01,8,0,1,1,25,False
2012-11-01,10,0,1,3,27,False
2012-12-01,8,0,2,1,23,False
2013-01-01,7,0,2,1,24,False
2013-02-01,32,0,1,1,25,False
2013-03-01,15,0,1,1,23,False
2013-04-01,14,0,1,1,25,False
2013-05-01,17,0,1,1,21,False
2013-06-01,9,0,1,1,23,False
2013-07-01,10,0,1,1,23,False
2013-08-01,8,0,2,1,24,False
2013-09-01,9,0,1,1,30,False
2013-10-01,6,0,2,1,26,False
2013-11-01,11,0,2,0,24,False
2013-12-01,7,0,1,0,25,False
2014-01-01,8,0,1,1,22,False
