date,David Christian,Dave Meslin,Roger Ebert,Marcin Jakubowski,Iraola,isPartial
2008-11-01,5,0,14,0,1,False
2008-12-01,5,0,18,0,1,False
2009-01-01,5,0,16,0,1,False
2009-02-01,7,0,16,0,1,False
2009-03-01,5,0,15,0,1,False
2009-04-01,5,0,14,0,1,False
2009-05-01,5,0,15,0,1,False
2009-06-01,5,0,17,0,1,False
2009-07-01,5,0,17,0,1,False
2009-08-01,5,0,19,0,1,False
2009-09-01,5,0,15,0,1,False
2009-10-01,5,0,15,0,1,False
2009-11-01,5,0,15,0,1,False
2009-12-01,4,0,18,0,1,False
2010-01-01,4,0,18,0,1,False
2010-02-01,5,0,30,0,0,False
2010-03-01,5,0,53,0,1,False
2010-04-01,5,0,20,0,1,False
2010-05-01,5,0,21,0,1,False
2010-06-01,5,0,19,0,1,False
2010-07-01,5,0,23,0,1,False
2010-08-01,5,0,21,0,1,False
2010-09-01,4,0,22,0,1,False
2010-10-01,4,0,16,0,1,False
2010-11-01,5,0,17,0,1,False
2010-12-01,5,0,20,0,1,False
2011-01-01,5,0,34,0,1,False
2011-02-01,5,0,17,0,1,False
2011-03-01,4,0,19,0,1,False
2011-04-01,5,0,21,1,1,False
2011-05-01,4,0,18,0,1,False
2011-06-01,4,0,46,0,1,False
2011-07-01,4,0,22,0,1,False
2011-08-01,4,0,18,0,1,False
2011-09-01,4,0,20,0,1,False
2011-10-01,4,0,15,0,1,False
2011-11-01,4,0,16,0,1,False
2011-12-01,4,0,18,0,1,False
2012-01-01,4,0,17,0,1,False
2012-02-01,4,0,15,0,1,False
2012-03-01,4,0,14,0,1,False
2012-04-01,4,0,13,0,1,False
2012-05-01,4,0,14,0,1,False
2012-06-01,4,0,15,0,1,False
2012-07-01,5,0,17,0,1,False
2012-08-01,4,0,13,0,1,False
2012-09-01,4,0,13,0,1,False
2012-10-01,4,0,12,0,1,False
2012-11-01,4,0,12,1,1,False
2012-12-01,3,0,19,0,1,False
2013-01-01,4,0,13,0,1,False
2013-02-01,4,0,11,0,1,False
2013-03-01,4,0,11,0,1,False
2013-04-01,4,0,100,0,1,False
2013-05-01,4,0,9,0,1,False
2013-06-01,4,0,9,0,1,False
2013-07-01,4,0,8,0,1,False
2013-08-01,4,0,7,0,1,False
2013-09-01,4,0,6,0,1,False
2013-10-01,4,0,6,0,1,False
2013-11-01,4,0,6,0,1,False
2013-12-01,4,0,8,0,1,False
2014-01-01,4,0,7,0,1,False
2014-02-01,4,0,6,0,1,False
2014-03-01,4,0,6,0,1,False
2014-04-01,5,0,5,0,1,False
2014-05-01,4,0,6,0,1,False
2014-06-01,4,0,6,0,1,False
2014-07-01,4,0,10,0,1,False
2014-08-01,4,0,6,0,1,False
2014-09-01,4,0,5,0,1,False
2014-10-01,4,0,5,0,1,False
2014-11-01,3,0,5,0,1,False
2014-12-01,4,0,8,0,1,False
2015-01-01,4,0,13,0,1,False
2015-02-01,4,0,6,0,1,False
2015-03-01,4,0,6,0,1,False
2015-04-01,4,0,6,0,1,False
2015-05-01,4,0,5,0,3,False
2015-06-01,4,0,5,0,1,False
2015-07-01,3,0,5,0,1,False
2015-08-01,3,0,5,0,1,False
2015-09-01,4,0,5,0,1,False
2015-10-01,6,0,5,0,1,False
2015-11-01,3,0,5,0,1,False
2015-12-01,4,0,6,0,1,False
2016-01-01,5,0,5,0,1,False
2016-02-01,3,0,5,0,1,False
2016-03-01,3,0,4,0,1,False
2016-04-01,3,0,5,0,0,False
2016-05-01,3,0,4,0,1,False
2016-06-01,3,0,4,0,1,False
2016-07-01,3,0,4,0,1,False
2016-08-01,3,0,4,0,0,False
2016-09-01,3,0,4,0,1,False
2016-10-01,3,0,4,0,1,False
2016-11-01,3,0,4,0,1,False
2016-12-01,3,0,5,0,0,False
2017-01-01,3,0,5,0,0,False
2017-02-01,3,0,5,0,1,False
2017-03-01,3,0,4,0,0,False
2017-04-01,3,0,4,0,0,False
2017-05-01,3,0,4,0,1,False
2017-06-01,3,0,4,0,0,False
2017-07-01,3,0,4,0,1,False
2017-08-01,3,0,4,0,0,False
2017-09-01,3,0,4,0,0,False
2017-10-01,3,0,4,0,0,False
2017-11-01,3,0,4,0,0,False
2017-12-01,3,0,4,0,0,False
2018-01-01,3,0,4,0,0,False
2018-02-01,3,0,4,0,0,False
2018-03-01,3,0,4,0,0,False
2018-04-01,3,0,4,0,0,False
2018-05-01,3,0,3,0,0,False
2018-06-01,3,0,3,0,0,False
2018-07-01,2,0,3,0,0,False
2018-08-01,3,0,4,0,0,False
2018-09-01,2,0,3,0,0,False
2018-10-01,2,0,3,0,1,False
2018-11-01,3,0,3,0,0,False
2018-12-01,3,0,4,0,0,False
2019-01-01,3,0,3,0,0,False
2019-02-01,3,0,3,0,0,False
2019-03-01,3,0,3,0,0,False
2019-04-01,3,0,3,0,0,False
2019-05-01,2,0,3,0,0,False
2019-06-01,2,0,3,0,0,False
2019-07-01,2,0,3,0,1,False
2019-08-01,3,0,3,0,1,False
2019-09-01,2,0,3,0,0,False
2019-10-01,2,0,4,0,0,False
2019-11-01,3,0,3,0,0,False
2019-12-01,2,0,3,0,0,False
2020-01-01,2,0,4,0,1,False
2020-02-01,2,0,3,0,1,False
2020-03-01,2,0,3,0,1,False
2020-04-01,3,0,4,0,0,False
2020-05-01,2,0,4,0,0,False
2020-06-01,2,0,3,0,0,False
2020-07-01,2,0,3,0,1,False
2020-08-01,2,0,3,0,1,False
2020-09-01,2,0,3,0,1,False
2020-10-01,2,0,3,0,1,False
