date,Apollo Robbins,James Lyne,Marla Spivak,Eric Berlow and Sean Gourley,Iraola,isPartial
2018-06-01,5,1,1,0,16,False
2018-07-01,3,1,0,0,13,False
2018-08-01,5,1,1,0,14,False
2018-09-01,3,1,1,0,16,False
2018-10-01,5,1,0,0,18,False
2018-11-01,4,1,0,0,14,False
2018-12-01,2,1,0,0,12,False
2019-01-01,5,1,1,0,12,False
2019-02-01,3,1,0,0,15,False
2019-03-01,3,1,0,0,13,False
2019-04-01,4,1,0,0,17,False
2019-05-01,3,1,0,0,13,False
2019-06-01,2,1,0,0,15,False
2019-07-01,3,0,1,0,20,False
2019-08-01,4,2,1,0,16,False
2019-09-01,2,1,1,0,14,False
2019-10-01,2,1,0,0,14,False
2019-11-01,3,1,0,0,15,False
2019-12-01,2,0,0,0,15,False
2020-01-01,3,1,1,0,23,False
2020-02-01,7,1,0,0,43,False
2020-03-01,2,1,1,0,18,False
2020-04-01,4,1,0,0,13,False
2020-05-01,3,1,0,0,10,False
2020-06-01,2,1,0,0,14,False
2020-07-01,2,1,1,0,30,False
2020-08-01,2,1,0,0,22,False
2020-09-01,3,1,0,0,16,False
2020-10-01,3,1,0,0,18,False
