date,Manwar Ali,Philippa Neave,Wanis Kabbaj,Ian Bremmer,Iraola,isPartial
2004-01-01,0,0,0,15,23,False
2004-02-01,0,0,0,0,60,False
2004-03-01,0,0,0,19,18,False
2004-04-01,0,0,0,14,19,False
2004-05-01,0,0,0,12,17,False
2004-06-01,0,0,0,0,19,False
2004-07-01,0,0,0,13,17,False
2004-08-01,0,0,0,12,20,False
2004-09-01,0,0,0,11,28,False
2004-10-01,0,0,0,0,26,False
2004-11-01,0,0,0,11,34,False
2004-12-01,0,0,0,16,21,False
2005-01-01,0,0,0,9,31,False
2005-02-01,0,0,0,10,24,False
2005-03-01,0,0,0,16,19,False
2005-04-01,0,0,0,9,24,False
2005-05-01,0,0,0,0,27,False
2005-06-01,0,0,0,8,29,False
2005-07-01,0,0,0,0,25,False
2005-08-01,0,0,0,8,21,False
2005-09-01,0,0,0,0,29,False
2005-10-01,0,0,0,7,27,False
2005-11-01,0,0,0,10,27,False
2005-12-01,0,0,0,13,22,False
2006-01-01,0,0,0,9,17,False
2006-02-01,0,0,6,8,22,False
2006-03-01,0,0,0,15,38,False
2006-04-01,0,0,0,6,24,False
2006-05-01,0,0,0,5,24,False
2006-06-01,0,0,0,5,27,False
2006-07-01,0,0,0,11,32,False
2006-08-01,0,0,0,10,20,False
2006-09-01,0,0,0,11,17,False
2006-10-01,0,0,0,28,27,False
2006-11-01,0,0,0,6,25,False
2006-12-01,0,0,0,9,22,False
2007-01-01,0,0,0,9,27,False
2007-02-01,0,0,0,4,24,False
2007-03-01,0,0,0,10,39,False
2007-04-01,0,0,0,5,25,False
2007-05-01,0,0,0,8,25,False
2007-06-01,0,0,0,6,27,False
2007-07-01,0,0,0,8,22,False
2007-08-01,0,0,0,4,17,False
2007-09-01,0,0,0,4,32,False
2007-10-01,0,0,0,4,24,False
2007-11-01,3,0,0,5,21,False
2007-12-01,0,0,0,3,28,False
2008-01-01,0,0,0,6,18,False
2008-02-01,0,0,0,10,29,False
2008-03-01,2,0,0,5,25,False
2008-04-01,0,0,0,3,27,False
2008-05-01,0,0,0,4,27,False
2008-06-01,2,0,0,5,24,False
2008-07-01,0,2,0,4,15,False
2008-08-01,0,0,0,3,32,False
2008-09-01,0,0,0,3,35,False
2008-10-01,0,0,0,3,30,False
2008-11-01,2,0,0,3,31,False
2008-12-01,0,0,0,2,25,False
2009-01-01,0,0,0,5,30,False
2009-02-01,0,0,0,3,35,False
2009-03-01,0,0,0,4,24,False
2009-04-01,0,0,0,8,32,False
2009-05-01,0,0,0,6,39,False
2009-06-01,0,0,0,4,27,False
2009-07-01,0,0,0,3,26,False
2009-08-01,0,0,0,5,32,False
2009-09-01,0,0,0,4,38,False
2009-10-01,1,0,0,5,28,False
2009-11-01,0,0,0,4,36,False
2009-12-01,0,0,0,5,27,False
2010-01-01,0,0,0,7,35,False
2010-02-01,0,0,0,5,18,False
2010-03-01,0,0,0,3,26,False
2010-04-01,0,0,0,4,27,False
2010-05-01,0,0,0,37,24,False
2010-06-01,0,1,1,9,29,False
2010-07-01,0,1,0,10,20,False
2010-08-01,1,0,0,9,27,False
2010-09-01,0,0,0,8,32,False
2010-10-01,0,2,0,7,34,False
2010-11-01,0,0,0,16,42,False
2010-12-01,0,0,0,4,34,False
2011-01-01,1,0,0,7,28,False
2011-02-01,0,0,0,9,38,False
