date,Carne Ross,Ben Cameron,Rob Dunbar,Jessa Gamble,Iraola,isPartial
2004-01-01,0,30,0,0,23,False
2004-02-01,0,65,30,0,60,False
2004-03-01,0,74,0,0,18,False
2004-04-01,0,29,0,0,19,False
2004-05-01,13,37,0,0,17,False
2004-06-01,0,54,12,0,19,False
2004-07-01,0,48,13,0,17,False
2004-08-01,0,24,0,0,20,False
2004-09-01,11,37,0,0,28,False
2004-10-01,0,34,0,0,26,False
2004-11-01,0,23,0,0,34,False
2004-12-01,0,21,0,0,21,False
2005-01-01,18,28,0,0,31,False
2005-02-01,10,29,0,0,24,False
2005-03-01,0,28,16,0,19,False
2005-04-01,0,21,9,0,24,False
2005-05-01,8,21,0,0,27,False
2005-06-01,8,16,8,0,29,False
2005-07-01,8,27,8,0,25,False
2005-08-01,8,21,0,0,21,False
2005-09-01,7,19,7,0,29,False
2005-10-01,7,18,0,0,27,False
2005-11-01,0,29,7,0,27,False
2005-12-01,7,31,0,0,22,False
2006-01-01,0,21,0,0,17,False
2006-02-01,0,38,0,0,22,False
2006-03-01,0,22,5,0,38,False
2006-04-01,0,18,0,0,24,False
2006-05-01,5,23,0,0,24,False
2006-06-01,0,20,5,0,27,False
2006-07-01,5,19,0,0,32,False
2006-08-01,5,28,5,0,20,False
2006-09-01,9,13,0,0,17,False
2006-10-01,4,13,6,0,27,False
2006-11-01,8,12,0,0,25,False
2006-12-01,17,16,0,0,22,False
2007-01-01,4,19,0,0,27,False
2007-02-01,8,25,4,0,24,False
2007-03-01,7,16,3,0,39,False
2007-04-01,4,28,0,0,25,False
2007-05-01,3,14,5,0,25,False
2007-06-01,5,22,3,0,27,False
2007-07-01,3,20,0,0,22,False
2007-08-01,5,28,3,0,17,False
2007-09-01,0,15,3,0,32,False
2007-10-01,3,24,3,0,24,False
2007-11-01,3,32,0,0,21,False
2007-12-01,4,25,3,0,28,False
2008-01-01,4,20,5,0,18,False
2008-02-01,10,22,3,0,29,False
2008-03-01,0,20,2,0,25,False
2008-04-01,2,18,3,0,27,False
2008-05-01,2,19,0,0,27,False
2008-06-01,3,24,0,0,24,False
2008-07-01,2,24,2,0,15,False
2008-08-01,0,22,2,0,32,False
2008-09-01,3,19,2,0,35,False
2008-10-01,4,22,3,0,30,False
2008-11-01,6,16,4,0,31,False
2008-12-01,2,19,4,0,25,False
2009-01-01,4,22,3,0,30,False
2009-02-01,2,16,4,0,35,False
2009-03-01,2,21,0,0,24,False
2009-04-01,2,16,0,0,32,False
2009-05-01,3,20,2,0,39,False
2009-06-01,2,25,5,0,27,False
2009-07-01,2,17,2,0,26,False
2009-08-01,3,17,2,0,32,False
2009-09-01,3,17,2,0,38,False
