date,Triona McGrath,Garry Kasparov,Marlon Peterson,Raj Panjabi,Iraola,isPartial
2004-01-01,0,51,0,0,21,False
2004-02-01,0,37,0,0,55,False
2004-03-01,0,57,0,0,17,False
2004-04-01,0,44,0,0,18,False
2004-05-01,0,23,0,0,15,False
2004-06-01,0,34,0,0,17,False
2004-07-01,0,40,0,0,16,False
2004-08-01,0,30,0,0,19,False
2004-09-01,0,27,0,0,25,False
2004-10-01,0,42,0,0,24,False
2004-11-01,0,38,0,0,31,False
2004-12-01,0,68,0,10,19,False
2005-01-01,0,31,0,8,28,False
2005-02-01,0,36,0,0,22,False
2005-03-01,0,100,0,0,18,False
2005-04-01,0,59,0,8,22,False
2005-05-01,0,54,0,0,25,False
2005-06-01,0,25,7,0,27,False
2005-07-01,0,18,8,0,23,False
2005-08-01,0,17,0,0,19,False
2005-09-01,0,20,7,0,26,False
2005-10-01,0,50,0,6,25,False
2005-11-01,0,37,0,0,25,False
2005-12-01,0,30,0,0,20,False
2006-01-01,0,32,5,0,16,False
2006-02-01,0,13,0,0,20,False
2006-03-01,0,33,0,0,35,False
2006-04-01,0,26,0,5,22,False
2006-05-01,0,29,0,5,22,False
2006-06-01,0,21,0,0,25,False
2006-07-01,0,24,0,5,29,False
2006-08-01,0,30,0,0,18,False
2006-09-01,0,29,4,0,16,False
2006-10-01,0,30,0,0,25,False
2006-11-01,0,27,0,4,23,False
2006-12-01,0,30,0,0,20,False
2007-01-01,0,23,0,0,25,False
2007-02-01,0,25,0,0,22,False
2007-03-01,0,22,0,0,36,False
2007-04-01,0,68,0,0,23,False
2007-05-01,0,29,0,0,23,False
2007-06-01,0,33,0,0,25,False
2007-07-01,0,21,0,6,20,False
2007-08-01,0,22,0,0,16,False
2007-09-01,0,28,3,3,29,False
2007-10-01,2,68,0,2,22,False
2007-11-01,0,66,0,2,19,False
2007-12-01,0,59,0,0,26,False
2008-01-01,0,29,0,0,17,False
2008-02-01,0,24,0,0,27,False
2008-03-01,0,23,0,2,23,False
2008-04-01,0,20,0,3,25,False
2008-05-01,2,37,0,2,25,False
2008-06-01,0,20,0,2,22,False
2008-07-01,0,21,0,0,14,False
2008-08-01,0,30,2,0,30,False
2008-09-01,0,18,2,2,33,False
2008-10-01,0,22,0,2,28,False
2008-11-01,0,22,0,2,28,False
2008-12-01,0,26,0,2,23,False
2009-01-01,0,22,0,2,28,False
2009-02-01,0,25,0,2,32,False
2009-03-01,0,29,2,2,22,False
2009-04-01,0,28,2,2,29,False
2009-05-01,0,26,0,2,36,False
2009-06-01,0,21,0,2,25,False
2009-07-01,0,20,0,0,24,False
2009-08-01,1,15,1,2,30,False
2009-09-01,1,38,1,1,35,False
2009-10-01,0,25,1,3,26,False
2009-11-01,0,28,0,2,33,False
2009-12-01,0,33,0,3,24,False
2010-01-01,1,27,2,2,32,False
2010-02-01,0,32,0,1,16,False
2010-03-01,0,22,0,1,24,False
2010-04-01,0,23,0,2,25,False
2010-05-01,0,32,1,2,22,False
2010-06-01,0,21,1,1,27,False
2010-07-01,1,16,1,2,19,False
2010-08-01,0,28,0,9,25,False
2010-09-01,0,29,2,2,29,False
2010-10-01,0,24,2,2,32,False
2010-11-01,0,27,1,4,39,False
2010-12-01,0,36,1,4,32,False
2011-01-01,0,32,0,5,26,False
2011-02-01,0,42,2,5,35,False
2011-03-01,1,28,1,7,42,False
2011-04-01,0,27,2,3,31,False
2011-05-01,0,26,1,1,29,False
2011-06-01,0,27,0,3,30,False
2011-07-01,0,24,1,2,25,False
2011-08-01,0,26,1,2,39,False
2011-09-01,0,37,0,4,31,False
2011-10-01,0,26,0,2,29,False
2011-11-01,0,35,0,2,26,False
2011-12-01,0,41,1,2,25,False
2012-01-01,0,32,1,2,23,False
2012-02-01,0,30,1,2,28,False
2012-03-01,0,36,1,2,50,False
2012-04-01,1,32,0,2,31,False
2012-05-01,0,46,0,2,37,False
2012-06-01,0,41,1,1,29,False
2012-07-01,0,28,1,2,21,False
2012-08-01,0,74,1,2,22,False
2012-09-01,0,37,1,2,24,False
2012-10-01,1,32,0,1,23,False
2012-11-01,0,38,0,2,24,False
2012-12-01,0,34,1,1,21,False
2013-01-01,0,36,2,2,22,False
2013-02-01,0,27,1,2,23,False
2013-03-01,0,32,2,2,21,False
2013-04-01,1,30,0,2,23,False
2013-05-01,0,30,1,3,19,False
2013-06-01,0,35,1,1,21,False
2013-07-01,0,40,1,3,22,False
2013-08-01,1,31,0,2,22,False
2013-09-01,0,36,1,2,28,False
2013-10-01,0,30,1,2,24,False
2013-11-01,0,72,0,3,22,False
2013-12-01,0,33,1,3,23,False
2014-01-01,0,36,0,3,20,False
2014-02-01,0,41,0,4,23,False
2014-03-01,0,51,0,2,26,False
2014-04-01,0,32,1,3,20,False
2014-05-01,0,36,0,4,23,False
2014-06-01,0,23,1,3,19,False
2014-07-01,0,29,2,3,24,False
2014-08-01,1,37,1,3,31,False
2014-09-01,0,32,0,2,32,False
2014-10-01,0,38,0,3,25,False
2014-11-01,0,36,1,3,24,False
2014-12-01,0,30,0,4,20,False
2015-01-01,0,36,0,4,20,False
2015-02-01,0,37,9,3,24,False
2015-03-01,0,46,2,4,34,False
2015-04-01,0,38,1,3,35,False
2015-05-01,0,43,0,4,92,False
2015-06-01,0,27,1,5,41,False
2015-07-01,0,33,1,3,46,False
2015-08-01,0,28,0,3,32,False
2015-09-01,0,34,2,2,27,False
2015-10-01,0,39,1,3,22,False
2015-11-01,0,44,1,4,21,False
2015-12-01,0,37,0,4,19,False
2016-01-01,0,31,1,3,22,False
2016-02-01,0,36,0,3,22,False
2016-03-01,0,54,1,5,24,False
2016-04-01,0,31,0,8,17,False
2016-05-01,0,38,1,6,29,False
2016-06-01,0,26,1,6,24,False
2016-07-01,0,28,1,4,25,False
2016-08-01,0,28,1,5,16,False
2016-09-01,0,30,0,6,23,False
2016-10-01,0,40,1,6,22,False
2016-11-01,0,36,1,6,31,False
2016-12-01,0,40,0,8,17,False
2017-01-01,0,43,0,8,16,False
2017-02-01,0,36,0,6,19,False
2017-03-01,0,37,1,9,17,False
2017-04-01,0,31,1,9,17,False
2017-05-01,1,40,0,9,22,False
2017-06-01,1,41,0,11,17,False
2017-07-01,0,46,1,8,18,False
2017-08-01,0,50,2,7,16,False
2017-09-01,0,32,2,4,16,False
2017-10-01,1,36,2,4,15,False
2017-11-01,1,35,1,5,13,False
2017-12-01,0,41,1,6,13,False
2018-01-01,0,40,1,6,18,False
2018-02-01,0,39,1,6,15,False
2018-03-01,0,44,1,6,12,False
2018-04-01,0,32,0,6,15,False
2018-05-01,0,33,0,5,16,False
2018-06-01,0,31,1,5,16,False
2018-07-01,0,32,1,4,14,False
2018-08-01,0,23,3,3,16,False
2018-09-01,0,26,1,4,17,False
2018-10-01,0,27,3,2,18,False
2018-11-01,0,52,3,3,15,False
2018-12-01,0,39,1,2,14,False
2019-01-01,0,27,0,3,15,False
2019-02-01,0,30,0,2,17,False
2019-03-01,0,28,0,1,14,False
2019-04-01,0,29,1,1,18,False
2019-05-01,0,27,1,2,14,False
2019-06-01,0,23,1,1,15,False
2019-07-01,0,40,0,1,22,False
2019-08-01,0,27,1,1,18,False
2019-09-01,0,30,2,1,16,False
2019-10-01,0,31,1,1,15,False
2019-11-01,0,32,1,1,15,False
2019-12-01,0,37,2,2,17,False
2020-01-01,0,30,0,1,26,False
2020-02-01,0,31,1,2,49,False
2020-03-01,0,32,0,1,20,False
2020-04-01,0,42,1,1,16,False
2020-05-01,0,47,0,1,13,False
2020-06-01,0,40,0,1,15,False
