date,Alison Jackson,Robin Chase,Jaime Lerner,David Macaulay,Iraola,isPartial
2016-02-01,11,10,3,7,23,False
2016-03-01,9,7,6,5,26,False
2016-04-01,9,11,5,8,18,False
2016-05-01,11,9,5,8,32,False
2016-06-01,9,8,3,5,26,False
2016-07-01,8,10,3,4,28,False
2016-08-01,6,9,5,4,18,False
2016-09-01,11,8,11,6,25,False
2016-10-01,15,7,9,11,24,False
2016-11-01,20,7,8,6,33,False
2016-12-01,30,7,3,7,19,False
2017-01-01,12,7,2,5,18,False
2017-02-01,11,7,4,5,21,False
2017-03-01,12,9,6,9,18,False
2017-04-01,8,7,8,5,19,False
2017-05-01,7,8,4,6,24,False
2017-06-01,10,6,3,4,19,False
2017-07-01,9,8,3,4,20,False
2017-08-01,10,5,4,4,18,False
2017-09-01,11,6,4,5,18,False
2017-10-01,9,7,6,5,16,False
2017-11-01,8,7,4,8,14,False
2017-12-01,9,8,4,9,14,False
2018-01-01,9,7,3,6,19,False
2018-02-01,8,9,3,5,17,False
2018-03-01,8,7,3,7,14,False
2018-04-01,8,7,6,7,16,False
2018-05-01,11,7,4,5,17,False
2018-06-01,9,6,3,4,17,False
2018-07-01,8,8,4,3,16,False
2018-08-01,8,8,4,4,17,False
2018-09-01,8,6,7,4,18,False
2018-10-01,8,6,5,5,20,False
2018-11-01,7,7,4,6,17,False
2018-12-01,10,8,2,9,16,False
2019-01-01,7,6,4,6,16,False
2019-02-01,14,6,4,4,19,False
2019-03-01,20,7,3,5,15,False
2019-04-01,9,6,3,7,19,False
2019-05-01,8,7,5,5,16,False
2019-06-01,9,6,4,3,17,False
2019-07-01,8,7,4,4,24,False
2019-08-01,8,5,5,4,20,False
2019-09-01,10,5,4,5,17,False
2019-10-01,10,6,3,6,16,False
2019-11-01,8,5,3,4,16,False
2019-12-01,8,6,3,7,19,False
2020-01-01,9,7,4,4,28,False
2020-02-01,8,7,4,4,54,False
2020-03-01,6,6,3,5,21,False
2020-04-01,7,6,3,8,17,False
2020-05-01,7,8,2,9,14,False
2020-06-01,27,7,3,4,16,False
2020-07-01,7,6,2,4,34,False
2020-08-01,9,7,2,4,27,False
2020-09-01,11,5,2,5,19,False
2020-10-01,8,4,4,4,21,False
