date,Mae Jemison,Tom Shannon,Louise Fresco,Nandan Nilekani,Iraola,isPartial
2004-01-01,24,3,0,2,4,False
2004-02-01,100,9,0,5,9,False
2004-03-01,21,6,0,0,3,False
2004-04-01,13,10,0,2,3,False
2004-05-01,12,5,0,2,3,False
2004-06-01,3,6,0,2,3,False
2004-07-01,3,5,0,2,3,False
2004-08-01,2,5,2,2,3,False
2004-09-01,7,7,2,2,4,False
2004-10-01,13,3,2,3,4,False
2004-11-01,12,4,0,3,5,False
2004-12-01,5,4,0,2,3,False
2005-01-01,24,4,0,0,5,False
2005-02-01,81,4,5,2,4,False
2005-03-01,32,6,3,1,3,False
2005-04-01,15,3,0,1,4,False
2005-05-01,8,4,0,1,4,False
2005-06-01,3,7,2,1,5,False
2005-07-01,4,4,3,2,4,False
2005-08-01,3,5,0,2,3,False
2005-09-01,7,4,1,2,4,False
2005-10-01,14,4,0,1,4,False
2005-11-01,9,3,3,1,4,False
2005-12-01,8,4,2,1,3,False
2006-01-01,22,3,0,3,3,False
2006-02-01,75,5,1,1,3,False
2006-03-01,27,4,1,3,6,False
2006-04-01,9,2,1,3,4,False
2006-05-01,6,4,2,2,4,False
2006-06-01,2,5,2,2,4,False
2006-07-01,2,4,1,2,5,False
2006-08-01,1,6,1,2,3,False
2006-09-01,5,3,2,2,3,False
2006-10-01,12,3,1,1,4,False
2006-11-01,8,4,0,1,4,False
2006-12-01,6,2,3,2,3,False
2007-01-01,19,3,3,1,4,False
2007-02-01,49,3,2,2,4,False
2007-03-01,20,3,1,2,6,False
2007-04-01,8,2,1,3,4,False
2007-05-01,4,3,1,1,4,False
2007-06-01,1,4,1,2,4,False
2007-07-01,1,3,0,1,3,False
2007-08-01,2,4,0,2,3,False
2007-09-01,4,3,1,1,5,False
2007-10-01,9,2,1,1,4,False
2007-11-01,6,3,0,1,3,False
2007-12-01,3,2,1,1,4,False
2008-01-01,12,3,1,1,3,False
2008-02-01,46,3,0,1,4,False
2008-03-01,13,3,1,1,4,False
2008-04-01,7,4,1,1,4,False
2008-05-01,3,3,1,1,4,False
2008-06-01,2,3,1,1,4,False
2008-07-01,1,2,0,1,2,False
2008-08-01,1,2,1,1,5,False
2008-09-01,4,3,0,1,5,False
2008-10-01,6,3,0,1,5,False
2008-11-01,5,2,0,3,5,False
2008-12-01,5,3,0,3,4,False
2009-01-01,9,4,1,3,5,False
2009-02-01,37,2,0,3,5,False
2009-03-01,15,3,1,6,4,False
2009-04-01,6,2,0,3,5,False
2009-05-01,6,4,0,3,6,False
2009-06-01,2,3,0,13,4,False
2009-07-01,1,2,0,18,4,False
2009-08-01,1,1,0,6,5,False
2009-09-01,4,2,1,6,6,False
2009-10-01,6,2,1,6,4,False
2009-11-01,4,2,1,6,6,False
2009-12-01,4,2,1,3,4,False
2010-01-01,9,3,0,4,5,False
2010-02-01,33,2,1,3,3,False
2010-03-01,13,2,0,4,4,False
2010-04-01,5,2,1,3,4,False
2010-05-01,4,2,0,3,4,False
2010-06-01,1,2,1,3,5,False
2010-07-01,1,2,0,3,3,False
2010-08-01,1,3,0,3,4,False
2010-09-01,3,2,0,4,5,False
2010-10-01,4,2,0,3,5,False
2010-11-01,3,3,0,3,6,False
2010-12-01,2,3,0,3,5,False
2011-01-01,8,2,0,3,4,False
2011-02-01,28,2,0,3,6,False
2011-03-01,10,2,0,2,7,False
2011-04-01,3,3,0,3,5,False
2011-05-01,4,2,1,2,5,False
2011-06-01,1,2,0,3,5,False
2011-07-01,1,2,0,4,4,False
2011-08-01,1,2,0,6,6,False
2011-09-01,2,2,0,3,5,False
2011-10-01,3,2,0,3,5,False
2011-11-01,3,2,0,4,4,False
2011-12-01,2,2,0,3,4,False
2012-01-01,8,2,0,3,4,False
2012-02-01,25,2,0,2,5,False
2012-03-01,8,2,0,2,8,False
2012-04-01,4,2,1,1,5,False
2012-05-01,4,2,0,2,6,False
2012-06-01,1,1,0,2,5,False
2012-07-01,1,2,0,2,4,False
2012-08-01,2,2,0,2,4,False
2012-09-01,3,2,1,1,4,False
2012-10-01,4,2,2,2,4,False
2012-11-01,3,2,1,2,4,False
2012-12-01,2,2,0,1,4,False
2013-01-01,6,2,0,2,4,False
2013-02-01,28,2,1,2,4,False
2013-03-01,8,1,0,1,4,False
2013-04-01,3,2,0,2,4,False
2013-05-01,3,2,0,1,3,False
2013-06-01,2,2,0,2,4,False
2013-07-01,2,2,0,2,4,False
2013-08-01,2,2,0,2,4,False
2013-09-01,3,2,0,4,5,False
2013-10-01,4,2,1,2,4,False
2013-11-01,3,2,1,2,4,False
2013-12-01,2,2,1,8,4,False
2014-01-01,6,2,1,4,3,False
2014-02-01,23,2,1,6,4,False
2014-03-01,8,2,1,16,4,False
2014-04-01,4,2,0,10,3,False
2014-05-01,3,2,0,11,4,False
2014-06-01,2,2,0,3,3,False
2014-07-01,1,2,0,2,4,False
2014-08-01,1,2,0,2,5,False
2014-09-01,2,2,0,1,5,False
2014-10-01,4,2,1,1,4,False
2014-11-01,3,2,1,1,4,False
2014-12-01,2,2,0,1,3,False
2015-01-01,6,2,0,1,3,False
2015-02-01,23,2,0,1,4,False
2015-03-01,9,2,0,1,6,False
2015-04-01,4,2,0,1,6,False
2015-05-01,4,2,0,1,15,False
2015-06-01,2,2,0,1,7,False
2015-07-01,2,2,0,2,8,False
2015-08-01,2,2,0,1,5,False
2015-09-01,3,2,0,2,5,False
2015-10-01,3,2,0,1,4,False
2015-11-01,2,2,0,1,4,False
2015-12-01,3,2,0,1,3,False
2016-01-01,6,2,0,2,4,False
2016-02-01,28,2,0,1,4,False
2016-03-01,10,2,0,1,4,False
2016-04-01,5,2,0,2,3,False
2016-05-01,4,2,0,1,5,False
2016-06-01,2,1,0,1,4,False
2016-07-01,1,2,0,1,4,False
2016-08-01,2,1,0,2,3,False
2016-09-01,4,2,0,2,4,False
2016-10-01,4,2,0,1,4,False
2016-11-01,3,3,0,2,5,False
2016-12-01,3,2,0,3,3,False
2017-01-01,8,3,0,1,3,False
2017-02-01,29,3,1,2,3,False
2017-03-01,13,2,0,1,3,False
2017-04-01,5,2,0,1,3,False
2017-05-01,5,2,0,1,4,False
2017-06-01,2,1,0,1,3,False
2017-07-01,2,2,0,2,3,False
2017-08-01,2,1,0,17,3,False
2017-09-01,3,2,0,5,3,False
2017-10-01,6,2,0,2,2,False
2017-11-01,4,2,0,6,2,False
2017-12-01,3,2,0,2,2,False
2018-01-01,8,2,0,2,3,False
2018-02-01,34,3,0,1,3,False
2018-03-01,13,2,0,2,2,False
2018-04-01,7,2,0,1,3,False
2018-05-01,6,2,0,2,3,False
2018-06-01,3,2,0,2,3,False
2018-07-01,2,2,0,1,2,False
2018-08-01,3,2,0,1,3,False
2018-09-01,4,2,0,1,3,False
2018-10-01,7,1,0,1,3,False
2018-11-01,4,2,0,1,3,False
2018-12-01,4,2,0,1,2,False
2019-01-01,9,2,0,2,2,False
2019-02-01,44,2,0,1,3,False
2019-03-01,19,2,0,1,2,False
2019-04-01,8,1,0,2,3,False
2019-05-01,7,1,0,1,2,False
2019-06-01,3,1,0,2,3,False
2019-07-01,3,1,0,2,4,False
2019-08-01,3,1,0,2,3,False
2019-09-01,5,2,0,2,3,False
2019-10-01,6,2,0,3,3,False
2019-11-01,7,1,0,2,3,False
2019-12-01,4,2,0,1,3,False
2020-01-01,10,2,0,1,4,False
2020-02-01,40,2,0,1,8,False
2020-03-01,13,2,0,1,3,False
2020-04-01,4,2,0,1,3,False
2020-05-01,4,3,0,1,2,False
2020-06-01,5,2,0,1,2,False
2020-07-01,3,2,0,1,5,False
2020-08-01,3,1,0,1,4,False
2020-09-01,5,2,0,1,3,False
2020-10-01,7,2,0,1,3,False
