date,Wade Davis,Phil Borges,Martin Rees,Robert Wright,Iraola,isPartial
2004-01-01,14,6,17,88,6,False
2004-02-01,16,0,14,52,14,False
2004-03-01,30,7,10,57,7,False
2004-04-01,13,5,11,29,13,False
2004-05-01,14,5,23,36,5,False
2004-06-01,11,0,11,43,14,False
2004-07-01,9,0,17,28,7,False
2004-08-01,26,4,4,48,11,False
2004-09-01,18,0,10,40,18,False
2004-10-01,23,4,6,43,12,False
2004-11-01,14,4,25,41,12,False
2004-12-01,19,4,31,40,13,False
2005-01-01,24,0,13,17,10,False
2005-02-01,16,4,4,50,4,False
2005-03-01,19,4,9,37,4,False
2005-04-01,17,0,10,42,5,False
2005-05-01,12,9,12,32,13,False
2005-06-01,16,6,6,61,10,False
2005-07-01,6,9,7,30,8,False
2005-08-01,10,0,4,42,4,False
2005-09-01,16,0,5,30,17,False
2005-10-01,9,0,7,37,14,False
2005-11-01,21,5,7,28,11,False
2005-12-01,19,5,7,26,10,False
2006-01-01,14,2,8,40,6,False
2006-02-01,10,8,4,37,10,False
2006-03-01,9,8,19,30,11,False
2006-04-01,10,2,5,41,11,False
2006-05-01,15,3,6,33,13,False
2006-06-01,13,2,7,30,11,False
2006-07-01,11,4,8,32,11,False
2006-08-01,6,3,7,22,5,False
2006-09-01,12,0,8,24,8,False
2006-10-01,15,0,6,38,7,False
2006-11-01,16,1,8,23,13,False
2006-12-01,13,3,7,30,11,False
2007-01-01,12,1,5,40,8,False
2007-02-01,16,2,5,25,14,False
2007-03-01,8,4,6,27,10,False
2007-04-01,14,3,8,29,9,False
2007-05-01,11,1,4,25,8,False
2007-06-01,11,4,3,22,8,False
2007-07-01,8,3,5,24,10,False
2007-08-01,14,2,8,29,10,False
2007-09-01,7,2,3,22,9,False
2007-10-01,12,4,6,22,10,False
2007-11-01,15,2,3,20,7,False
2007-12-01,16,2,6,21,7,False
2008-01-01,11,1,5,24,10,False
2008-02-01,13,3,5,29,8,False
2008-03-01,10,3,5,30,11,False
2008-04-01,13,2,5,28,12,False
2008-05-01,14,0,4,23,11,False
2008-06-01,8,1,6,22,8,False
2008-07-01,14,1,7,24,5,False
2008-08-01,9,2,2,23,14,False
2008-09-01,12,1,5,25,15,False
2008-10-01,13,1,4,23,9,False
2008-11-01,10,1,4,18,9,False
2008-12-01,15,2,3,24,10,False
2009-01-01,7,1,6,20,11,False
2009-02-01,12,1,6,29,13,False
