date,Eames Demetrios,Tom Wujec,Sophal Ear,Olafur Eliasson,Iraola,isPartial
2014-09-01,1,1,1,28,27,False
2014-10-01,1,1,0,31,21,False
2014-11-01,1,1,0,30,20,False
2014-12-01,1,1,0,31,17,False
2015-01-01,1,1,0,33,16,False
2015-02-01,1,4,1,32,20,False
2015-03-01,1,2,0,24,28,False
2015-04-01,1,1,0,22,29,False
2015-05-01,0,1,1,22,76,False
2015-06-01,0,1,0,20,34,False
2015-07-01,0,1,1,19,38,False
2015-08-01,1,1,0,24,26,False
2015-09-01,0,1,0,27,23,False
2015-10-01,1,1,0,31,18,False
2015-11-01,0,1,0,32,17,False
2015-12-01,0,0,1,31,15,False
2016-01-01,1,2,0,31,18,False
2016-02-01,0,1,0,29,18,False
2016-03-01,0,1,0,27,19,False
2016-04-01,1,2,0,28,14,False
2016-05-01,1,2,1,24,24,False
2016-06-01,1,1,0,42,19,False
2016-07-01,0,2,0,23,21,False
2016-08-01,0,1,0,26,14,False
2016-09-01,1,2,1,28,19,False
2016-10-01,0,2,0,27,18,False
2016-11-01,0,1,0,24,25,False
2016-12-01,1,1,0,18,14,False
2017-01-01,1,1,0,24,14,False
2017-02-01,1,2,0,30,16,False
2017-03-01,0,1,1,31,14,False
2017-04-01,0,1,1,27,14,False
2017-05-01,1,1,0,22,18,False
2017-06-01,0,1,0,18,14,False
2017-07-01,0,1,0,17,15,False
2017-08-01,0,1,0,18,13,False
2017-09-01,0,2,0,24,13,False
2017-10-01,0,1,0,26,12,False
2017-11-01,0,2,1,24,11,False
2017-12-01,1,1,0,20,11,False
2018-01-01,0,1,0,25,15,False
2018-02-01,0,1,1,22,13,False
2018-03-01,0,1,0,25,10,False
2018-04-01,0,2,0,23,12,False
2018-05-01,0,1,0,22,13,False
2018-06-01,0,1,0,26,13,False
2018-07-01,0,1,0,20,12,False
2018-08-01,1,1,1,22,13,False
2018-09-01,0,2,0,22,14,False
2018-10-01,0,3,0,23,15,False
2018-11-01,0,2,0,26,13,False
2018-12-01,1,1,0,24,12,False
2019-01-01,0,1,0,22,12,False
2019-02-01,0,2,0,23,14,False
2019-03-01,1,1,0,19,12,False
2019-04-01,1,1,0,19,15,False
2019-05-01,0,1,0,19,12,False
2019-06-01,1,1,0,21,13,False
2019-07-01,0,1,0,69,18,False
2019-08-01,0,1,0,57,15,False
2019-09-01,0,2,0,74,13,False
2019-10-01,0,1,0,100,12,False
2019-11-01,0,1,0,74,12,False
2019-12-01,1,1,0,57,14,False
2020-01-01,0,1,0,56,22,False
2020-02-01,0,1,0,55,41,False
2020-03-01,0,1,0,38,16,False
2020-04-01,0,1,0,31,13,False
2020-05-01,0,1,0,32,10,False
2020-06-01,0,1,0,26,12,False
2020-07-01,0,1,0,27,26,False
2020-08-01,1,1,1,25,20,False
2020-09-01,1,1,1,28,15,False
2020-10-01,0,1,0,21,16,False
