date,Inge Missmahl,Mechai Viravaidya,Eben Bayer,Tim Jackson,Iraola,isPartial
2004-01-01,0,0,0,56,14,False
2004-02-01,0,0,0,84,37,False
2004-03-01,0,0,0,42,11,False
2004-04-01,0,0,0,57,12,False
2004-05-01,0,0,0,39,10,False
2004-06-01,0,0,0,72,12,False
2004-07-01,0,0,8,28,11,False
2004-08-01,0,0,0,53,13,False
2004-09-01,0,0,0,53,17,False
2004-10-01,0,0,0,33,16,False
2004-11-01,0,0,0,33,21,False
2004-12-01,0,7,0,48,13,False
2005-01-01,0,6,6,21,19,False
2005-02-01,0,6,0,43,15,False
2005-03-01,0,0,0,41,12,False
2005-04-01,0,0,0,38,15,False
2005-05-01,0,0,0,45,17,False
2005-06-01,0,0,0,38,18,False
2005-07-01,0,0,0,46,15,False
2005-08-01,0,0,0,39,13,False
2005-09-01,0,4,0,42,18,False
2005-10-01,0,4,0,34,17,False
2005-11-01,0,4,0,57,17,False
2005-12-01,0,0,0,33,14,False
2006-01-01,0,0,0,37,11,False
2006-02-01,0,0,0,50,14,False
2006-03-01,0,3,0,31,23,False
2006-04-01,0,0,0,32,15,False
2006-05-01,0,3,0,44,15,False
2006-06-01,0,0,0,39,17,False
2006-07-01,3,0,0,34,20,False
2006-08-01,0,0,0,24,12,False
2006-09-01,0,0,0,26,11,False
2006-10-01,0,3,0,31,17,False
2006-11-01,0,3,0,45,15,False
2006-12-01,0,3,0,22,13,False
2007-01-01,0,0,0,33,17,False
2007-02-01,0,0,0,29,15,False
2007-03-01,0,0,0,32,24,False
2007-04-01,0,0,0,28,16,False
2007-05-01,0,2,2,37,15,False
2007-06-01,2,2,2,33,17,False
2007-07-01,0,6,2,27,14,False
2007-08-01,0,3,2,31,11,False
2007-09-01,0,0,0,31,20,False
2007-10-01,0,0,0,28,15,False
2007-11-01,0,2,0,36,13,False
2007-12-01,0,0,0,39,18,False
2008-01-01,0,1,0,32,11,False
2008-02-01,0,3,0,33,18,False
2008-03-01,0,0,0,34,16,False
2008-04-01,1,1,0,28,17,False
2008-05-01,1,0,0,23,17,False
2008-06-01,0,0,0,31,15,False
2008-07-01,0,1,0,27,9,False
2008-08-01,0,3,0,27,20,False
2008-09-01,0,1,0,31,22,False
2008-10-01,0,1,1,28,19,False
2008-11-01,0,0,1,26,19,False
2008-12-01,0,0,0,32,15,False
2009-01-01,0,0,0,38,19,False
2009-02-01,0,0,0,29,21,False
2009-03-01,0,2,0,29,15,False
2009-04-01,0,1,1,30,20,False
2009-05-01,0,0,2,31,24,False
2009-06-01,1,1,1,71,17,False
2009-07-01,0,1,0,100,16,False
2009-08-01,0,1,0,49,20,False
2009-09-01,0,1,0,45,24,False
2009-10-01,1,1,0,45,17,False
2009-11-01,1,1,0,49,23,False
2009-12-01,0,1,0,41,17,False
2010-01-01,0,0,0,41,22,False
2010-02-01,0,1,0,40,11,False
2010-03-01,1,0,0,41,16,False
2010-04-01,0,1,0,43,17,False
2010-05-01,0,1,1,35,15,False
2010-06-01,0,1,1,37,18,False
2010-07-01,2,1,1,40,13,False
2010-08-01,1,1,2,34,17,False
2010-09-01,0,1,1,37,20,False
2010-10-01,1,2,5,44,21,False
2010-11-01,1,1,1,39,26,False
2010-12-01,0,1,2,40,21,False
2011-01-01,0,1,2,43,17,False
2011-02-01,1,1,1,36,23,False
2011-03-01,0,1,1,30,28,False
2011-04-01,0,2,1,34,21,False
2011-05-01,0,1,1,35,19,False
2011-06-01,0,1,1,32,20,False
2011-07-01,1,1,1,28,17,False
2011-08-01,0,1,1,35,26,False
2011-09-01,0,1,1,34,21,False
2011-10-01,1,1,2,41,20,False
2011-11-01,1,1,1,38,18,False
2011-12-01,1,1,1,35,17,False
2012-01-01,0,1,0,36,16,False
2012-02-01,0,1,1,37,19,False
2012-03-01,0,0,1,31,34,False
2012-04-01,1,1,1,28,21,False
2012-05-01,0,1,1,27,25,False
2012-06-01,0,0,1,35,20,False
