date,Melissa Fleming,Susan Etlinger,Fred Swaniker,Joy Sun,Iraola,isPartial
2004-01-01,0,0,0,55,23,False
2004-02-01,0,0,0,45,60,False
2004-03-01,0,0,0,37,18,False
2004-04-01,14,0,0,29,19,False
2004-05-01,0,0,0,46,17,False
2004-06-01,12,0,0,25,19,False
2004-07-01,13,0,0,30,17,False
2004-08-01,12,0,0,24,20,False
2004-09-01,11,0,0,33,28,False
2004-10-01,17,0,0,30,26,False
2004-11-01,11,0,0,26,34,False
2004-12-01,11,0,0,52,21,False
2005-01-01,0,0,0,34,31,False
2005-02-01,10,0,0,59,24,False
2005-03-01,8,8,0,52,19,False
2005-04-01,9,0,0,24,24,False
2005-05-01,8,0,8,52,27,False
2005-06-01,8,0,0,38,29,False
2005-07-01,8,0,0,46,25,False
2005-08-01,16,0,0,20,21,False
2005-09-01,11,0,0,29,29,False
2005-10-01,10,0,0,34,27,False
2005-11-01,7,0,7,34,27,False
2005-12-01,7,0,0,35,22,False
2006-01-01,6,0,0,36,17,False
2006-02-01,12,0,0,18,22,False
2006-03-01,12,0,0,37,38,False
2006-04-01,7,0,6,26,24,False
2006-05-01,5,0,0,30,24,False
2006-06-01,5,0,5,30,27,False
2006-07-01,8,0,0,42,32,False
2006-08-01,15,0,0,26,20,False
2006-09-01,5,0,0,24,17,False
2006-10-01,0,0,0,16,27,False
2006-11-01,6,0,0,26,25,False
2006-12-01,9,0,0,20,22,False
2007-01-01,4,0,0,17,27,False
2007-02-01,4,0,0,14,24,False
2007-03-01,0,0,0,27,39,False
2007-04-01,5,0,0,28,25,False
2007-05-01,3,0,0,29,25,False
2007-06-01,3,3,3,30,27,False
2007-07-01,3,0,0,24,22,False
2007-08-01,3,0,0,22,17,False
2007-09-01,3,3,0,26,32,False
2007-10-01,5,0,3,24,24,False
2007-11-01,4,0,0,26,21,False
2007-12-01,0,0,0,19,28,False
2008-01-01,4,0,0,28,18,False
2008-02-01,6,0,0,23,29,False
2008-03-01,2,0,0,20,25,False
2008-04-01,5,0,2,30,27,False
2008-05-01,5,0,2,40,27,False
2008-06-01,2,0,0,21,24,False
2008-07-01,3,0,0,38,15,False
2008-08-01,2,0,0,21,32,False
2008-09-01,3,0,2,31,35,False
2008-10-01,2,2,0,20,30,False
2008-11-01,2,2,0,21,31,False
2008-12-01,5,0,0,25,25,False
2009-01-01,4,0,2,29,30,False
2009-02-01,3,0,0,21,35,False
2009-03-01,3,0,2,29,24,False
2009-04-01,3,0,0,32,32,False
2009-05-01,3,0,0,31,39,False
2009-06-01,4,0,0,20,27,False
2009-07-01,2,0,0,25,26,False
2009-08-01,2,0,0,28,32,False
2009-09-01,2,0,2,26,38,False
2009-10-01,3,1,2,22,28,False
2009-11-01,2,0,1,29,36,False
2009-12-01,4,0,0,26,27,False
2010-01-01,2,0,0,27,35,False
2010-02-01,2,0,1,17,18,False
2010-03-01,4,0,1,20,26,False
2010-04-01,3,0,1,31,27,False
2010-05-01,3,1,0,28,24,False
2010-06-01,3,0,1,30,29,False
2010-07-01,2,0,1,30,20,False
2010-08-01,2,2,1,24,27,False
2010-09-01,2,1,1,24,32,False
2010-10-01,1,0,1,26,34,False
2010-11-01,3,0,1,22,42,False
2010-12-01,2,0,0,29,34,False
2011-01-01,2,1,1,24,28,False
2011-02-01,4,0,2,34,38,False
2011-03-01,2,0,1,26,46,False
2011-04-01,2,1,1,26,34,False
2011-05-01,2,0,1,23,31,False
2011-06-01,4,0,2,34,33,False
2011-07-01,1,0,1,29,28,False
2011-08-01,1,1,0,30,42,False
2011-09-01,3,0,1,31,34,False
2011-10-01,2,1,2,28,32,False
2011-11-01,3,1,2,28,28,False
2011-12-01,2,0,1,27,27,False
2012-01-01,1,1,3,26,25,False
2012-02-01,3,1,2,25,30,False
2012-03-01,2,1,1,25,54,False
2012-04-01,2,1,1,31,34,False
2012-05-01,2,0,2,27,41,False
2012-06-01,2,1,0,22,32,False
2012-07-01,3,1,1,26,23,False
2012-08-01,2,1,2,22,24,False
2012-09-01,2,1,1,21,26,False
2012-10-01,2,0,1,21,25,False
2012-11-01,2,1,0,26,27,False
2012-12-01,1,0,1,25,23,False
2013-01-01,1,1,1,19,24,False
2013-02-01,2,0,1,20,25,False
2013-03-01,2,1,1,20,23,False
