date,Amy Webb,Fabian Oefner,Jason Pontin,Michael Porter,Iraola,isPartial
2017-11-01,1,0,0,66,2,False
2017-12-01,1,0,0,25,2,False
2018-01-01,1,0,0,27,3,False
2018-02-01,1,0,0,48,3,False
2018-03-01,1,0,0,68,2,False
2018-04-01,1,0,0,25,3,False
2018-05-01,1,0,0,42,3,False
2018-06-01,1,0,0,100,3,False
2018-07-01,1,0,0,34,3,False
2018-08-01,1,0,0,24,3,False
2018-09-01,1,0,0,23,3,False
2018-10-01,1,0,0,38,3,False
2018-11-01,1,0,0,37,3,False
2018-12-01,1,0,0,30,3,False
2019-01-01,1,0,0,32,3,False
2019-02-01,1,0,0,36,3,False
2019-03-01,3,0,0,30,2,False
2019-04-01,2,0,0,25,3,False
2019-05-01,1,0,0,29,3,False
2019-06-01,1,0,0,33,3,False
2019-07-01,2,0,0,29,4,False
2019-08-01,1,0,0,21,3,False
2019-09-01,1,0,0,20,3,False
2019-10-01,1,0,0,40,3,False
2019-11-01,1,0,0,32,3,False
2019-12-01,1,0,0,28,3,False
2020-01-01,1,0,0,48,5,False
2020-02-01,1,0,0,29,9,False
2020-03-01,1,0,0,19,3,False
2020-04-01,1,0,0,17,3,False
2020-05-01,1,0,0,23,2,False
2020-06-01,1,0,0,18,3,False
2020-07-01,1,0,0,21,5,False
2020-08-01,1,0,0,62,4,False
2020-09-01,1,0,0,78,3,False
2020-10-01,1,0,0,28,3,False
