date,Sherwin Nuland,Matthieu Ricard,Lawrence Lessig,Paul Rothemund,Iraola,isPartial
2004-01-01,15,23,25,0,23,False
2004-02-01,30,0,55,0,60,False
2004-03-01,0,19,65,0,18,False
2004-04-01,0,43,68,0,19,False
2004-05-01,19,13,46,0,17,False
2004-06-01,38,12,41,12,19,False
2004-07-01,0,13,56,0,17,False
2004-08-01,0,0,48,0,20,False
2004-09-01,11,11,41,0,28,False
2004-10-01,11,11,72,0,26,False
2004-11-01,0,15,53,0,34,False
2004-12-01,11,21,42,0,21,False
2005-01-01,9,9,34,9,31,False
2005-02-01,20,16,72,0,24,False
2005-03-01,12,17,41,0,19,False
2005-04-01,9,14,31,9,24,False
2005-05-01,8,19,40,0,27,False
2005-06-01,16,8,48,0,29,False
2005-07-01,8,41,58,0,25,False
2005-08-01,8,34,18,0,21,False
2005-09-01,17,19,26,0,29,False
2005-10-01,14,18,72,7,27,False
2005-11-01,11,20,74,0,27,False
2005-12-01,13,15,38,0,22,False
2006-01-01,12,14,25,6,17,False
2006-02-01,9,12,32,12,22,False
2006-03-01,8,5,32,20,38,False
2006-04-01,8,26,44,6,24,False
2006-05-01,10,13,24,5,24,False
2006-06-01,5,13,41,5,27,False
2006-07-01,5,9,27,5,32,False
2006-08-01,5,18,25,0,20,False
2006-09-01,5,11,31,0,17,False
2006-10-01,4,16,27,0,27,False
2006-11-01,8,4,28,4,25,False
2006-12-01,7,6,26,0,22,False
2007-01-01,7,30,10,7,27,False
2007-02-01,7,26,41,8,24,False
2007-03-01,9,21,31,0,39,False
2007-04-01,6,34,25,8,25,False
2007-05-01,8,27,32,3,25,False
2007-06-01,4,21,27,3,27,False
2007-07-01,6,16,17,6,22,False
2007-08-01,6,30,20,0,17,False
2007-09-01,3,20,17,10,32,False
2007-10-01,6,23,24,0,24,False
2007-11-01,4,30,27,3,21,False
2007-12-01,5,20,20,0,28,False
2008-01-01,5,28,14,3,18,False
2008-02-01,3,27,56,5,29,False
2008-03-01,5,28,23,3,25,False
2008-04-01,6,49,28,5,27,False
2008-05-01,2,28,22,4,27,False
2008-06-01,3,13,27,0,24,False
2008-07-01,4,25,17,0,15,False
2008-08-01,2,23,18,2,32,False
2008-09-01,5,21,24,2,35,False
2008-10-01,6,40,37,2,30,False
2008-11-01,2,32,52,0,31,False
2008-12-01,4,20,29,3,25,False
2009-01-01,5,23,39,2,30,False
2009-02-01,8,16,23,2,35,False
2009-03-01,6,20,26,3,24,False
2009-04-01,4,23,23,3,32,False
2009-05-01,2,28,23,2,39,False
2009-06-01,6,12,15,2,27,False
2009-07-01,3,19,13,2,26,False
2009-08-01,4,15,13,3,32,False
2009-09-01,3,25,16,3,38,False
2009-10-01,5,22,24,3,28,False
2009-11-01,3,33,23,3,36,False
2009-12-01,2,17,15,0,27,False
2010-01-01,3,29,20,3,35,False
2010-02-01,5,30,28,1,18,False
2010-03-01,4,27,26,1,26,False
2010-04-01,4,21,27,1,27,False
2010-05-01,2,36,25,1,24,False
2010-06-01,3,25,18,0,29,False
2010-07-01,3,26,12,2,20,False
2010-08-01,2,31,14,1,27,False
2010-09-01,3,36,12,0,32,False
2010-10-01,3,31,18,2,34,False
2010-11-01,5,31,18,0,42,False
2010-12-01,3,24,11,0,34,False
2011-01-01,4,43,12,0,28,False
2011-02-01,2,21,18,1,38,False
2011-03-01,3,18,16,1,46,False
2011-04-01,4,29,20,3,34,False
2011-05-01,3,24,13,1,31,False
2011-06-01,2,28,9,0,33,False
2011-07-01,3,33,13,1,28,False
2011-08-01,2,20,11,0,42,False
2011-09-01,2,25,15,1,34,False
2011-10-01,3,26,33,2,32,False
2011-11-01,3,31,34,1,28,False
2011-12-01,3,21,43,1,27,False
2012-01-01,3,26,30,1,25,False
2012-02-01,1,25,20,2,30,False
2012-03-01,1,26,20,1,54,False
2012-04-01,3,31,17,1,34,False
2012-05-01,1,26,13,1,41,False
2012-06-01,2,16,16,1,32,False
2012-07-01,3,22,9,1,23,False
2012-08-01,3,27,9,1,24,False
2012-09-01,2,19,11,1,26,False
2012-10-01,3,29,11,1,25,False
2012-11-01,2,43,13,1,27,False
2012-12-01,2,22,8,1,23,False
2013-01-01,3,24,27,1,24,False
2013-02-01,2,24,15,1,25,False
2013-03-01,3,20,12,1,23,False
2013-04-01,2,23,29,1,25,False
2013-05-01,3,26,14,1,21,False
2013-06-01,2,24,16,1,23,False
2013-07-01,3,24,8,0,23,False
2013-08-01,4,22,8,1,24,False
2013-09-01,4,46,13,0,30,False
2013-10-01,3,72,13,1,26,False
2013-11-01,4,49,10,1,24,False
2013-12-01,3,40,8,1,25,False
2014-01-01,3,37,10,1,22,False
2014-02-01,3,30,13,1,25,False
2014-03-01,26,25,12,1,28,False
2014-04-01,5,39,18,1,22,False
2014-05-01,2,44,20,1,25,False
2014-06-01,2,25,10,1,21,False
2014-07-01,2,31,19,0,26,False
2014-08-01,2,25,7,1,34,False
2014-09-01,4,27,9,1,35,False
2014-10-01,3,62,17,1,27,False
2014-11-01,1,34,18,1,26,False
2014-12-01,3,37,9,1,22,False
2015-01-01,7,38,9,1,21,False
2015-02-01,3,38,8,0,26,False
2015-03-01,4,24,13,0,37,False
2015-04-01,3,41,13,1,38,False
2015-05-01,2,57,8,0,100,False
2015-06-01,2,44,7,0,44,False
2015-07-01,2,36,5,0,50,False
2015-08-01,2,31,55,1,34,False
2015-09-01,2,36,64,0,30,False
2015-10-01,2,86,71,1,24,False
2015-11-01,2,37,25,1,23,False
2015-12-01,2,34,12,0,20,False
2016-01-01,2,58,11,0,24,False
2016-02-01,3,54,15,2,23,False
2016-03-01,2,34,10,0,26,False
2016-04-01,1,33,9,0,18,False
2016-05-01,2,27,7,0,32,False
2016-06-01,1,24,5,0,26,False
2016-07-01,4,22,5,0,28,False
2016-08-01,3,31,4,1,18,False
2016-09-01,2,28,6,1,25,False
2016-10-01,2,31,8,0,24,False
2016-11-01,2,38,14,1,33,False
2016-12-01,2,30,18,0,19,False
2017-01-01,2,40,10,1,18,False
2017-02-01,2,26,6,0,21,False
2017-03-01,2,23,5,0,18,False
2017-04-01,1,23,9,0,19,False
2017-05-01,1,23,5,0,24,False
2017-06-01,1,19,4,0,19,False
2017-07-01,2,22,3,1,20,False
2017-08-01,1,24,3,0,18,False
2017-09-01,1,23,5,0,18,False
2017-10-01,1,53,8,0,16,False
2017-11-01,1,31,5,0,14,False
2017-12-01,1,33,6,0,14,False
2018-01-01,2,26,18,1,19,False
2018-02-01,2,23,7,0,17,False
2018-03-01,2,18,8,1,14,False
2018-04-01,2,17,5,0,16,False
2018-05-01,1,21,4,1,17,False
2018-06-01,2,22,4,1,17,False
2018-07-01,1,28,4,0,16,False
2018-08-01,2,25,3,0,17,False
2018-09-01,2,18,5,0,18,False
2018-10-01,1,18,6,1,20,False
2018-11-01,2,18,5,1,17,False
2018-12-01,2,17,50,0,16,False
2019-01-01,1,47,11,0,16,False
2019-02-01,1,40,7,0,19,False
2019-03-01,1,23,7,0,15,False
2019-04-01,1,20,8,0,19,False
2019-05-01,1,16,9,1,16,False
2019-06-01,1,18,5,0,17,False
2019-07-01,1,19,4,0,24,False
2019-08-01,2,17,3,0,20,False
2019-09-01,1,17,7,1,17,False
2019-10-01,2,32,4,0,16,False
2019-11-01,1,22,5,0,16,False
2019-12-01,1,21,6,0,19,False
2020-01-01,1,21,6,0,28,False
2020-02-01,2,16,3,0,54,False
2020-03-01,1,18,4,0,21,False
2020-04-01,1,54,2,0,17,False
2020-05-01,2,23,3,1,14,False
2020-06-01,1,20,5,1,16,False
2020-07-01,2,18,5,0,34,False
2020-08-01,1,14,6,0,27,False
2020-09-01,2,15,4,0,19,False
2020-10-01,1,14,6,0,21,False
