date,Maya Beiser,Bill Ford,Daniel Tammet,Jok Church,Iraola,isPartial
2004-01-01,11,100,0,5,8,False
2004-02-01,0,56,0,0,22,False
2004-03-01,0,76,7,0,7,False
2004-04-01,0,94,0,0,7,False
2004-05-01,5,74,0,0,6,False
2004-06-01,4,67,4,0,7,False
2004-07-01,0,47,0,0,6,False
2004-08-01,0,77,0,0,7,False
2004-09-01,0,81,0,4,10,False
2004-10-01,0,40,0,4,10,False
2004-11-01,4,68,0,0,12,False
2004-12-01,0,70,6,0,8,False
2005-01-01,3,64,3,0,11,False
2005-02-01,0,78,25,4,9,False
2005-03-01,3,49,10,3,7,False
2005-04-01,0,74,18,0,9,False
2005-05-01,0,58,47,0,10,False
2005-06-01,3,67,15,0,11,False
2005-07-01,3,83,8,0,9,False
2005-08-01,0,72,13,3,8,False
2005-09-01,3,79,9,0,10,False
2005-10-01,2,63,3,0,10,False
2005-11-01,2,75,5,2,10,False
2005-12-01,0,65,6,2,8,False
2006-01-01,2,81,4,0,6,False
2006-02-01,0,58,6,2,8,False
2006-03-01,3,73,9,0,14,False
2006-04-01,2,70,7,2,9,False
2006-05-01,0,71,4,0,8,False
2006-06-01,2,66,4,0,10,False
2006-07-01,2,72,13,0,12,False
2006-08-01,0,87,12,0,7,False
2006-09-01,3,87,19,0,6,False
2006-10-01,2,73,7,0,10,False
2006-11-01,6,65,6,0,9,False
2006-12-01,2,70,6,2,8,False
2007-01-01,1,61,36,0,10,False
2007-02-01,0,54,36,0,9,False
2007-03-01,1,65,80,0,14,False
2007-04-01,0,69,32,0,9,False
2007-05-01,1,70,18,0,9,False
2007-06-01,2,67,22,0,10,False
2007-07-01,1,63,25,0,8,False
2007-08-01,1,68,27,1,6,False
2007-09-01,1,51,27,0,12,False
2007-10-01,0,57,27,0,9,False
2007-11-01,0,53,29,0,7,False
2007-12-01,1,45,22,0,10,False
2008-01-01,1,63,13,0,7,False
2008-02-01,0,62,18,0,10,False
2008-03-01,0,53,12,0,9,False
2008-04-01,0,57,12,0,10,False
2008-05-01,1,52,13,0,10,False
2008-06-01,1,63,11,0,9,False
2008-07-01,2,51,19,0,5,False
2008-08-01,1,51,20,0,12,False
2008-09-01,1,60,11,1,13,False
2008-10-01,1,53,13,0,11,False
2008-11-01,1,45,10,0,11,False
2008-12-01,1,53,11,0,9,False
2009-01-01,1,54,49,0,11,False
2009-02-01,2,58,38,0,12,False
2009-03-01,1,60,54,0,9,False
2009-04-01,1,55,24,0,11,False
2009-05-01,2,54,19,1,14,False
2009-06-01,1,68,20,0,10,False
2009-07-01,1,72,14,0,9,False
2009-08-01,1,77,17,0,12,False
2009-09-01,1,55,16,0,14,False
2009-10-01,1,54,12,1,10,False
2009-11-01,1,51,13,1,13,False
2009-12-01,0,52,15,1,10,False
2010-01-01,0,61,13,0,13,False
2010-02-01,1,57,11,1,6,False
2010-03-01,1,61,20,0,9,False
2010-04-01,0,55,13,0,10,False
2010-05-01,1,52,10,0,9,False
2010-06-01,1,52,33,0,11,False
2010-07-01,1,64,9,0,7,False
2010-08-01,1,58,14,0,10,False
2010-09-01,1,55,11,0,12,False
2010-10-01,1,48,10,0,12,False
2010-11-01,1,48,15,0,15,False
2010-12-01,1,54,17,0,12,False
2011-01-01,1,57,11,0,10,False
2011-02-01,1,59,10,0,14,False
2011-03-01,1,54,12,0,16,False
2011-04-01,1,62,11,0,12,False
2011-05-01,0,52,6,0,11,False
2011-06-01,2,55,13,2,12,False
2011-07-01,1,58,13,2,10,False
2011-08-01,1,57,10,0,15,False
2011-09-01,1,52,8,0,12,False
2011-10-01,1,53,9,0,11,False
2011-11-01,1,47,9,1,10,False
2011-12-01,0,43,9,0,10,False
2012-01-01,1,53,9,1,9,False
2012-02-01,1,59,8,0,11,False
2012-03-01,0,53,15,0,20,False
2012-04-01,1,51,12,0,12,False
2012-05-01,1,56,12,0,15,False
2012-06-01,0,52,9,0,12,False
2012-07-01,1,58,8,0,8,False
2012-08-01,0,54,10,0,9,False
2012-09-01,0,56,7,0,9,False
2012-10-01,1,47,8,0,9,False
2012-11-01,0,50,12,0,10,False
2012-12-01,0,49,9,0,8,False
2013-01-01,1,56,26,0,8,False
2013-02-01,1,56,12,0,9,False
2013-03-01,1,56,10,0,8,False
2013-04-01,0,53,8,0,9,False
2013-05-01,1,50,12,0,8,False
2013-06-01,1,53,9,0,8,False
2013-07-01,1,55,8,0,8,False
2013-08-01,1,53,7,0,9,False
2013-09-01,1,52,10,0,11,False
2013-10-01,0,52,10,0,9,False
2013-11-01,1,63,11,0,9,False
2013-12-01,1,49,8,0,9,False
2014-01-01,1,55,6,0,8,False
2014-02-01,3,61,9,0,9,False
2014-03-01,1,60,9,0,10,False
2014-04-01,1,55,9,0,8,False
2014-05-01,1,56,8,0,9,False
2014-06-01,1,56,8,0,7,False
2014-07-01,1,53,10,0,9,False
2014-08-01,2,58,10,0,12,False
2014-09-01,2,53,10,0,13,False
2014-10-01,5,46,12,0,10,False
2014-11-01,1,51,8,0,9,False
2014-12-01,1,51,6,0,8,False
2015-01-01,1,53,6,0,8,False
2015-02-01,1,56,8,0,10,False
2015-03-01,1,60,7,0,13,False
2015-04-01,0,62,6,0,14,False
2015-05-01,0,55,7,0,36,False
2015-06-01,0,58,6,0,16,False
2015-07-01,0,56,6,0,18,False
2015-08-01,0,60,5,0,12,False
2015-09-01,1,55,8,0,11,False
2015-10-01,2,52,7,0,9,False
2015-11-01,1,54,5,0,8,False
2015-12-01,0,64,4,0,7,False
2016-01-01,0,51,3,0,9,False
2016-02-01,0,57,3,0,8,False
2016-03-01,0,56,7,0,9,False
2016-04-01,0,49,11,0,7,False
2016-05-01,0,49,7,1,12,False
2016-06-01,0,49,4,0,9,False
2016-07-01,1,49,2,0,10,False
2016-08-01,1,49,3,0,6,False
2016-09-01,0,49,3,0,9,False
2016-10-01,1,48,4,0,9,False
2016-11-01,0,61,4,0,12,False
2016-12-01,1,46,4,0,7,False
2017-01-01,0,51,3,0,6,False
2017-02-01,0,52,5,0,8,False
2017-03-01,1,48,4,0,7,False
2017-04-01,0,50,4,0,7,False
2017-05-01,0,51,5,0,9,False
2017-06-01,0,48,5,0,7,False
2017-07-01,1,50,4,0,7,False
2017-08-01,0,50,5,0,6,False
2017-09-01,0,47,6,0,6,False
2017-10-01,0,49,7,0,6,False
2017-11-01,1,46,6,0,5,False
