date,Maira Kalman,Jan Chipchase,VS Ramachandran,Eleni Gabre-Madhin,Iraola,isPartial
2004-01-01,15,0,0,0,23,False
2004-02-01,0,15,0,0,60,False
2004-03-01,0,0,0,0,18,False
2004-04-01,43,0,15,0,19,False
2004-05-01,29,0,13,0,17,False
2004-06-01,12,0,0,0,19,False
2004-07-01,13,13,13,0,17,False
2004-08-01,12,0,12,0,20,False
2004-09-01,22,0,0,0,28,False
2004-10-01,11,0,11,0,26,False
2004-11-01,15,0,11,0,34,False
2004-12-01,11,0,10,0,21,False
2005-01-01,14,0,9,0,31,False
2005-02-01,10,0,0,0,24,False
2005-03-01,12,0,8,0,19,False
2005-04-01,28,0,9,0,24,False
2005-05-01,8,0,0,0,27,False
2005-06-01,8,0,0,0,29,False
2005-07-01,16,0,8,0,25,False
2005-08-01,16,0,0,0,21,False
2005-09-01,7,0,7,0,29,False
2005-10-01,17,0,13,0,27,False
2005-11-01,16,0,0,0,27,False
2005-12-01,9,0,0,0,22,False
2006-01-01,6,0,0,0,17,False
2006-02-01,12,6,0,0,22,False
2006-03-01,10,5,10,0,38,False
2006-04-01,0,0,11,0,24,False
2006-05-01,13,0,0,0,24,False
2006-06-01,12,0,5,0,27,False
2006-07-01,7,0,8,0,32,False
2006-08-01,8,0,10,0,20,False
2006-09-01,14,5,0,0,17,False
2006-10-01,9,0,9,0,27,False
2006-11-01,18,0,6,0,25,False
2006-12-01,19,0,4,0,22,False
2007-01-01,5,7,0,0,27,False
2007-02-01,14,5,0,0,24,False
2007-03-01,8,3,5,3,39,False
2007-04-01,13,4,0,0,25,False
2007-05-01,8,7,3,0,25,False
2007-06-01,3,3,0,0,27,False
2007-07-01,5,5,3,6,22,False
2007-08-01,4,6,3,0,17,False
2007-09-01,10,3,4,0,32,False
2007-10-01,17,5,8,0,24,False
2007-11-01,15,3,4,4,21,False
2007-12-01,16,8,5,3,28,False
2008-01-01,8,3,5,0,18,False
2008-02-01,11,3,4,2,29,False
2008-03-01,6,3,3,2,25,False
2008-04-01,8,5,7,5,27,False
2008-05-01,10,6,4,0,27,False
2008-06-01,6,5,0,2,24,False
2008-07-01,7,6,2,2,15,False
2008-08-01,7,8,4,0,32,False
2008-09-01,9,8,3,2,35,False
2008-10-01,5,3,4,2,30,False
2008-11-01,6,3,4,2,31,False
2008-12-01,5,6,6,0,25,False
2009-01-01,22,5,3,2,30,False
2009-02-01,22,4,2,0,35,False
2009-03-01,15,3,3,0,24,False
2009-04-01,28,2,3,2,32,False
2009-05-01,15,3,4,0,39,False
2009-06-01,15,4,3,0,27,False
2009-07-01,13,2,3,5,26,False
2009-08-01,21,5,3,4,32,False
2009-09-01,12,3,4,3,38,False
2009-10-01,10,6,5,1,28,False
2009-11-01,13,2,4,0,36,False
2009-12-01,14,3,3,1,27,False
2010-01-01,16,3,9,0,35,False
2010-02-01,13,4,3,1,18,False
2010-03-01,10,1,5,1,26,False
2010-04-01,10,4,8,0,27,False
2010-05-01,6,3,2,0,24,False
2010-06-01,12,2,4,0,29,False
2010-07-01,12,2,2,1,20,False
2010-08-01,15,3,8,1,27,False
2010-09-01,16,3,3,1,32,False
2010-10-01,33,3,4,0,34,False
2010-11-01,23,4,2,2,42,False
2010-12-01,20,1,4,0,34,False
2011-01-01,13,3,6,0,28,False
2011-02-01,12,5,5,2,38,False
2011-03-01,19,2,4,0,46,False
2011-04-01,20,3,11,1,34,False
2011-05-01,16,1,6,0,31,False
2011-06-01,14,1,4,2,33,False
2011-07-01,13,3,4,0,28,False
2011-08-01,12,2,8,1,42,False
2011-09-01,10,2,5,1,34,False
2011-10-01,13,2,7,1,32,False
2011-11-01,14,2,9,1,28,False
2011-12-01,11,1,4,2,27,False
2012-01-01,22,3,5,2,25,False
2012-02-01,16,3,5,1,30,False
2012-03-01,13,2,5,1,54,False
2012-04-01,8,2,5,0,34,False
2012-05-01,7,1,4,1,41,False
2012-06-01,8,2,4,2,32,False
2012-07-01,9,1,5,2,23,False
2012-08-01,9,1,5,1,24,False
2012-09-01,11,2,6,3,26,False
2012-10-01,9,2,5,2,25,False
2012-11-01,11,1,4,0,27,False
2012-12-01,8,2,4,0,23,False
2013-01-01,10,2,4,1,24,False
2013-02-01,6,1,3,1,25,False
2013-03-01,11,2,5,1,23,False
2013-04-01,9,3,3,1,25,False
2013-05-01,9,1,5,1,21,False
2013-06-01,8,2,4,1,23,False
2013-07-01,5,3,4,1,23,False
2013-08-01,6,1,4,0,24,False
2013-09-01,6,1,3,0,30,False
2013-10-01,6,2,5,1,26,False
2013-11-01,5,1,3,1,24,False
2013-12-01,5,1,4,2,25,False
2014-01-01,7,1,2,1,22,False
2014-02-01,7,1,4,1,25,False
2014-03-01,6,1,3,1,28,False
2014-04-01,5,2,2,1,22,False
2014-05-01,7,1,3,1,25,False
2014-06-01,8,1,2,1,21,False
2014-07-01,8,1,3,1,26,False
2014-08-01,6,1,2,1,34,False
2014-09-01,6,1,5,1,35,False
2014-10-01,6,1,2,1,27,False
2014-11-01,7,1,4,1,26,False
2014-12-01,9,1,3,1,22,False
2015-01-01,9,1,2,0,21,False
