date,Shaka Senghor,Lorrie Faith Cranor,Naomi Oreskes,Ge Wang,Iraola,isPartial
2008-04-01,0,0,17,11,27,False
2008-05-01,0,0,2,15,27,False
2008-06-01,0,0,0,13,24,False
2008-07-01,0,0,4,16,15,False
2008-08-01,0,0,3,12,32,False
2008-09-01,0,0,0,13,35,False
2008-10-01,0,2,2,12,30,False
2008-11-01,0,2,6,16,31,False
2008-12-01,0,0,3,17,25,False
2009-01-01,0,0,3,13,30,False
2009-02-01,0,0,4,17,35,False
2009-03-01,0,0,2,17,24,False
2009-04-01,0,2,2,17,32,False
2009-05-01,0,3,3,12,39,False
2009-06-01,0,2,3,15,27,False
2009-07-01,0,0,2,16,26,False
2009-08-01,0,2,0,15,32,False
2009-09-01,0,0,2,8,38,False
2009-10-01,0,0,1,13,28,False
2009-11-01,0,0,2,14,36,False
2009-12-01,0,0,2,11,27,False
2010-01-01,0,0,2,10,35,False
2010-02-01,0,0,3,10,18,False
2010-03-01,0,1,3,11,26,False
2010-04-01,0,0,4,9,27,False
2010-05-01,0,0,2,12,24,False
2010-06-01,1,0,7,9,29,False
2010-07-01,0,0,2,10,20,False
2010-08-01,0,0,4,10,27,False
2010-09-01,0,0,5,12,32,False
2010-10-01,0,0,7,9,34,False
2010-11-01,0,0,4,10,42,False
2010-12-01,0,0,2,11,34,False
2011-01-01,1,0,2,8,28,False
2011-02-01,0,0,3,15,38,False
2011-03-01,1,0,4,9,46,False
2011-04-01,0,1,2,10,34,False
2011-05-01,0,1,3,12,31,False
2011-06-01,0,0,2,9,33,False
2011-07-01,0,0,4,10,28,False
2011-08-01,0,0,2,12,42,False
2011-09-01,0,0,2,9,34,False
2011-10-01,1,1,3,8,32,False
2011-11-01,0,0,2,11,28,False
2011-12-01,0,1,2,7,27,False
2012-01-01,1,0,3,10,25,False
2012-02-01,0,1,2,11,30,False
2012-03-01,1,1,3,8,54,False
2012-04-01,1,0,3,9,34,False
2012-05-01,0,1,2,8,41,False
2012-06-01,1,0,2,9,32,False
2012-07-01,0,0,1,8,23,False
2012-08-01,0,0,1,8,24,False
2012-09-01,1,0,1,8,26,False
2012-10-01,0,0,2,6,25,False
2012-11-01,0,0,1,6,27,False
2012-12-01,1,0,2,8,23,False
2013-01-01,1,0,2,7,24,False
2013-02-01,1,0,1,7,25,False
2013-03-01,2,1,1,12,23,False
2013-04-01,1,0,1,9,25,False
2013-05-01,1,1,1,8,21,False
2013-06-01,1,1,2,7,23,False
2013-07-01,1,1,1,6,23,False
2013-08-01,1,0,2,6,24,False
2013-09-01,1,0,1,10,30,False
2013-10-01,1,0,2,9,26,False
2013-11-01,1,0,2,8,24,False
2013-12-01,0,0,1,8,25,False
2014-01-01,0,0,1,8,22,False
2014-02-01,1,0,1,6,25,False
2014-03-01,1,1,1,10,28,False
2014-04-01,1,0,1,8,22,False
2014-05-01,1,0,4,9,25,False
2014-06-01,3,1,2,7,21,False
2014-07-01,5,1,5,9,26,False
2014-08-01,2,1,4,10,34,False
2014-09-01,2,0,2,7,35,False
2014-10-01,1,0,3,8,27,False
2014-11-01,1,1,3,10,26,False
2014-12-01,1,1,2,8,22,False
2015-01-01,1,1,3,9,21,False
2015-02-01,1,0,2,8,26,False
2015-03-01,2,1,3,6,37,False
2015-04-01,2,0,2,7,38,False
2015-05-01,1,1,1,7,100,False
2015-06-01,2,0,7,8,44,False
2015-07-01,2,0,3,9,50,False
2015-08-01,3,0,2,13,34,False
2015-09-01,1,0,4,11,30,False
2015-10-01,2,0,3,10,24,False
2015-11-01,1,0,4,10,23,False
2015-12-01,1,1,4,8,20,False
2016-01-01,2,0,2,7,24,False
2016-02-01,2,0,2,8,23,False
2016-03-01,28,0,4,7,26,False
2016-04-01,9,0,2,9,18,False
2016-05-01,10,0,1,7,32,False
2016-06-01,3,0,1,9,26,False
2016-07-01,4,0,1,8,28,False
2016-08-01,2,0,1,8,18,False
2016-09-01,3,1,1,8,25,False
2016-10-01,4,0,1,11,24,False
2016-11-01,4,0,2,9,33,False
2016-12-01,1,0,2,7,19,False
2017-01-01,3,0,3,7,18,False
2017-02-01,4,0,3,9,21,False
2017-03-01,2,0,3,7,18,False
2017-04-01,3,0,2,5,19,False
2017-05-01,4,0,2,6,24,False
2017-06-01,2,0,2,6,19,False
2017-07-01,4,0,3,7,20,False
2017-08-01,1,0,2,9,18,False
2017-09-01,2,0,2,6,18,False
2017-10-01,6,0,2,7,16,False
2017-11-01,4,0,3,7,14,False
2017-12-01,2,0,1,5,14,False
2018-01-01,3,0,2,6,19,False
2018-02-01,3,0,3,7,17,False
2018-03-01,4,0,2,5,14,False
2018-04-01,3,0,2,5,16,False
2018-05-01,2,0,1,5,17,False
2018-06-01,2,0,1,7,17,False
2018-07-01,2,0,1,4,16,False
2018-08-01,2,0,2,7,17,False
2018-09-01,2,0,1,6,18,False
2018-10-01,2,0,2,6,20,False
2018-11-01,2,0,2,7,17,False
2018-12-01,1,0,2,8,16,False
2019-01-01,3,1,3,5,16,False
2019-02-01,2,0,2,5,19,False
2019-03-01,1,0,2,6,15,False
2019-04-01,1,0,2,5,19,False
2019-05-01,1,0,1,4,16,False
2019-06-01,2,0,1,6,17,False
2019-07-01,8,0,1,5,24,False
2019-08-01,4,0,2,5,20,False
2019-09-01,3,0,3,5,17,False
2019-10-01,6,0,3,4,16,False
2019-11-01,4,0,4,5,16,False
2019-12-01,2,0,2,5,19,False
2020-01-01,3,0,2,4,28,False
2020-02-01,3,0,1,5,54,False
2020-03-01,2,0,1,4,21,False
2020-04-01,3,0,3,4,17,False
2020-05-01,3,0,2,6,14,False
2020-06-01,6,0,2,5,16,False
2020-07-01,3,0,2,4,34,False
2020-08-01,3,0,3,5,27,False
2020-09-01,3,0,2,4,19,False
2020-10-01,3,0,3,4,21,False
