date,Laura Carstensen,Christina Warinner,Michael Norton,Jon Bergmann,Iraola,isPartial
2010-04-01,2,0,23,0,27,False
2010-05-01,0,0,24,0,24,False
2010-06-01,1,0,19,0,29,False
2010-07-01,1,0,20,0,20,False
2010-08-01,0,0,17,0,27,False
2010-09-01,3,0,20,0,32,False
2010-10-01,2,0,26,0,34,False
2010-11-01,1,0,21,0,42,False
2010-12-01,1,1,21,0,34,False
2011-01-01,2,0,25,1,28,False
2011-02-01,2,0,23,1,38,False
2011-03-01,2,0,20,0,46,False
2011-04-01,3,0,16,0,34,False
2011-05-01,1,0,20,0,31,False
2011-06-01,1,0,21,0,33,False
2011-07-01,2,0,17,1,28,False
2011-08-01,2,0,18,0,42,False
2011-09-01,2,0,14,1,34,False
2011-10-01,2,0,21,0,32,False
2011-11-01,0,0,22,0,28,False
2011-12-01,1,1,17,0,27,False
2012-01-01,1,1,20,0,25,False
2012-02-01,1,0,14,1,30,False
2012-03-01,1,1,19,0,54,False
2012-04-01,1,1,26,1,34,False
2012-05-01,1,1,30,1,41,False
2012-06-01,2,0,26,0,32,False
2012-07-01,1,1,22,1,23,False
2012-08-01,1,1,22,1,24,False
2012-09-01,1,0,17,1,26,False
2012-10-01,1,0,16,1,25,False
2012-11-01,2,0,25,1,27,False
2012-12-01,1,0,27,1,23,False
2013-01-01,1,1,21,0,24,False
2013-02-01,1,1,42,1,25,False
2013-03-01,1,1,26,0,23,False
2013-04-01,1,3,35,1,25,False
2013-05-01,1,1,29,1,21,False
2013-06-01,1,1,22,1,23,False
2013-07-01,2,2,24,1,23,False
2013-08-01,2,1,27,1,24,False
2013-09-01,1,1,24,1,30,False
2013-10-01,1,1,23,1,26,False
2013-11-01,1,2,21,1,24,False
2013-12-01,1,1,27,1,25,False
2014-01-01,1,1,32,1,22,False
2014-02-01,1,1,21,2,25,False
2014-03-01,1,1,21,1,28,False
2014-04-01,1,1,25,1,22,False
2014-05-01,1,1,51,1,25,False
2014-06-01,1,1,37,1,21,False
2014-07-01,1,1,24,0,26,False
2014-08-01,1,1,24,1,34,False
2014-09-01,1,1,25,1,35,False
2014-10-01,2,1,29,1,27,False
2014-11-01,1,1,30,1,26,False
2014-12-01,1,1,31,1,22,False
2015-01-01,1,1,46,1,21,False
2015-02-01,1,1,64,1,26,False
2015-03-01,1,0,37,0,37,False
2015-04-01,1,1,27,1,38,False
2015-05-01,1,1,25,0,100,False
2015-06-01,1,1,25,1,44,False
2015-07-01,1,1,21,1,50,False
2015-08-01,0,0,28,0,34,False
2015-09-01,1,1,22,0,30,False
