date,Guy Hoffman,Paula Johnson,Yves Morieux,Joe Kowan,Iraola,isPartial
2004-01-01,0,15,0,0,23,False
2004-02-01,15,15,0,0,60,False
2004-03-01,0,19,0,0,18,False
2004-04-01,14,36,0,0,19,False
2004-05-01,13,50,0,0,17,False
2004-06-01,12,12,0,0,19,False
2004-07-01,13,39,0,0,17,False
2004-08-01,12,36,0,12,20,False
2004-09-01,11,26,0,0,28,False
2004-10-01,11,11,0,0,26,False
2004-11-01,11,11,0,0,34,False
2004-12-01,0,18,0,0,21,False
2005-01-01,9,28,0,0,31,False
2005-02-01,10,30,0,0,24,False
2005-03-01,16,30,0,0,19,False
2005-04-01,9,33,0,0,24,False
2005-05-01,8,16,0,0,27,False
2005-06-01,0,16,0,0,29,False
2005-07-01,12,37,0,0,25,False
2005-08-01,8,21,0,0,21,False
2005-09-01,7,11,0,0,29,False
2005-10-01,7,14,0,0,27,False
2005-11-01,17,16,0,0,27,False
2005-12-01,13,11,0,0,22,False
2006-01-01,6,23,0,0,17,False
2006-02-01,12,38,0,0,22,False
2006-03-01,10,15,0,0,38,False
2006-04-01,6,22,0,0,24,False
2006-05-01,10,12,0,0,24,False
2006-06-01,5,14,0,0,27,False
2006-07-01,11,14,0,0,32,False
2006-08-01,5,16,0,5,20,False
2006-09-01,6,24,0,0,17,False
2006-10-01,6,11,0,4,27,False
2006-11-01,8,11,0,0,25,False
2006-12-01,6,10,0,0,22,False
2007-01-01,6,12,0,4,27,False
2007-02-01,4,26,0,0,24,False
2007-03-01,7,13,0,0,39,False
2007-04-01,4,14,0,0,25,False
2007-05-01,8,7,0,0,25,False
2007-06-01,5,16,3,0,27,False
2007-07-01,6,15,0,0,22,False
2007-08-01,7,12,3,0,17,False
2007-09-01,6,10,0,0,32,False
2007-10-01,3,17,0,0,24,False
2007-11-01,13,15,0,0,21,False
2007-12-01,6,10,3,0,28,False
2008-01-01,8,15,0,0,18,False
2008-02-01,7,17,2,0,29,False
2008-03-01,8,16,0,0,25,False
2008-04-01,8,17,2,0,27,False
2008-05-01,2,14,2,0,27,False
2008-06-01,5,12,0,0,24,False
2008-07-01,7,13,0,2,15,False
2008-08-01,6,16,0,0,32,False
2008-09-01,6,13,0,0,35,False
2008-10-01,4,9,0,0,30,False
2008-11-01,9,14,0,0,31,False
2008-12-01,6,19,0,0,25,False
2009-01-01,8,11,0,0,30,False
2009-02-01,11,13,0,0,35,False
2009-03-01,7,15,0,0,24,False
2009-04-01,4,17,0,0,32,False
2009-05-01,6,10,0,0,39,False
2009-06-01,6,16,0,0,27,False
2009-07-01,5,13,0,0,26,False
2009-08-01,7,13,0,0,32,False
2009-09-01,6,18,2,0,38,False
2009-10-01,6,14,0,0,28,False
2009-11-01,6,18,1,0,36,False
2009-12-01,4,15,0,0,27,False
2010-01-01,5,21,0,0,35,False
2010-02-01,4,14,1,0,18,False
2010-03-01,7,11,0,0,26,False
2010-04-01,7,16,0,1,27,False
2010-05-01,5,12,0,0,24,False
2010-06-01,8,19,1,0,29,False
2010-07-01,7,24,1,0,20,False
2010-08-01,4,20,0,0,27,False
2010-09-01,5,15,1,0,32,False
2010-10-01,4,16,1,0,34,False
2010-11-01,4,16,0,0,42,False
2010-12-01,4,20,0,0,34,False
2011-01-01,7,18,1,0,28,False
2011-02-01,4,13,0,1,38,False
2011-03-01,6,17,1,0,46,False
2011-04-01,3,16,1,0,34,False
2011-05-01,4,20,0,0,31,False
2011-06-01,5,15,2,0,33,False
2011-07-01,6,13,0,0,28,False
2011-08-01,7,15,0,1,42,False
2011-09-01,8,16,1,0,34,False
2011-10-01,5,11,1,0,32,False
2011-11-01,5,11,1,0,28,False
2011-12-01,6,15,0,0,27,False
2012-01-01,7,11,1,0,25,False
2012-02-01,6,13,1,0,30,False
2012-03-01,6,13,0,0,54,False
2012-04-01,6,15,0,0,34,False
2012-05-01,7,11,1,0,41,False
2012-06-01,4,12,0,0,32,False
2012-07-01,5,14,1,0,23,False
2012-08-01,4,11,1,0,24,False
2012-09-01,7,10,1,0,26,False
2012-10-01,4,11,1,0,25,False
2012-11-01,3,14,1,0,27,False
2012-12-01,11,10,0,0,23,False
2013-01-01,7,13,0,1,24,False
2013-02-01,6,11,1,0,25,False
