date,Guy Hoffman,Paula Johnson,Yves Morieux,Joe Kowan,Iraola,isPartial
2013-03-01,5,9,1,0,23,False
2013-04-01,5,8,1,1,25,False
2013-05-01,4,10,0,1,21,False
2013-06-01,6,27,1,0,23,False
2013-07-01,7,20,0,0,23,False
2013-08-01,6,17,0,1,24,False
2013-09-01,5,15,1,1,30,False
2013-10-01,6,10,1,0,26,False
2013-11-01,5,10,1,0,24,False
2013-12-01,6,14,1,0,25,False
2014-01-01,11,14,7,2,22,False
2014-02-01,57,14,11,2,25,False
2014-03-01,13,11,8,1,28,False
2014-04-01,8,13,5,1,22,False
2014-05-01,8,11,4,1,25,False
2014-06-01,6,8,4,1,21,False
2014-07-01,7,13,3,0,26,False
2014-08-01,8,9,3,1,34,False
2014-09-01,7,10,2,1,35,False
2014-10-01,8,11,3,1,27,False
2014-11-01,6,11,3,0,26,False
2014-12-01,8,9,2,1,22,False
2015-01-01,6,11,4,1,21,False
2015-02-01,7,12,4,1,26,False
2015-03-01,7,13,2,1,37,False
2015-04-01,6,13,3,1,38,False
2015-05-01,6,10,2,0,100,False
2015-06-01,6,12,3,1,44,False
2015-07-01,4,12,2,0,50,False
2015-08-01,8,12,5,0,34,False
2015-09-01,8,11,10,0,30,False
2015-10-01,5,15,7,1,24,False
2015-11-01,8,12,7,0,23,False
2015-12-01,6,8,4,0,20,False
2016-01-01,7,8,3,0,24,False
2016-02-01,9,21,4,1,23,False
2016-03-01,5,9,4,0,26,False
2016-04-01,5,11,2,0,18,False
2016-05-01,5,11,3,0,32,False
2016-06-01,7,14,2,1,26,False
2016-07-01,4,11,2,1,28,False
2016-08-01,5,12,2,1,18,False
2016-09-01,5,9,3,1,25,False
2016-10-01,4,11,3,0,24,False
2016-11-01,4,10,2,0,33,False
2016-12-01,3,9,2,0,19,False
2017-01-01,6,11,3,0,18,False
2017-02-01,5,9,2,0,21,False
2017-03-01,5,8,2,0,18,False
2017-04-01,5,13,2,0,19,False
2017-05-01,5,10,3,1,24,False
2017-06-01,4,11,3,0,19,False
2017-07-01,4,9,2,1,20,False
2017-08-01,4,11,2,0,18,False
2017-09-01,4,7,3,0,18,False
2017-10-01,5,6,3,0,16,False
2017-11-01,7,8,2,0,14,False
2017-12-01,7,9,1,1,14,False
2018-01-01,6,7,1,0,19,False
2018-02-01,4,7,2,0,17,False
2018-03-01,5,8,1,0,14,False
2018-04-01,3,10,2,0,16,False
2018-05-01,4,6,1,0,17,False
2018-06-01,4,8,3,0,17,False
2018-07-01,5,8,1,1,16,False
2018-08-01,3,7,2,0,17,False
2018-09-01,3,10,2,0,18,False
2018-10-01,6,8,1,0,20,False
2018-11-01,3,8,2,0,17,False
2018-12-01,3,7,2,0,16,False
2019-01-01,3,7,2,0,16,False
2019-02-01,3,8,2,0,19,False
2019-03-01,4,8,2,0,15,False
2019-04-01,5,9,2,0,19,False
2019-05-01,4,6,1,1,16,False
2019-06-01,3,8,1,1,17,False
2019-07-01,5,7,2,0,24,False
2019-08-01,3,7,1,0,20,False
2019-09-01,6,8,1,0,17,False
2019-10-01,5,7,3,0,16,False
2019-11-01,3,8,2,1,16,False
2019-12-01,4,8,1,0,19,False
2020-01-01,4,8,1,0,28,False
2020-02-01,4,7,1,0,54,False
2020-03-01,5,8,0,0,21,False
2020-04-01,4,9,0,0,17,False
2020-05-01,5,10,1,0,14,False
2020-06-01,4,12,1,1,16,False
2020-07-01,3,8,1,0,34,False
2020-08-01,6,8,1,1,27,False
2020-09-01,4,7,1,0,19,False
2020-10-01,5,6,1,0,21,False
