date,George Monbiot,Jake Barton,Ron McCallum,Sonia Shah,Iraola,isPartial
2017-11-01,19,2,1,3,14,False
2017-12-01,14,1,0,2,14,False
2018-01-01,16,2,0,2,19,False
2018-02-01,13,1,0,3,17,False
2018-03-01,27,1,1,4,14,False
2018-04-01,11,1,0,4,16,False
2018-05-01,12,1,0,4,17,False
2018-06-01,13,1,0,2,17,False
2018-07-01,11,2,1,5,16,False
2018-08-01,16,1,1,4,17,False
2018-09-01,13,1,0,3,18,False
2018-10-01,17,2,1,3,20,False
2018-11-01,21,1,1,3,17,False
2018-12-01,12,1,0,4,16,False
2019-01-01,11,2,1,3,16,False
2019-02-01,14,1,1,3,19,False
2019-03-01,16,2,1,3,15,False
2019-04-01,39,1,0,6,19,False
2019-05-01,20,1,0,24,16,False
2019-06-01,15,1,1,4,17,False
2019-07-01,16,1,2,4,24,False
2019-08-01,16,1,1,7,20,False
2019-09-01,30,2,0,4,17,False
2019-10-01,32,1,1,3,16,False
2019-11-01,18,1,0,8,16,False
2019-12-01,25,1,1,5,19,False
2020-01-01,38,2,0,4,28,False
2020-02-01,18,2,1,6,54,False
2020-03-01,15,1,1,11,21,False
2020-04-01,18,1,0,11,17,False
2020-05-01,19,1,0,8,14,False
2020-06-01,21,2,0,11,16,False
2020-07-01,17,1,0,6,34,False
2020-08-01,11,1,0,9,27,False
2020-09-01,16,2,0,7,19,False
2020-10-01,16,0,0,5,21,False
