date,Uri Hasson,Sanford Biggers,Sangeeta Bhatia,Kang Lee,Iraola,isPartial
2004-01-01,0,0,10,20,15,False
2004-02-01,0,0,0,14,41,False
2004-03-01,13,0,13,25,13,False
2004-04-01,0,10,10,20,13,False
2004-05-01,8,8,8,23,11,False
2004-06-01,0,8,8,11,13,False
2004-07-01,0,9,9,15,12,False
2004-08-01,0,0,8,30,14,False
2004-09-01,0,11,8,20,19,False
2004-10-01,0,0,8,21,18,False
2004-11-01,0,0,8,8,23,False
2004-12-01,0,7,7,12,14,False
2005-01-01,0,0,6,15,21,False
2005-02-01,0,7,13,13,17,False
2005-03-01,11,0,6,6,13,False
2005-04-01,0,0,0,14,17,False
2005-05-01,5,5,5,15,18,False
2005-06-01,5,11,0,19,20,False
2005-07-01,0,6,11,17,17,False
2005-08-01,0,5,11,13,14,False
2005-09-01,0,0,5,16,20,False
2005-10-01,0,0,0,15,18,False
2005-11-01,0,0,7,8,18,False
2005-12-01,0,0,4,13,15,False
2006-01-01,0,6,4,12,12,False
2006-02-01,0,4,8,24,15,False
2006-03-01,0,3,7,20,26,False
2006-04-01,0,4,6,16,16,False
2006-05-01,3,3,3,13,16,False
2006-06-01,4,0,7,13,18,False
2006-07-01,4,4,4,10,22,False
2006-08-01,3,7,3,14,13,False
2006-09-01,3,3,3,14,12,False
2006-10-01,0,3,6,10,18,False
2006-11-01,0,0,6,14,17,False
2006-12-01,0,3,3,13,15,False
2007-01-01,3,0,3,9,19,False
2007-02-01,0,3,3,21,16,False
2007-03-01,2,5,2,16,26,False
2007-04-01,0,2,2,20,17,False
2007-05-01,0,2,2,19,17,False
2007-06-01,0,3,2,7,18,False
2007-07-01,2,0,2,14,15,False
2007-08-01,0,2,3,13,12,False
2007-09-01,2,0,3,19,22,False
2007-10-01,4,5,2,11,16,False
2007-11-01,2,2,2,13,14,False
2007-12-01,2,2,2,15,19,False
2008-01-01,2,2,5,16,13,False
2008-02-01,0,3,3,19,20,False
2008-03-01,0,2,3,18,17,False
2008-04-01,0,2,0,18,18,False
2008-05-01,0,0,4,19,18,False
2008-06-01,2,0,3,14,16,False
2008-07-01,0,3,2,22,10,False
2008-08-01,2,2,3,12,22,False
2008-09-01,1,1,2,13,24,False
2008-10-01,1,1,4,20,21,False
2008-11-01,4,0,1,14,21,False
2008-12-01,0,3,1,18,17,False
2009-01-01,1,2,2,20,20,False
2009-02-01,1,2,2,26,24,False
2009-03-01,2,2,2,19,16,False
2009-04-01,0,1,1,20,21,False
2009-05-01,1,2,3,22,27,False
2009-06-01,1,1,2,25,18,False
2009-07-01,1,1,5,22,18,False
2009-08-01,1,0,3,26,22,False
2009-09-01,1,2,3,27,26,False
2009-10-01,1,2,2,19,19,False
2009-11-01,1,2,2,34,25,False
2009-12-01,1,3,3,60,18,False
2010-01-01,1,1,2,68,24,False
2010-02-01,1,1,1,36,12,False
2010-03-01,1,3,2,36,18,False
2010-04-01,2,1,2,44,19,False
2010-05-01,0,1,2,36,16,False
2010-06-01,0,1,1,32,20,False
2010-07-01,1,1,1,38,14,False
2010-08-01,1,2,1,33,18,False
2010-09-01,1,2,3,29,22,False
2010-10-01,1,1,1,31,23,False
2010-11-01,1,1,2,31,29,False
2010-12-01,1,1,2,29,23,False
2011-01-01,2,1,2,30,19,False
2011-02-01,1,1,1,31,26,False
2011-03-01,1,1,2,28,31,False
2011-04-01,0,1,2,32,23,False
2011-05-01,1,1,3,28,21,False
2011-06-01,1,1,2,35,22,False
2011-07-01,0,1,2,45,19,False
2011-08-01,0,1,2,44,29,False
2011-09-01,1,1,2,51,23,False
2011-10-01,1,2,2,60,22,False
2011-11-01,1,2,1,53,19,False
2011-12-01,1,2,1,63,18,False
2012-01-01,0,2,1,56,17,False
2012-02-01,1,1,1,52,20,False
2012-03-01,0,1,1,52,37,False
2012-04-01,1,1,1,60,23,False
2012-05-01,0,1,1,53,28,False
2012-06-01,1,1,1,66,22,False
2012-07-01,1,1,2,57,16,False
2012-08-01,0,0,1,63,16,False
2012-09-01,1,1,1,63,18,False
2012-10-01,1,1,3,54,17,False
2012-11-01,1,1,2,52,18,False
2012-12-01,0,1,1,45,16,False
2013-01-01,1,0,1,52,16,False
2013-02-01,0,1,1,46,17,False
2013-03-01,0,0,1,52,16,False
2013-04-01,0,1,1,56,17,False
2013-05-01,0,1,1,57,14,False
2013-06-01,1,0,2,60,16,False
2013-07-01,0,2,1,70,16,False
2013-08-01,1,1,1,71,16,False
2013-09-01,0,0,1,54,20,False
2013-10-01,1,1,1,55,18,False
2013-11-01,0,0,2,63,16,False
2013-12-01,1,1,1,72,17,False
2014-01-01,0,1,1,72,15,False
2014-02-01,1,0,3,57,17,False
2014-03-01,1,1,1,57,19,False
2014-04-01,1,1,3,77,15,False
2014-05-01,1,0,1,86,17,False
2014-06-01,0,1,1,98,14,False
2014-07-01,0,0,2,85,17,False
2014-08-01,1,1,2,77,23,False
2014-09-01,1,1,2,59,24,False
2014-10-01,0,1,2,62,19,False
2014-11-01,1,1,2,68,18,False
2014-12-01,1,1,2,100,15,False
2015-01-01,1,0,1,82,15,False
2015-02-01,0,1,1,63,18,False
2015-03-01,1,1,1,73,25,False
2015-04-01,1,1,2,71,26,False
2015-05-01,0,1,2,75,68,False
2015-06-01,1,0,2,74,30,False
2015-07-01,1,1,2,69,34,False
2015-08-01,0,0,1,67,23,False
2015-09-01,1,0,1,55,20,False
2015-10-01,0,1,2,49,17,False
2015-11-01,0,1,1,54,15,False
2015-12-01,0,1,2,60,14,False
2016-01-01,1,0,2,66,16,False
2016-02-01,0,1,1,60,16,False
2016-03-01,0,1,1,61,17,False
2016-04-01,1,1,2,61,12,False
2016-05-01,1,2,2,65,22,False
2016-06-01,1,1,2,65,17,False
2016-07-01,0,1,1,63,19,False
2016-08-01,0,1,2,64,12,False
