date,Rebecca Saxe,Vishal Vaid,Misha Glenny,Bjarke Ingels,Iraola,isPartial
2013-11-01,1,0,4,21,24,False
2013-12-01,3,1,3,20,25,False
2014-01-01,2,1,2,32,22,False
2014-02-01,2,1,2,28,25,False
2014-03-01,1,1,2,20,28,False
2014-04-01,1,2,2,26,22,False
2014-05-01,2,1,4,19,25,False
2014-06-01,1,1,2,24,21,False
2014-07-01,3,1,2,21,26,False
2014-08-01,2,1,2,29,34,False
2014-09-01,1,1,2,32,35,False
2014-10-01,1,0,3,29,27,False
2014-11-01,2,1,3,26,26,False
2014-12-01,2,1,2,23,22,False
2015-01-01,1,0,2,27,21,False
2015-02-01,1,1,2,33,26,False
2015-03-01,1,1,2,35,37,False
2015-04-01,1,1,2,28,38,False
2015-05-01,1,0,1,34,100,False
2015-06-01,1,1,2,49,44,False
2015-07-01,1,0,1,32,50,False
2015-08-01,1,0,2,28,34,False
2015-09-01,1,1,2,34,30,False
2015-10-01,1,0,4,30,24,False
2015-11-01,2,0,3,30,23,False
2015-12-01,1,1,2,27,20,False
2016-01-01,1,0,3,26,24,False
2016-02-01,1,0,3,41,23,False
2016-03-01,2,0,2,53,26,False
2016-04-01,1,0,2,37,18,False
2016-05-01,1,0,2,35,32,False
2016-06-01,1,0,3,32,26,False
2016-07-01,1,1,4,26,28,False
2016-08-01,1,0,2,23,18,False
2016-09-01,1,0,3,33,25,False
2016-10-01,1,0,1,32,24,False
2016-11-01,1,0,2,41,33,False
2016-12-01,1,0,2,28,19,False
2017-01-01,1,0,3,26,18,False
2017-02-01,1,0,2,79,21,False
2017-03-01,2,1,3,69,18,False
2017-04-01,1,0,1,64,19,False
2017-05-01,1,1,2,56,24,False
2017-06-01,1,0,1,43,19,False
2017-07-01,1,0,2,40,20,False
2017-08-01,2,0,2,40,18,False
2017-09-01,1,1,4,46,18,False
2017-10-01,1,0,3,55,16,False
2017-11-01,1,0,3,48,14,False
2017-12-01,1,0,3,35,14,False
2018-01-01,0,0,26,39,19,False
2018-02-01,2,0,18,65,17,False
2018-03-01,1,1,11,58,14,False
2018-04-01,1,0,6,44,16,False
2018-05-01,1,0,6,53,17,False
2018-06-01,0,0,2,32,17,False
2018-07-01,1,0,3,40,16,False
2018-08-01,1,1,4,37,17,False
2018-09-01,1,0,2,43,18,False
2018-10-01,1,0,2,45,20,False
2018-11-01,1,0,2,37,17,False
2018-12-01,3,0,4,31,16,False
2019-01-01,1,0,6,33,16,False
2019-02-01,0,0,3,39,19,False
2019-03-01,2,1,4,34,15,False
2019-04-01,1,0,3,44,19,False
2019-05-01,1,0,3,43,16,False
2019-06-01,1,0,2,39,17,False
2019-07-01,1,0,2,44,24,False
2019-08-01,0,0,2,34,20,False
2019-09-01,5,1,2,54,17,False
2019-10-01,1,0,3,55,16,False
2019-11-01,1,0,3,40,16,False
2019-12-01,1,0,2,32,19,False
2020-01-01,2,0,2,46,28,False
2020-02-01,1,0,2,39,54,False
2020-03-01,0,0,2,31,21,False
2020-04-01,1,0,2,33,17,False
2020-05-01,1,1,2,34,14,False
2020-06-01,1,1,3,30,16,False
2020-07-01,1,1,2,27,34,False
2020-08-01,1,0,3,30,27,False
2020-09-01,1,0,2,30,19,False
2020-10-01,1,0,1,39,21,False
