date,Nora York,Paul Bennett,Vik Muniz,Nick Bostrom,Iraola,isPartial
2004-01-01,18,32,14,11,16,False
2004-02-01,11,46,18,0,43,False
2004-03-01,22,40,22,13,13,False
2004-04-01,20,27,27,10,14,False
2004-05-01,12,21,24,18,12,False
2004-06-01,12,35,15,9,13,False
2004-07-01,14,34,9,18,12,False
2004-08-01,17,54,20,9,14,False
2004-09-01,16,26,27,0,20,False
2004-10-01,28,29,35,8,19,False
2004-11-01,11,30,27,8,24,False
2004-12-01,20,10,20,11,15,False
2005-01-01,20,35,15,7,22,False
2005-02-01,19,26,23,0,17,False
2005-03-01,6,27,23,9,13,False
2005-04-01,13,32,17,7,17,False
2005-05-01,6,19,6,6,19,False
2005-06-01,11,36,23,11,21,False
2005-07-01,12,23,23,12,17,False
2005-08-01,8,49,17,7,15,False
2005-09-01,10,24,20,5,20,False
2005-10-01,13,40,18,8,19,False
2005-11-01,5,24,10,7,19,False
2005-12-01,9,20,16,5,16,False
2006-01-01,11,22,14,6,12,False
2006-02-01,7,26,14,4,16,False
2006-03-01,10,27,12,0,27,False
2006-04-01,8,28,17,4,17,False
2006-05-01,7,21,11,5,17,False
2006-06-01,10,29,18,7,19,False
2006-07-01,11,19,11,8,23,False
2006-08-01,8,21,15,3,14,False
2006-09-01,11,26,23,7,12,False
2006-10-01,10,25,21,4,19,False
2006-11-01,8,28,16,7,18,False
2006-12-01,6,13,15,5,15,False
2007-01-01,4,24,22,5,19,False
2007-02-01,8,25,23,6,17,False
2007-03-01,11,28,20,9,28,False
2007-04-01,4,21,24,6,18,False
2007-05-01,10,23,21,7,18,False
2007-06-01,9,23,13,12,19,False
2007-07-01,4,26,12,3,16,False
2007-08-01,9,24,25,17,12,False
2007-09-01,8,34,23,3,23,False
2007-10-01,6,27,34,5,17,False
2007-11-01,4,32,32,5,15,False
2007-12-01,9,24,20,3,20,False
2008-01-01,6,24,23,3,13,False
2008-02-01,9,24,17,3,21,False
2008-03-01,9,19,21,4,18,False
2008-04-01,5,24,18,5,19,False
2008-05-01,6,22,16,6,19,False
2008-06-01,5,24,21,5,17,False
2008-07-01,6,18,18,5,11,False
2008-08-01,5,21,25,3,23,False
2008-09-01,6,25,33,6,25,False
2008-10-01,7,16,24,5,22,False
2008-11-01,7,22,20,4,22,False
2008-12-01,9,19,9,2,18,False
2009-01-01,5,21,30,5,21,False
2009-02-01,4,18,35,4,24,False
2009-03-01,4,18,32,4,17,False
2009-04-01,4,21,42,5,22,False
2009-05-01,6,18,41,5,28,False
2009-06-01,5,20,36,3,19,False
2009-07-01,4,23,24,3,19,False
2009-08-01,5,19,31,2,23,False
2009-09-01,4,24,44,5,27,False
2009-10-01,5,21,34,3,20,False
2009-11-01,8,20,32,4,26,False
2009-12-01,5,25,18,4,19,False
2010-01-01,5,23,18,3,25,False
2010-02-01,5,18,22,3,13,False
2010-03-01,8,22,24,3,18,False
2010-04-01,4,21,21,3,19,False
2010-05-01,7,17,38,4,17,False
2010-06-01,6,15,35,3,21,False
2010-07-01,6,18,21,2,14,False
2010-08-01,4,20,34,3,19,False
2010-09-01,5,18,30,3,23,False
2010-10-01,6,17,33,4,24,False
2010-11-01,6,18,41,2,30,False
2010-12-01,8,18,23,3,24,False
2011-01-01,6,23,31,3,20,False
2011-02-01,5,18,43,4,27,False
2011-03-01,3,19,66,3,32,False
2011-04-01,5,16,64,5,24,False
2011-05-01,5,22,56,3,22,False
2011-06-01,6,20,45,3,23,False
2011-07-01,5,18,29,3,20,False
2011-08-01,7,20,55,2,30,False
2011-09-01,4,19,53,4,24,False
2011-10-01,6,18,53,3,22,False
2011-11-01,6,18,60,3,20,False
2011-12-01,4,23,35,1,19,False
2012-01-01,5,26,43,3,18,False
2012-02-01,5,53,34,2,21,False
2012-03-01,5,19,46,3,38,False
2012-04-01,5,19,47,3,24,False
2012-05-01,7,16,52,2,29,False
2012-06-01,13,29,57,2,23,False
2012-07-01,9,21,25,4,16,False
2012-08-01,6,18,38,3,17,False
2012-09-01,5,19,42,4,18,False
2012-10-01,4,21,37,5,18,False
2012-11-01,4,18,38,3,19,False
2012-12-01,5,17,24,11,16,False
2013-01-01,4,18,21,5,17,False
2013-02-01,6,18,26,3,17,False
2013-03-01,6,17,29,5,16,False
2013-04-01,4,15,39,3,18,False
2013-05-01,5,17,38,3,15,False
2013-06-01,5,20,35,3,16,False
2013-07-01,5,19,19,3,17,False
2013-08-01,5,19,30,3,17,False
2013-09-01,5,16,42,3,21,False
2013-10-01,4,16,38,5,18,False
2013-11-01,5,24,35,4,17,False
2013-12-01,3,24,17,3,17,False
2014-01-01,5,19,20,3,16,False
2014-02-01,3,16,28,3,18,False
2014-03-01,4,17,32,3,20,False
