date,Nora York,Paul Bennett,Vik Muniz,Nick Bostrom,Iraola,isPartial
2014-04-01,5,15,31,3,15,False
2014-05-01,4,17,47,3,18,False
2014-06-01,3,18,30,3,15,False
2014-07-01,4,18,32,4,18,False
2014-08-01,3,20,40,12,24,False
2014-09-01,3,20,36,6,25,False
2014-10-01,5,17,28,6,19,False
2014-11-01,5,15,30,7,18,False
2014-12-01,5,21,19,11,15,False
2015-01-01,4,20,13,8,15,False
2015-02-01,3,32,17,6,19,False
2015-03-01,2,17,22,7,26,False
2015-04-01,4,19,25,10,27,False
2015-05-01,4,18,34,15,71,False
2015-06-01,4,17,29,9,31,False
2015-07-01,3,17,15,10,36,False
2015-08-01,2,13,25,9,24,False
2015-09-01,4,17,30,10,21,False
2015-10-01,4,16,23,8,17,False
2015-11-01,3,15,30,11,16,False
2015-12-01,3,17,13,11,14,False
2016-01-01,3,14,11,8,17,False
2016-02-01,3,15,18,11,17,False
2016-03-01,3,15,27,10,18,False
2016-04-01,3,16,28,10,13,False
2016-05-01,4,16,31,9,23,False
2016-06-01,4,13,27,17,18,False
2016-07-01,3,17,12,7,20,False
2016-08-01,3,19,21,9,13,False
2016-09-01,6,16,29,10,18,False
2016-10-01,3,15,24,13,17,False
2016-11-01,4,15,22,10,23,False
2016-12-01,3,20,12,12,13,False
2017-01-01,3,18,10,11,13,False
2017-02-01,3,17,15,12,15,False
2017-03-01,3,17,25,12,13,False
2017-04-01,2,15,23,10,13,False
2017-05-01,2,15,25,11,17,False
2017-06-01,3,14,19,8,13,False
2017-07-01,3,21,11,12,14,False
2017-08-01,3,14,19,12,13,False
2017-09-01,2,15,22,10,12,False
2017-10-01,3,12,21,13,11,False
2017-11-01,2,13,26,13,10,False
2017-12-01,4,14,11,10,10,False
2018-01-01,4,16,7,13,14,False
2018-02-01,2,14,13,12,12,False
2018-03-01,3,16,17,10,10,False
2018-04-01,3,14,19,14,12,False
2018-05-01,3,13,18,10,12,False
2018-06-01,3,26,19,8,12,False
2018-07-01,2,20,8,8,11,False
2018-08-01,3,18,15,9,12,False
2018-09-01,2,14,19,9,13,False
2018-10-01,3,15,23,10,14,False
2018-11-01,2,13,18,9,12,False
2018-12-01,3,13,12,8,11,False
2019-01-01,3,14,7,8,11,False
2019-02-01,2,13,13,8,13,False
2019-03-01,2,12,14,17,11,False
2019-04-01,3,12,20,13,14,False
2019-05-01,2,13,19,11,11,False
2019-06-01,2,12,19,9,12,False
2019-07-01,4,13,12,11,17,False
2019-08-01,4,12,16,17,14,False
2019-09-01,3,12,17,50,12,False
2019-10-01,4,13,100,16,12,False
2019-11-01,2,11,20,10,12,False
2019-12-01,2,10,11,11,13,False
2020-01-01,4,11,8,9,20,False
2020-02-01,2,14,11,9,38,False
2020-03-01,3,11,18,8,15,False
2020-04-01,2,11,20,8,12,False
2020-05-01,2,11,27,10,10,False
2020-06-01,2,13,25,9,11,False
2020-07-01,1,12,23,8,24,False
2020-08-01,3,14,17,8,19,False
2020-09-01,2,11,22,8,14,False
2020-10-01,3,10,19,8,15,False
