date,Nathaniel Kahn,Bruce Bueno de Mesquita,Bonnie Bassler,Emily Levine,Iraola,isPartial
2017-10-01,1,2,3,2,16,False
2017-11-01,1,2,2,3,14,False
2017-12-01,0,1,1,2,14,False
2018-01-01,1,1,3,1,19,False
2018-02-01,0,1,2,1,17,False
2018-03-01,0,1,2,2,14,False
2018-04-01,1,1,2,3,16,False
2018-05-01,0,1,1,8,17,False
2018-06-01,0,1,1,9,17,False
2018-07-01,2,2,1,4,16,False
2018-08-01,0,1,1,4,17,False
2018-09-01,1,1,1,5,18,False
2018-10-01,1,1,2,4,20,False
2018-11-01,2,2,2,3,17,False
2018-12-01,1,0,2,3,16,False
2019-01-01,0,1,2,2,16,False
2019-02-01,0,1,2,6,19,False
2019-03-01,1,1,2,38,15,False
2019-04-01,1,1,1,15,19,False
2019-05-01,0,1,1,7,16,False
2019-06-01,1,1,1,8,17,False
2019-07-01,1,1,1,14,24,False
2019-08-01,1,1,1,5,20,False
2019-09-01,0,1,1,3,17,False
2019-10-01,1,1,1,2,16,False
2019-11-01,0,1,2,3,16,False
2019-12-01,1,1,2,3,19,False
2020-01-01,0,1,1,3,28,False
2020-02-01,1,1,2,8,54,False
2020-03-01,0,1,1,3,21,False
2020-04-01,0,1,1,6,17,False
2020-05-01,1,2,1,3,14,False
2020-06-01,0,0,1,4,16,False
2020-07-01,0,2,1,4,34,False
2020-08-01,1,1,0,4,27,False
2020-09-01,0,1,2,3,19,False
2020-10-01,0,1,1,2,21,False
