date,Malcolm London,Geoffrey Canada,Angela Lee Duckworth,Meg Jay,Iraola,isPartial
2004-01-01,38,30,0,15,23,False
2004-02-01,45,15,0,60,60,False
2004-03-01,19,19,0,0,18,False
2004-04-01,22,0,0,0,19,False
2004-05-01,0,13,0,0,17,False
2004-06-01,19,25,0,0,19,False
2004-07-01,26,32,0,0,17,False
2004-08-01,24,24,0,12,20,False
2004-09-01,48,18,0,0,28,False
2004-10-01,38,34,0,0,26,False
2004-11-01,30,34,0,0,34,False
2004-12-01,21,16,0,11,21,False
2005-01-01,25,9,0,9,31,False
2005-02-01,36,20,0,0,24,False
2005-03-01,14,11,0,16,19,False
2005-04-01,15,18,0,0,24,False
2005-05-01,21,12,0,0,27,False
2005-06-01,24,16,8,8,29,False
2005-07-01,16,16,0,0,25,False
2005-08-01,21,16,0,8,21,False
2005-09-01,11,7,0,7,29,False
2005-10-01,11,7,0,0,27,False
2005-11-01,13,13,7,7,27,False
2005-12-01,13,13,0,0,22,False
2006-01-01,13,13,0,0,17,False
2006-02-01,24,15,0,12,22,False
2006-03-01,12,7,0,0,38,False
2006-04-01,11,9,0,0,24,False
2006-05-01,8,18,0,5,24,False
2006-06-01,12,11,0,5,27,False
2006-07-01,21,12,0,5,32,False
2006-08-01,20,12,0,5,20,False
2006-09-01,13,22,0,5,17,False
2006-10-01,13,14,0,4,27,False
2006-11-01,8,10,0,4,25,False
2006-12-01,12,6,0,0,22,False
2007-01-01,11,10,0,0,27,False
2007-02-01,17,8,0,4,24,False
2007-03-01,9,10,0,3,39,False
2007-04-01,20,18,0,4,25,False
2007-05-01,15,16,0,3,25,False
2007-06-01,13,35,3,3,27,False
2007-07-01,19,16,0,0,22,False
2007-08-01,11,19,0,0,17,False
2007-09-01,9,11,0,3,32,False
2007-10-01,9,10,0,3,24,False
2007-11-01,14,10,0,0,21,False
2007-12-01,11,6,0,3,28,False
2008-01-01,5,18,0,5,18,False
2008-02-01,11,11,0,2,29,False
2008-03-01,12,8,0,2,25,False
2008-04-01,14,7,0,5,27,False
2008-05-01,7,4,0,5,27,False
2008-06-01,16,8,0,5,24,False
2008-07-01,16,6,0,3,15,False
2008-08-01,13,10,0,3,32,False
2008-09-01,16,16,0,3,35,False
2008-10-01,15,22,0,2,30,False
2008-11-01,18,11,0,2,31,False
2008-12-01,7,17,0,4,25,False
2009-01-01,5,7,0,4,30,False
2009-02-01,18,9,0,4,35,False
2009-03-01,16,7,0,2,24,False
