date,Richard Baraniuk,Ze Frank,Mena Trott,Helen Fisher,Iraola,isPartial
2016-02-01,0,13,0,22,17,False
2016-03-01,1,11,0,19,19,False
2016-04-01,0,12,0,17,14,False
2016-05-01,0,10,0,13,19,False
2016-06-01,0,10,0,15,18,False
2016-07-01,1,10,0,13,20,False
2016-08-01,0,8,0,17,15,False
2016-09-01,1,10,0,14,16,False
2016-10-01,0,8,0,23,20,False
2016-11-01,0,8,0,17,21,False
2016-12-01,0,8,0,22,15,False
2017-01-01,0,11,0,15,10,False
2017-02-01,0,7,0,19,15,False
2017-03-01,1,6,0,16,13,False
2017-04-01,0,9,0,21,13,False
2017-05-01,0,8,0,18,13,False
2017-06-01,0,8,0,15,11,False
2017-07-01,0,6,0,13,13,False
2017-08-01,1,6,0,15,12,False
2017-09-01,0,4,0,16,11,False
2017-10-01,0,7,0,18,12,False
2017-11-01,0,6,0,17,13,False
2017-12-01,0,5,0,19,10,False
2018-01-01,0,7,0,16,13,False
2018-02-01,0,5,1,18,9,False
2018-03-01,0,6,0,13,13,False
2018-04-01,0,9,0,23,10,False
2018-05-01,0,11,0,15,14,False
2018-06-01,0,10,0,15,11,False
2018-07-01,0,9,0,15,12,False
2018-08-01,0,8,0,13,12,False
2018-09-01,1,4,0,16,14,False
2018-10-01,0,5,0,12,13,False
2018-11-01,0,7,0,17,10,False
2018-12-01,0,3,1,18,12,False
2019-01-01,0,4,0,16,12,False
2019-02-01,1,8,0,18,14,False
2019-03-01,0,5,0,15,11,False
2019-04-01,0,5,0,14,12,False
2019-05-01,0,4,0,14,13,False
2019-06-01,0,4,0,17,13,False
2019-07-01,0,4,0,13,16,False
2019-08-01,0,4,0,10,14,False
2019-09-01,0,4,0,16,12,False
2019-10-01,0,5,0,15,11,False
2019-11-01,0,5,0,13,13,False
2019-12-01,0,5,0,16,12,False
2020-01-01,0,7,0,12,19,False
2020-02-01,0,6,0,13,36,False
2020-03-01,0,7,0,11,18,False
2020-04-01,0,8,0,14,10,False
2020-05-01,0,6,0,13,10,False
2020-06-01,0,7,0,11,13,False
2020-07-01,0,3,0,12,25,False
2020-08-01,0,6,0,11,18,False
2020-09-01,0,2,1,12,18,False
2020-10-01,1,3,0,11,15,False
2020-11-01,0,4,0,6,19,True
