date,Suzanne Simard,Anthony Goldbloom,Martin Reeves,Molly Winter,Iraola,isPartial
2004-01-01,0,0,20,15,23,False
2004-02-01,0,0,38,15,60,False
2004-03-01,0,0,19,19,18,False
2004-04-01,14,0,24,0,19,False
2004-05-01,0,0,17,12,17,False
2004-06-01,0,0,16,12,19,False
2004-07-01,0,0,13,13,17,False
2004-08-01,0,0,12,0,20,False
2004-09-01,0,0,0,0,28,False
2004-10-01,0,0,19,0,26,False
2004-11-01,11,0,11,0,34,False
2004-12-01,0,0,32,10,21,False
2005-01-01,0,0,28,9,31,False
2005-02-01,0,0,23,10,24,False
2005-03-01,0,0,24,14,19,False
2005-04-01,0,0,9,0,24,False
2005-05-01,0,0,16,8,27,False
2005-06-01,0,0,27,0,29,False
2005-07-01,0,0,29,0,25,False
2005-08-01,0,8,12,8,21,False
2005-09-01,0,0,17,7,29,False
2005-10-01,0,0,11,7,27,False
2005-11-01,0,0,24,13,27,False
2005-12-01,0,0,17,7,22,False
2006-01-01,0,0,13,10,17,False
2006-02-01,6,0,28,6,22,False
2006-03-01,0,0,20,0,38,False
2006-04-01,0,0,17,5,24,False
2006-05-01,0,0,10,0,24,False
2006-06-01,0,0,20,5,27,False
2006-07-01,0,0,19,0,32,False
2006-08-01,0,0,10,5,20,False
2006-09-01,0,0,11,5,17,False
2006-10-01,0,0,13,6,27,False
2006-11-01,4,0,8,4,25,False
2006-12-01,0,0,6,9,22,False
2007-01-01,0,0,9,4,27,False
2007-02-01,0,0,9,4,24,False
2007-03-01,0,0,13,5,39,False
2007-04-01,0,0,8,4,25,False
2007-05-01,0,0,6,3,25,False
2007-06-01,3,0,6,3,27,False
2007-07-01,3,0,9,0,22,False
2007-08-01,0,0,10,3,17,False
2007-09-01,0,0,13,3,32,False
2007-10-01,3,3,10,3,24,False
2007-11-01,3,0,4,5,21,False
2007-12-01,5,0,6,3,28,False
2008-01-01,0,2,10,5,18,False
2008-02-01,2,0,7,3,29,False
2008-03-01,2,0,5,3,25,False
2008-04-01,2,0,7,2,27,False
2008-05-01,5,0,8,2,27,False
2008-06-01,2,0,5,4,24,False
2008-07-01,0,0,10,7,15,False
2008-08-01,2,0,10,8,32,False
2008-09-01,0,0,10,4,35,False
2008-10-01,2,0,6,2,30,False
2008-11-01,0,0,7,3,31,False
2008-12-01,0,0,10,5,25,False
2009-01-01,4,0,10,4,30,False
2009-02-01,0,0,8,3,35,False
2009-03-01,0,2,7,4,24,False
2009-04-01,3,0,11,3,32,False
2009-05-01,2,0,6,3,39,False
2009-06-01,0,0,8,2,27,False
2009-07-01,2,0,9,2,26,False
2009-08-01,0,0,8,3,32,False
2009-09-01,0,0,11,3,38,False
2009-10-01,1,1,5,3,28,False
2009-11-01,0,0,7,4,36,False
2009-12-01,0,0,9,6,27,False
2010-01-01,1,0,6,3,35,False
2010-02-01,1,0,8,7,18,False
2010-03-01,1,0,10,3,26,False
2010-04-01,0,0,9,4,27,False
2010-05-01,3,0,9,3,24,False
2010-06-01,0,0,7,2,29,False
2010-07-01,0,0,7,3,20,False
2010-08-01,0,0,6,2,27,False
2010-09-01,0,0,5,2,32,False
2010-10-01,1,0,11,3,34,False
2010-11-01,1,1,6,5,42,False
2010-12-01,1,0,7,4,34,False
2011-01-01,0,0,8,4,28,False
2011-02-01,1,1,8,3,38,False
