date,James Forbes,Feisal Abdul Rauf,Graham Hawkes,James Surowiecki,Iraola,isPartial
2004-01-01,9,0,9,0,13,False
2004-02-01,18,9,0,0,35,False
2004-03-01,22,0,0,0,11,False
2004-04-01,14,9,8,8,11,False
2004-05-01,17,0,7,15,10,False
2004-06-01,18,7,0,7,11,False
2004-07-01,23,8,8,18,10,False
2004-08-01,19,7,0,12,12,False
2004-09-01,9,0,0,9,16,False
2004-10-01,13,7,0,7,15,False
2004-11-01,18,0,7,11,20,False
2004-12-01,16,0,0,6,12,False
2005-01-01,14,5,0,5,18,False
2005-02-01,11,0,6,9,14,False
2005-03-01,16,0,0,8,11,False
2005-04-01,9,5,0,9,14,False
2005-05-01,8,0,0,5,16,False
2005-06-01,12,0,0,11,17,False
2005-07-01,18,10,5,10,14,False
2005-08-01,23,0,9,8,12,False
2005-09-01,15,0,6,8,17,False
2005-10-01,18,0,4,7,16,False
2005-11-01,14,4,4,10,16,False
2005-12-01,12,4,0,5,13,False
2006-01-01,15,7,3,16,10,False
2006-02-01,14,4,4,3,13,False
2006-03-01,12,3,0,6,22,False
2006-04-01,8,5,5,7,14,False
2006-05-01,10,0,6,7,14,False
2006-06-01,14,0,5,8,16,False
2006-07-01,20,3,3,0,19,False
2006-08-01,14,0,3,6,11,False
2006-09-01,17,0,0,6,10,False
2006-10-01,18,0,5,2,16,False
2006-11-01,15,2,5,6,14,False
2006-12-01,7,3,0,5,13,False
2007-01-01,15,2,2,7,16,False
2007-02-01,12,0,5,7,14,False
2007-03-01,12,2,2,4,23,False
2007-04-01,15,0,2,4,15,False
2007-05-01,12,2,2,8,14,False
2007-06-01,13,0,0,4,16,False
2007-07-01,13,2,3,6,13,False
2007-08-01,12,3,2,5,10,False
2007-09-01,19,2,2,4,19,False
2007-10-01,14,0,2,4,14,False
2007-11-01,12,1,2,7,12,False
2007-12-01,12,0,0,4,17,False
2008-01-01,10,1,0,5,11,False
2008-02-01,11,0,2,4,17,False
2008-03-01,10,0,1,2,15,False
2008-04-01,10,0,0,3,16,False
2008-05-01,10,1,1,3,16,False
2008-06-01,13,0,1,5,14,False
2008-07-01,10,0,1,4,9,False
2008-08-01,10,1,1,4,19,False
2008-09-01,12,2,1,4,21,False
2008-10-01,10,0,1,4,18,False
2008-11-01,11,0,2,4,18,False
2008-12-01,10,0,2,3,15,False
2009-01-01,14,1,1,4,17,False
2009-02-01,11,1,2,4,20,False
2009-03-01,13,1,3,5,14,False
2009-04-01,11,2,3,4,18,False
2009-05-01,15,0,1,3,23,False
2009-06-01,11,1,0,2,16,False
2009-07-01,8,1,1,2,15,False
2009-08-01,8,0,2,3,19,False
2009-09-01,10,2,2,1,22,False
2009-10-01,10,1,1,3,16,False
2009-11-01,8,0,1,3,21,False
2009-12-01,12,2,1,4,15,False
2010-01-01,12,2,1,4,20,False
2010-02-01,11,1,1,2,10,False
2010-03-01,9,2,1,2,15,False
2010-04-01,11,0,1,3,16,False
2010-05-01,12,5,1,2,14,False
2010-06-01,8,3,1,2,17,False
2010-07-01,16,6,2,4,12,False
2010-08-01,12,100,1,1,16,False
2010-09-01,12,72,1,2,19,False
2010-10-01,9,12,1,5,20,False
2010-11-01,6,7,1,2,24,False
2010-12-01,9,9,1,1,20,False
2011-01-01,12,4,1,2,16,False
2011-02-01,9,3,1,2,22,False
2011-03-01,10,4,1,3,27,False
2011-04-01,11,2,3,2,20,False
