date,Stephen Coleman,Sheikha Al Mayassa,Erik Johansson,Drew Dudley,Iraola,isPartial
2017-10-01,5,1,24,3,16,False
2017-11-01,5,1,51,4,14,False
2017-12-01,4,1,32,3,14,False
2018-01-01,4,1,27,3,19,False
2018-02-01,5,1,38,3,17,False
2018-03-01,7,1,33,3,14,False
2018-04-01,4,1,37,2,16,False
2018-05-01,2,1,29,2,17,False
2018-06-01,3,1,36,2,17,False
2018-07-01,4,1,27,3,16,False
2018-08-01,5,1,29,6,17,False
2018-09-01,5,1,29,4,18,False
2018-10-01,3,0,21,4,20,False
2018-11-01,3,1,22,2,17,False
2018-12-01,3,0,21,2,16,False
2019-01-01,4,1,27,3,16,False
2019-02-01,3,1,26,2,19,False
2019-03-01,4,1,21,3,15,False
2019-04-01,4,1,22,3,19,False
2019-05-01,4,1,19,3,16,False
2019-06-01,4,1,17,1,17,False
2019-07-01,4,1,16,3,24,False
2019-08-01,4,1,19,2,20,False
2019-09-01,3,1,18,4,17,False
2019-10-01,4,1,24,3,16,False
2019-11-01,3,1,27,4,16,False
2019-12-01,3,1,31,2,19,False
2020-01-01,4,1,22,2,28,False
2020-02-01,3,1,29,3,54,False
2020-03-01,3,1,19,2,21,False
2020-04-01,4,1,27,4,17,False
2020-05-01,5,0,15,3,14,False
2020-06-01,4,1,14,2,16,False
2020-07-01,5,1,13,2,34,False
2020-08-01,4,0,19,2,27,False
2020-09-01,3,1,21,4,19,False
2020-10-01,2,1,16,2,21,False
