date,Rajiv Maheswaran,Memory Banda,Johann Hari,Noy Thrupkaew,Iraola,isPartial
2004-01-01,0,0,0,0,12,False
2004-02-01,0,0,12,0,35,False
2004-03-01,0,0,29,0,14,False
2004-04-01,11,11,11,0,16,False
2004-05-01,0,9,10,0,10,False
2004-06-01,0,0,9,9,14,False
2004-07-01,0,0,0,10,10,False
2004-08-01,0,0,23,9,14,False
2004-09-01,0,0,17,8,21,False
2004-10-01,9,0,17,9,13,False
2004-11-01,9,0,0,0,22,False
2004-12-01,8,0,8,0,16,False
2005-01-01,0,0,28,0,21,False
2005-02-01,0,0,15,0,19,False
2005-03-01,0,0,13,0,12,False
2005-04-01,0,7,18,0,21,False
2005-05-01,0,0,9,0,25,False
2005-06-01,0,0,19,0,25,False
2005-07-01,0,0,9,0,16,False
2005-08-01,0,0,12,0,12,False
2005-09-01,0,6,8,0,19,False
2005-10-01,0,0,18,0,26,False
2005-11-01,0,5,10,0,26,False
2005-12-01,0,0,10,5,20,False
2006-01-01,4,0,13,0,13,False
2006-02-01,0,0,23,0,16,False
2006-03-01,0,4,16,4,27,False
2006-04-01,0,0,6,0,17,False
2006-05-01,4,0,15,0,25,False
2006-06-01,0,4,8,0,22,False
2006-07-01,0,0,10,0,22,False
2006-08-01,0,4,13,0,15,False
2006-09-01,0,0,11,0,9,False
2006-10-01,0,3,8,3,15,False
2006-11-01,0,3,11,0,24,False
2006-12-01,0,0,10,0,18,False
2007-01-01,0,3,10,0,17,False
2007-02-01,0,0,11,0,17,False
2007-03-01,0,0,7,0,28,False
2007-04-01,0,0,11,0,21,False
2007-05-01,0,2,6,0,17,False
2007-06-01,0,2,18,0,17,False
2007-07-01,0,4,14,0,20,False
2007-08-01,0,0,21,2,14,False
2007-09-01,0,2,12,0,22,False
2007-10-01,0,2,6,0,16,False
2007-11-01,0,2,11,0,16,False
2007-12-01,0,2,3,0,21,False
2008-01-01,0,0,10,0,17,False
2008-02-01,0,2,11,0,26,False
2008-03-01,2,3,11,0,14,False
2008-04-01,2,0,12,2,22,False
2008-05-01,0,0,20,2,23,False
2008-06-01,0,4,11,0,17,False
2008-07-01,0,2,9,0,11,False
2008-08-01,0,2,13,0,25,False
2008-09-01,0,3,7,0,27,False
2008-10-01,0,0,9,0,24,False
2008-11-01,0,2,6,0,26,False
2008-12-01,0,2,9,0,20,False
2009-01-01,0,3,14,0,19,False
2009-02-01,0,3,22,0,30,False
2009-03-01,0,2,13,0,22,False
2009-04-01,0,1,33,0,27,False
2009-05-01,0,4,19,0,32,False
2009-06-01,0,1,11,0,19,False
2009-07-01,0,2,14,0,19,False
2009-08-01,1,1,16,1,25,False
2009-09-01,0,2,11,0,34,False
2009-10-01,1,2,17,1,19,False
2009-11-01,0,1,11,0,28,False
2009-12-01,0,2,15,0,19,False
