date,Paul Pholeros,Peter Attia,Bob Mankoff,Michael Archer,Iraola,isPartial
2004-01-01,0,0,0,15,23,False
2004-02-01,0,0,0,30,60,False
2004-03-01,0,0,19,19,18,False
2004-04-01,0,14,0,15,19,False
2004-05-01,0,0,12,31,17,False
2004-06-01,0,0,12,19,19,False
2004-07-01,0,0,13,17,17,False
2004-08-01,0,0,0,32,20,False
2004-09-01,0,0,11,26,28,False
2004-10-01,0,0,11,17,26,False
2004-11-01,0,0,0,23,34,False
2004-12-01,0,0,0,21,21,False
2005-01-01,0,0,9,15,31,False
2005-02-01,0,0,0,29,24,False
2005-03-01,0,8,8,16,19,False
2005-04-01,0,0,9,41,24,False
2005-05-01,0,0,0,32,27,False
2005-06-01,0,8,8,13,29,False
2005-07-01,0,0,8,30,25,False
2005-08-01,0,0,0,13,21,False
2005-09-01,0,0,0,24,29,False
2005-10-01,0,7,0,18,27,False
2005-11-01,0,7,7,13,27,False
2005-12-01,0,7,0,24,22,False
2006-01-01,0,0,6,13,17,False
2006-02-01,0,0,0,10,22,False
2006-03-01,0,0,0,20,38,False
2006-04-01,0,0,0,20,24,False
2006-05-01,0,0,0,20,24,False
2006-06-01,0,5,5,12,27,False
2006-07-01,5,0,0,16,32,False
2006-08-01,0,0,0,22,20,False
2006-09-01,5,0,0,17,17,False
2006-10-01,0,0,4,6,27,False
2006-11-01,4,0,4,7,25,False
2006-12-01,0,0,0,15,22,False
2007-01-01,0,0,0,24,27,False
2007-02-01,0,0,0,13,24,False
2007-03-01,0,0,3,14,39,False
2007-04-01,0,0,0,11,25,False
2007-05-01,0,3,0,6,25,False
2007-06-01,0,0,0,11,27,False
2007-07-01,3,0,3,16,22,False
2007-08-01,0,0,0,9,17,False
2007-09-01,3,0,3,9,32,False
2007-10-01,0,0,0,12,24,False
2007-11-01,0,0,3,6,21,False
2007-12-01,0,0,0,12,28,False
2008-01-01,0,2,0,12,18,False
2008-02-01,2,2,2,14,29,False
2008-03-01,0,0,0,14,25,False
2008-04-01,0,0,5,16,27,False
2008-05-01,2,0,0,13,27,False
2008-06-01,0,0,0,8,24,False
2008-07-01,2,4,2,9,15,False
2008-08-01,2,0,0,12,32,False
2008-09-01,0,0,0,9,35,False
2008-10-01,3,0,2,11,30,False
2008-11-01,2,0,0,13,31,False
2008-12-01,0,2,2,8,25,False
2009-01-01,2,0,2,9,30,False
2009-02-01,0,2,2,13,35,False
2009-03-01,0,0,0,13,24,False
2009-04-01,0,2,0,9,32,False
2009-05-01,0,0,0,10,39,False
2009-06-01,0,0,2,7,27,False
2009-07-01,0,3,2,15,26,False
2009-08-01,2,0,2,14,32,False
2009-09-01,0,0,3,8,38,False
2009-10-01,0,0,1,12,28,False
2009-11-01,1,1,3,15,36,False
2009-12-01,0,0,1,14,27,False
2010-01-01,1,1,1,13,35,False
2010-02-01,0,0,1,11,18,False
2010-03-01,1,1,1,9,26,False
2010-04-01,1,0,1,14,27,False
2010-05-01,1,0,1,8,24,False
2010-06-01,0,1,1,11,29,False
2010-07-01,0,0,1,12,20,False
2010-08-01,2,0,2,8,27,False
2010-09-01,1,1,0,10,32,False
2010-10-01,0,1,1,12,34,False
2010-11-01,0,0,2,9,42,False
2010-12-01,0,0,0,8,34,False
2011-01-01,1,0,2,13,28,False
2011-02-01,1,0,2,11,38,False
2011-03-01,1,0,2,11,46,False
2011-04-01,0,1,1,12,34,False
2011-05-01,1,1,1,7,31,False
2011-06-01,0,0,1,8,33,False
2011-07-01,0,2,1,7,28,False
2011-08-01,1,1,1,9,42,False
2011-09-01,1,1,2,12,34,False
2011-10-01,1,1,0,10,32,False
2011-11-01,1,1,0,9,28,False
2011-12-01,0,1,1,9,27,False
2012-01-01,1,2,1,11,25,False
2012-02-01,1,3,1,14,30,False
2012-03-01,1,1,0,8,54,False
2012-04-01,1,3,1,8,34,False
2012-05-01,1,4,1,8,41,False
2012-06-01,1,5,0,11,32,False
2012-07-01,1,5,1,13,23,False
2012-08-01,1,7,0,11,24,False
2012-09-01,0,5,1,9,26,False
2012-10-01,0,6,1,9,25,False
2012-11-01,1,5,1,9,27,False
2012-12-01,0,9,1,9,23,False
2013-01-01,1,7,1,9,24,False
2013-02-01,0,5,1,13,25,False
2013-03-01,1,4,1,13,23,False
2013-04-01,1,6,1,12,25,False
2013-05-01,1,8,1,11,21,False
2013-06-01,1,26,1,10,23,False
2013-07-01,1,42,2,9,23,False
2013-08-01,1,19,1,8,24,False
2013-09-01,1,13,1,9,30,False
2013-10-01,1,13,0,9,26,False
2013-11-01,1,12,1,11,24,False
2013-12-01,1,10,1,11,25,False
2014-01-01,1,12,1,12,22,False
2014-02-01,1,17,1,11,25,False
2014-03-01,1,11,9,11,28,False
2014-04-01,1,9,3,10,22,False
2014-05-01,1,12,3,13,25,False
2014-06-01,1,10,2,8,21,False
2014-07-01,1,9,1,12,26,False
2014-08-01,1,10,5,10,34,False
2014-09-01,0,9,1,8,35,False
2014-10-01,1,10,2,9,27,False
2014-11-01,0,8,1,11,26,False
2014-12-01,0,10,1,10,22,False
2015-01-01,0,12,3,12,21,False
2015-02-01,0,12,1,12,26,False
2015-03-01,0,16,1,15,37,False
2015-04-01,1,12,2,18,38,False
2015-05-01,0,11,1,11,100,False
2015-06-01,1,8,1,10,44,False
2015-07-01,1,9,2,10,50,False
2015-08-01,0,9,0,15,34,False
2015-09-01,0,9,2,13,30,False
2015-10-01,0,8,1,10,24,False
2015-11-01,0,11,2,12,23,False
2015-12-01,0,6,17,9,20,False
2016-01-01,0,8,3,11,24,False
2016-02-01,9,7,2,10,23,False
2016-03-01,0,12,2,14,26,False
2016-04-01,0,10,1,20,18,False
2016-05-01,1,8,2,10,32,False
2016-06-01,0,8,1,14,26,False
2016-07-01,0,8,1,12,28,False
2016-08-01,1,7,1,10,18,False
2016-09-01,1,8,2,9,25,False
2016-10-01,1,9,1,9,24,False
2016-11-01,0,5,3,7,33,False
2016-12-01,0,9,1,9,19,False
2017-01-01,0,22,1,9,18,False
2017-02-01,0,10,1,12,21,False
2017-03-01,0,12,4,11,18,False
2017-04-01,0,9,3,11,19,False
2017-05-01,0,9,2,11,24,False
2017-06-01,0,8,1,9,19,False
2017-07-01,0,7,1,10,20,False
2017-08-01,0,11,1,10,18,False
2017-09-01,0,9,1,9,18,False
2017-10-01,1,9,1,9,16,False
2017-11-01,1,8,2,7,14,False
2017-12-01,0,8,1,8,14,False
2018-01-01,0,10,1,10,19,False
2018-02-01,0,9,1,8,17,False
2018-03-01,0,12,1,8,14,False
2018-04-01,0,93,1,8,16,False
2018-05-01,0,66,0,8,17,False
2018-06-01,0,34,1,9,17,False
2018-07-01,0,36,1,5,16,False
2018-08-01,0,35,0,8,17,False
2018-09-01,0,29,0,7,18,False
2018-10-01,0,31,1,7,20,False
2018-11-01,0,34,1,6,17,False
2018-12-01,0,45,0,6,16,False
2019-01-01,0,47,2,6,16,False
2019-02-01,0,39,0,7,19,False
2019-03-01,0,40,0,8,15,False
2019-04-01,0,39,1,5,19,False
2019-05-01,0,37,1,9,16,False
2019-06-01,0,41,0,9,17,False
2019-07-01,0,41,2,13,24,False
2019-08-01,0,45,1,13,20,False
2019-09-01,0,45,1,9,17,False
2019-10-01,0,38,1,5,16,False
2019-11-01,0,35,1,9,16,False
2019-12-01,0,40,1,6,19,False
2020-01-01,0,43,1,7,28,False
2020-02-01,0,39,1,10,54,False
2020-03-01,0,50,0,7,21,False
2020-04-01,0,45,0,6,17,False
2020-05-01,0,38,0,9,14,False
2020-06-01,0,34,1,8,16,False
2020-07-01,0,31,0,7,34,False
2020-08-01,0,33,1,9,27,False
2020-09-01,0,27,0,7,19,False
2020-10-01,0,22,1,8,21,False
