date,Adam Alter,Kate Marvel,Anil Seth,Tricia Wang,Iraola,isPartial
2008-05-01,6,4,2,0,30,False
2008-06-01,2,5,2,0,22,False
2008-07-01,4,3,2,2,14,False
2008-08-01,6,2,0,0,32,False
2008-09-01,6,0,3,0,35,False
2008-10-01,4,0,2,0,31,False
2008-11-01,4,2,2,2,33,False
2008-12-01,4,3,2,2,25,False
2009-01-01,5,5,0,2,25,False
2009-02-01,2,4,2,0,39,False
2009-03-01,2,3,2,0,29,False
2009-04-01,3,0,0,0,35,False
2009-05-01,3,5,2,0,42,False
2009-06-01,3,2,3,0,25,False
2009-07-01,2,4,2,2,24,False
2009-08-01,2,2,2,0,32,False
2009-09-01,2,6,2,2,43,False
2009-10-01,3,4,1,0,24,False
2009-11-01,4,0,1,3,36,False
2009-12-01,3,1,2,1,25,False
2010-01-01,1,3,0,0,35,False
2010-02-01,5,2,3,1,17,False
2010-03-01,3,1,1,1,24,False
2010-04-01,2,3,2,0,30,False
2010-05-01,3,2,3,0,21,False
2010-06-01,1,1,1,1,29,False
2010-07-01,4,2,4,1,21,False
2010-08-01,1,1,2,1,25,False
2010-09-01,1,1,1,0,29,False
2010-10-01,5,4,0,0,30,False
2010-11-01,4,4,2,0,37,False
2010-12-01,6,2,1,1,38,False
2011-01-01,2,4,1,1,24,False
2011-02-01,4,2,0,1,39,False
2011-03-01,5,1,1,2,45,False
2011-04-01,5,2,3,1,30,False
2011-05-01,3,2,4,0,32,False
2011-06-01,3,1,1,0,35,False
2011-07-01,3,4,2,2,26,False
2011-08-01,3,2,1,0,36,False
2011-09-01,3,3,0,0,37,False
2011-10-01,4,2,2,0,33,False
2011-11-01,3,1,1,1,27,False
2011-12-01,2,4,2,1,26,False
2012-01-01,5,3,1,0,26,False
2012-02-01,2,3,2,1,30,False
2012-03-01,1,1,1,1,50,False
2012-04-01,3,3,1,1,35,False
2012-05-01,3,8,2,1,38,False
2012-06-01,1,2,1,1,30,False
2012-07-01,2,6,1,1,22,False
2012-08-01,3,4,2,1,21,False
2012-09-01,3,9,1,1,23,False
2012-10-01,4,6,1,1,26,False
2012-11-01,2,2,1,1,24,False
2012-12-01,3,6,2,0,23,False
2013-01-01,3,2,1,0,23,False
2013-02-01,2,4,1,1,26,False
2013-03-01,5,3,2,1,23,False
