date,Simon Sinek,Jeremy Jackson,Anil Gupta,Thomas Dolby,Iraola,isPartial
2014-04-01,11,8,2,2,2,False
2014-05-01,13,9,2,2,3,False
2014-06-01,12,6,2,2,2,False
2014-07-01,12,14,2,2,3,False
2014-08-01,12,6,2,2,4,False
2014-09-01,12,6,2,2,4,False
2014-10-01,13,5,2,2,3,False
2014-11-01,12,6,2,2,3,False
2014-12-01,10,5,1,2,2,False
2015-01-01,11,100,2,2,2,False
2015-02-01,11,5,1,2,3,False
2015-03-01,14,7,2,2,4,False
2015-04-01,12,11,2,2,4,False
2015-05-01,12,7,2,2,11,False
2015-06-01,11,4,1,2,5,False
2015-07-01,11,5,2,2,6,False
2015-08-01,10,7,2,2,4,False
2015-09-01,12,6,1,2,3,False
2015-10-01,12,8,2,2,3,False
2015-11-01,12,4,1,2,3,False
2015-12-01,9,5,2,1,2,False
2016-01-01,9,7,1,2,3,False
2016-02-01,11,4,1,2,3,False
2016-03-01,11,4,2,2,3,False
2016-04-01,12,4,2,2,2,False
2016-05-01,11,3,2,2,4,False
2016-06-01,11,3,2,2,3,False
2016-07-01,9,5,1,2,3,False
2016-08-01,11,5,1,2,2,False
2016-09-01,12,4,1,2,3,False
2016-10-01,14,4,1,3,3,False
2016-11-01,13,3,1,2,4,False
2016-12-01,44,3,1,2,2,False
2017-01-01,75,3,1,2,2,False
2017-02-01,39,3,1,2,2,False
2017-03-01,31,3,1,2,2,False
2017-04-01,22,8,2,2,2,False
2017-05-01,27,4,1,2,3,False
2017-06-01,21,5,2,2,2,False
2017-07-01,20,4,2,2,2,False
2017-08-01,26,4,2,2,2,False
2017-09-01,49,4,1,2,2,False
2017-10-01,38,3,1,2,2,False
2017-11-01,31,3,1,2,2,False
2017-12-01,26,3,2,3,2,False
2018-01-01,31,3,1,2,2,False
2018-02-01,28,3,2,2,2,False
2018-03-01,27,3,2,2,2,False
2018-04-01,26,3,1,2,2,False
2018-05-01,25,3,1,2,2,False
2018-06-01,27,3,1,1,2,False
2018-07-01,24,3,1,2,2,False
2018-08-01,28,3,2,2,2,False
2018-09-01,26,4,2,2,2,False
2018-10-01,28,6,1,2,2,False
2018-11-01,40,2,1,2,2,False
2018-12-01,27,2,2,1,2,False
2019-01-01,28,2,1,2,2,False
2019-02-01,26,3,1,1,2,False
2019-03-01,22,3,1,2,2,False
2019-04-01,20,3,1,1,2,False
2019-05-01,22,3,1,2,2,False
2019-06-01,20,3,1,2,2,False
2019-07-01,21,3,2,2,3,False
2019-08-01,21,4,2,2,2,False
2019-09-01,23,3,1,2,2,False
2019-10-01,27,3,1,1,2,False
2019-11-01,29,2,1,1,2,False
2019-12-01,22,3,1,2,2,False
2020-01-01,25,3,1,2,3,False
2020-02-01,25,3,1,2,6,False
2020-03-01,20,3,1,2,2,False
2020-04-01,21,4,1,2,2,False
2020-05-01,21,3,1,2,2,False
2020-06-01,21,3,1,2,2,False
2020-07-01,19,3,2,2,4,False
2020-08-01,20,3,2,2,3,False
2020-09-01,22,3,1,1,2,False
2020-10-01,19,10,1,2,2,False
