date,Jack Horner,Janet Echelman,Alice Dreger,JD Schramm,Iraola,isPartial
2017-11-01,23,2,2,0,14,False
2017-12-01,21,1,0,1,14,False
2018-01-01,21,4,2,0,19,False
2018-02-01,23,11,3,1,17,False
2018-03-01,23,5,3,1,14,False
2018-04-01,22,4,2,0,16,False
2018-05-01,18,3,4,0,17,False
2018-06-01,25,4,1,0,17,False
2018-07-01,22,3,3,0,16,False
2018-08-01,19,3,5,0,17,False
2018-09-01,34,2,1,0,18,False
2018-10-01,18,2,2,0,20,False
2018-11-01,21,2,2,0,17,False
2018-12-01,23,3,2,0,16,False
2019-01-01,20,3,1,0,16,False
2019-02-01,21,3,1,0,19,False
2019-03-01,22,3,1,0,15,False
2019-04-01,19,3,1,0,19,False
2019-05-01,22,3,1,0,16,False
2019-06-01,22,2,1,1,17,False
2019-07-01,21,1,1,0,24,False
2019-08-01,23,3,1,0,20,False
2019-09-01,19,1,1,0,17,False
2019-10-01,19,3,2,0,16,False
2019-11-01,21,3,1,0,16,False
2019-12-01,19,1,1,1,19,False
2020-01-01,20,3,1,1,28,False
2020-02-01,20,2,0,0,54,False
2020-03-01,17,2,1,0,21,False
2020-04-01,20,1,1,0,17,False
2020-05-01,28,2,1,0,14,False
2020-06-01,33,1,1,0,16,False
2020-07-01,42,2,1,0,34,False
2020-08-01,34,2,1,0,27,False
2020-09-01,50,2,1,0,19,False
2020-10-01,40,2,1,0,21,False
