date,R. Luke DuBois,Ameera Harouda,Riccardo Sabatini,Sarah Gray,Iraola,isPartial
2004-01-01,0,0,0,45,23,False
2004-02-01,0,0,0,52,60,False
2004-03-01,0,0,0,25,18,False
2004-04-01,0,0,0,38,19,False
2004-05-01,0,0,0,13,17,False
2004-06-01,0,0,12,33,19,False
2004-07-01,0,0,0,26,17,False
2004-08-01,0,0,0,48,20,False
2004-09-01,0,0,11,33,28,False
2004-10-01,0,0,0,26,26,False
2004-11-01,0,0,0,30,34,False
2004-12-01,0,0,0,25,21,False
2005-01-01,0,0,0,31,31,False
2005-02-01,0,0,0,13,24,False
2005-03-01,0,0,0,33,19,False
2005-04-01,0,0,0,21,24,False
2005-05-01,0,0,0,13,27,False
2005-06-01,0,0,0,32,29,False
2005-07-01,0,0,8,16,25,False
2005-08-01,0,0,0,26,21,False
2005-09-01,0,0,0,26,29,False
2005-10-01,0,0,0,32,27,False
2005-11-01,0,0,0,27,27,False
2005-12-01,0,0,7,31,22,False
2006-01-01,0,0,0,19,17,False
2006-02-01,0,0,0,22,22,False
2006-03-01,0,0,5,24,38,False
2006-04-01,6,0,0,15,24,False
2006-05-01,0,0,0,17,24,False
2006-06-01,0,0,0,25,27,False
2006-07-01,0,0,5,16,32,False
2006-08-01,5,0,0,23,20,False
2006-09-01,0,0,0,14,17,False
2006-10-01,0,0,4,19,27,False
2006-11-01,0,0,0,18,25,False
2006-12-01,4,0,0,20,22,False
2007-01-01,0,0,0,24,27,False
2007-02-01,0,0,0,22,24,False
2007-03-01,0,0,3,19,39,False
2007-04-01,0,0,0,17,25,False
2007-05-01,3,0,3,20,25,False
2007-06-01,0,0,0,11,27,False
2007-07-01,0,0,0,18,22,False
2007-08-01,0,0,0,19,17,False
2007-09-01,0,0,3,18,32,False
2007-10-01,0,0,0,17,24,False
2007-11-01,0,0,0,18,21,False
2007-12-01,3,0,3,18,28,False
2008-01-01,0,0,0,22,18,False
2008-02-01,0,0,0,22,29,False
2008-03-01,0,0,0,19,25,False
2008-04-01,2,0,2,14,27,False
2008-05-01,2,0,2,13,27,False
2008-06-01,2,0,0,17,24,False
2008-07-01,2,0,0,13,15,False
2008-08-01,2,0,0,15,32,False
2008-09-01,0,0,2,22,35,False
2008-10-01,4,0,2,25,30,False
2008-11-01,0,0,0,18,31,False
2008-12-01,0,0,0,21,25,False
2009-01-01,2,0,2,20,30,False
2009-02-01,0,0,2,19,35,False
2009-03-01,2,0,2,12,24,False
2009-04-01,0,0,2,17,32,False
2009-05-01,2,0,0,13,39,False
2009-06-01,0,0,0,14,27,False
2009-07-01,0,0,2,16,26,False
2009-08-01,0,0,0,19,32,False
2009-09-01,0,0,0,14,38,False
2009-10-01,0,0,0,17,28,False
2009-11-01,0,0,0,16,36,False
2009-12-01,0,0,1,22,27,False
2010-01-01,0,0,0,22,35,False
2010-02-01,1,0,1,16,18,False
2010-03-01,1,0,0,21,26,False
2010-04-01,0,0,2,13,27,False
2010-05-01,0,0,1,18,24,False
2010-06-01,0,0,1,21,29,False
2010-07-01,0,0,1,14,20,False
2010-08-01,0,0,1,20,27,False
2010-09-01,2,0,2,15,32,False
2010-10-01,0,0,2,16,34,False
2010-11-01,0,0,0,18,42,False
2010-12-01,1,0,1,11,34,False
2011-01-01,0,0,1,16,28,False
2011-02-01,1,0,1,15,38,False
2011-03-01,0,0,1,14,46,False
2011-04-01,2,0,1,11,34,False
2011-05-01,1,0,1,16,31,False
2011-06-01,0,0,0,15,33,False
2011-07-01,0,0,1,16,28,False
2011-08-01,0,0,1,15,42,False
2011-09-01,1,0,1,18,34,False
2011-10-01,0,0,1,17,32,False
2011-11-01,1,0,2,19,28,False
2011-12-01,2,0,2,16,27,False
2012-01-01,1,0,2,17,25,False
2012-02-01,1,0,1,18,30,False
2012-03-01,1,0,1,17,54,False
2012-04-01,1,0,2,17,34,False
2012-05-01,0,0,1,15,41,False
2012-06-01,0,0,1,18,32,False
2012-07-01,0,0,1,21,23,False
2012-08-01,0,0,1,22,24,False
2012-09-01,0,0,1,17,26,False
2012-10-01,0,0,1,13,25,False
2012-11-01,1,0,1,15,27,False
2012-12-01,0,0,0,12,23,False
2013-01-01,0,0,1,17,24,False
2013-02-01,0,0,1,17,25,False
2013-03-01,0,0,1,16,23,False
2013-04-01,0,0,1,17,25,False
2013-05-01,1,0,1,14,21,False
2013-06-01,1,0,1,17,23,False
2013-07-01,0,0,1,14,23,False
2013-08-01,0,0,1,16,24,False
2013-09-01,0,0,1,17,30,False
2013-10-01,1,0,2,19,26,False
2013-11-01,0,0,1,14,24,False
2013-12-01,0,0,1,15,25,False
2014-01-01,1,0,1,15,22,False
2014-02-01,1,0,1,12,25,False
2014-03-01,1,0,1,15,28,False
2014-04-01,1,0,1,14,22,False
2014-05-01,1,0,1,19,25,False
2014-06-01,0,0,1,11,21,False
2014-07-01,0,0,1,18,26,False
2014-08-01,0,0,1,17,34,False
2014-09-01,0,0,1,14,35,False
2014-10-01,1,0,1,13,27,False
2014-11-01,0,0,1,15,26,False
2014-12-01,0,0,1,14,22,False
2015-01-01,0,0,0,16,21,False
2015-02-01,0,0,0,16,26,False
2015-03-01,0,0,1,14,37,False
2015-04-01,0,0,1,14,38,False
2015-05-01,0,0,0,13,100,False
2015-06-01,0,0,0,15,44,False
2015-07-01,0,0,1,12,50,False
2015-08-01,0,0,1,17,34,False
2015-09-01,1,0,1,15,30,False
2015-10-01,0,0,1,15,24,False
2015-11-01,0,0,0,13,23,False
2015-12-01,0,0,1,13,20,False
2016-01-01,0,0,1,13,24,False
2016-02-01,0,0,2,14,23,False
2016-03-01,0,0,2,15,26,False
2016-04-01,1,1,2,13,18,False
2016-05-01,2,1,2,13,32,False
2016-06-01,0,0,1,14,26,False
2016-07-01,1,0,1,12,28,False
2016-08-01,1,0,1,13,18,False
2016-09-01,1,1,2,17,25,False
2016-10-01,1,0,1,19,24,False
2016-11-01,0,0,1,14,33,False
2016-12-01,0,0,0,13,19,False
2017-01-01,0,0,1,14,18,False
2017-02-01,0,0,1,10,21,False
2017-03-01,0,0,1,16,18,False
2017-04-01,0,0,1,13,19,False
2017-05-01,0,0,1,13,24,False
2017-06-01,0,0,1,14,19,False
2017-07-01,0,0,1,11,20,False
2017-08-01,0,0,1,15,18,False
2017-09-01,0,0,2,15,18,False
2017-10-01,1,0,1,16,16,False
2017-11-01,0,0,2,12,14,False
2017-12-01,1,0,1,14,14,False
2018-01-01,0,0,2,15,19,False
2018-02-01,0,0,2,13,17,False
2018-03-01,0,0,1,14,14,False
2018-04-01,0,0,1,12,16,False
2018-05-01,0,0,1,14,17,False
2018-06-01,0,0,1,13,17,False
2018-07-01,0,0,1,14,16,False
2018-08-01,0,0,1,13,17,False
2018-09-01,0,0,1,12,18,False
2018-10-01,0,0,6,10,20,False
2018-11-01,0,0,5,12,17,False
2018-12-01,0,0,1,32,16,False
2019-01-01,0,0,0,18,16,False
2019-02-01,0,0,1,15,19,False
2019-03-01,0,0,1,28,15,False
2019-04-01,0,0,1,15,19,False
2019-05-01,0,0,1,14,16,False
2019-06-01,0,0,1,13,17,False
2019-07-01,0,0,1,14,24,False
2019-08-01,0,0,1,19,20,False
2019-09-01,0,0,1,24,17,False
2019-10-01,0,0,1,15,16,False
2019-11-01,0,0,1,14,16,False
2019-12-01,0,0,1,17,19,False
2020-01-01,0,0,0,17,28,False
2020-02-01,0,0,1,16,54,False
2020-03-01,0,0,0,15,21,False
2020-04-01,0,0,1,18,17,False
2020-05-01,0,0,2,18,14,False
2020-06-01,0,0,1,21,16,False
2020-07-01,0,0,1,17,34,False
2020-08-01,0,0,0,16,27,False
2020-09-01,0,0,0,14,19,False
2020-10-01,0,0,0,15,21,False
