date,Sasha Dichter,Niall Ferguson,Jean-Baptiste Michel + Erez Lieberman Aiden,Amy Lockwood,Iraola,isPartial
2004-01-01,0,13,0,0,11,False
2004-02-01,0,30,0,0,30,False
2004-03-01,0,25,9,0,9,False
2004-04-01,0,36,11,0,10,False
2004-05-01,0,67,0,0,8,False
2004-06-01,0,62,6,0,9,False
2004-07-01,0,31,0,0,9,False
2004-08-01,0,51,0,0,10,False
2004-09-01,0,17,6,0,14,False
2004-10-01,0,19,0,0,13,False
2004-11-01,0,19,0,6,17,False
2004-12-01,0,25,5,0,11,False
2005-01-01,0,23,5,0,15,False
2005-02-01,0,28,5,10,12,False
2005-03-01,0,19,4,4,10,False
2005-04-01,0,17,5,0,12,False
2005-05-01,0,17,4,0,13,False
2005-06-01,4,18,4,4,15,False
2005-07-01,0,7,4,0,12,False
2005-08-01,0,19,0,0,11,False
2005-09-01,0,8,0,0,14,False
2005-10-01,0,11,3,0,14,False
2005-11-01,0,12,0,0,14,False
2005-12-01,0,18,7,0,11,False
2006-01-01,0,30,3,3,9,False
2006-02-01,0,14,0,0,11,False
2006-03-01,0,12,0,5,19,False
2006-04-01,0,14,3,3,12,False
2006-05-01,0,22,3,4,12,False
2006-06-01,0,44,0,0,13,False
2006-07-01,0,27,3,3,16,False
2006-08-01,0,29,2,0,10,False
2006-09-01,0,28,2,0,9,False
2006-10-01,0,39,4,0,14,False
2006-11-01,0,26,2,2,12,False
2006-12-01,0,16,2,0,11,False
2007-01-01,0,19,3,0,14,False
2007-02-01,0,17,2,2,12,False
2007-03-01,0,20,0,4,20,False
2007-04-01,0,18,0,2,13,False
2007-05-01,0,18,2,2,12,False
2007-06-01,0,15,0,0,13,False
2007-07-01,0,11,2,2,11,False
2007-08-01,0,12,2,3,9,False
2007-09-01,1,13,0,1,16,False
2007-10-01,0,14,0,2,12,False
2007-11-01,0,17,1,1,10,False
2007-12-01,0,13,1,1,14,False
2008-01-01,0,11,2,2,9,False
2008-02-01,0,8,1,0,15,False
2008-03-01,0,18,1,2,13,False
2008-04-01,0,10,1,1,13,False
2008-05-01,0,13,2,2,14,False
2008-06-01,0,14,0,1,12,False
2008-07-01,0,20,1,2,8,False
2008-08-01,0,9,1,0,16,False
2008-09-01,0,12,3,1,18,False
2008-10-01,1,17,2,1,15,False
2008-11-01,1,52,1,0,16,False
2008-12-01,1,39,2,2,13,False
2009-01-01,1,48,1,2,15,False
2009-02-01,0,46,1,1,17,False
2009-03-01,0,37,1,2,12,False
2009-04-01,0,29,1,1,16,False
2009-05-01,0,26,1,1,20,False
2009-06-01,0,32,0,1,13,False
2009-07-01,1,31,1,0,13,False
2009-08-01,1,48,0,1,16,False
2009-09-01,2,28,1,2,19,False
2009-10-01,1,32,2,0,14,False
2009-11-01,0,38,1,1,18,False
2009-12-01,1,32,0,1,13,False
2010-01-01,0,28,1,1,17,False
2010-02-01,0,52,1,1,9,False
2010-03-01,1,38,1,1,13,False
2010-04-01,1,26,1,1,14,False
2010-05-01,0,35,1,1,12,False
2010-06-01,1,34,2,1,15,False
2010-07-01,1,55,1,1,10,False
2010-08-01,0,33,2,1,14,False
2010-09-01,0,29,0,1,16,False
2010-10-01,1,34,2,1,17,False
2010-11-01,0,30,1,1,21,False
2010-12-01,1,26,2,1,17,False
2011-01-01,1,30,1,1,14,False
2011-02-01,1,55,1,1,19,False
2011-03-01,1,78,0,0,23,False
2011-04-01,1,46,2,1,17,False
2011-05-01,1,36,1,0,16,False
2011-06-01,0,46,2,1,16,False
2011-07-01,0,34,1,1,14,False
2011-08-01,0,36,1,1,21,False
2011-09-01,2,50,2,2,17,False
2011-10-01,0,38,1,1,16,False
2011-11-01,0,78,2,1,14,False
2011-12-01,0,71,1,1,14,False
2012-01-01,0,53,2,2,13,False
2012-02-01,0,37,1,1,15,False
2012-03-01,0,43,1,1,27,False
2012-04-01,1,37,1,2,17,False
2012-05-01,0,52,3,1,20,False
2012-06-01,1,52,1,2,16,False
2012-07-01,1,40,1,1,11,False
2012-08-01,0,100,1,1,12,False
2012-09-01,0,40,1,1,13,False
2012-10-01,0,29,1,1,13,False
2012-11-01,0,30,1,1,13,False
2012-12-01,1,23,1,0,12,False
2013-01-01,1,24,1,1,12,False
2013-02-01,1,22,1,1,12,False
2013-03-01,0,22,1,1,12,False
2013-04-01,1,26,1,1,13,False
2013-05-01,0,60,1,1,10,False
2013-06-01,0,41,1,1,12,False
2013-07-01,0,26,1,2,12,False
2013-08-01,1,21,1,2,12,False
2013-09-01,0,22,0,1,15,False
2013-10-01,0,37,1,1,13,False
2013-11-01,0,23,1,2,12,False
2013-12-01,0,22,0,1,12,False
2014-01-01,1,22,1,1,11,False
2014-02-01,1,24,1,1,13,False
2014-03-01,0,25,1,1,14,False
2014-04-01,0,20,1,1,11,False
2014-05-01,0,17,1,1,12,False
2014-06-01,0,16,1,1,10,False
2014-07-01,0,16,1,1,13,False
2014-08-01,0,21,1,1,17,False
2014-09-01,1,28,1,1,18,False
2014-10-01,0,16,1,1,14,False
2014-11-01,0,18,0,1,13,False
2014-12-01,0,16,1,1,11,False
2015-01-01,0,16,1,1,11,False
2015-02-01,1,17,0,1,13,False
2015-03-01,0,14,1,0,18,False
2015-04-01,1,15,0,1,19,False
2015-05-01,0,17,0,1,50,False
2015-06-01,0,15,1,0,22,False
2015-07-01,0,12,1,1,25,False
2015-08-01,0,13,1,1,17,False
2015-09-01,0,14,1,1,15,False
2015-10-01,0,20,1,1,12,False
2015-11-01,0,24,1,1,11,False
2015-12-01,0,16,1,1,10,False
2016-01-01,0,18,1,0,12,False
2016-02-01,0,15,1,1,12,False
2016-03-01,0,14,1,1,13,False
2016-04-01,0,11,1,1,9,False
2016-05-01,0,16,1,1,16,False
2016-06-01,0,17,0,1,13,False
2016-07-01,0,12,1,0,14,False
2016-08-01,0,10,0,0,9,False
2016-09-01,0,11,0,0,13,False
2016-10-01,0,10,1,0,12,False
2016-11-01,0,18,0,1,17,False
2016-12-01,0,18,0,0,10,False
2017-01-01,0,12,0,1,9,False
2017-02-01,0,14,1,0,10,False
2017-03-01,0,14,1,1,9,False
2017-04-01,0,16,0,0,9,False
2017-05-01,0,13,1,0,12,False
2017-06-01,0,12,0,1,9,False
2017-07-01,0,11,0,1,10,False
2017-08-01,0,13,0,1,9,False
2017-09-01,0,11,1,1,9,False
2017-10-01,0,15,1,1,8,False
2017-11-01,0,16,1,0,7,False
2017-12-01,0,12,1,0,7,False
2018-01-01,0,22,1,1,10,False
2018-02-01,0,25,0,0,8,False
2018-03-01,0,24,0,0,7,False
2018-04-01,0,17,0,0,8,False
2018-05-01,0,15,1,0,9,False
2018-06-01,0,34,0,0,9,False
2018-07-01,0,14,0,0,8,False
2018-08-01,0,11,0,1,9,False
2018-09-01,0,13,0,0,9,False
2018-10-01,0,12,0,0,10,False
2018-11-01,0,12,0,0,8,False
2018-12-01,0,15,0,1,8,False
2019-01-01,0,17,0,0,8,False
2019-02-01,0,14,0,1,9,False
2019-03-01,0,13,1,1,8,False
2019-04-01,0,11,0,0,10,False
2019-05-01,0,12,1,0,8,False
2019-06-01,0,11,0,0,8,False
2019-07-01,0,11,1,1,12,False
2019-08-01,0,16,0,0,10,False
2019-09-01,0,12,0,1,9,False
2019-10-01,0,10,0,0,8,False
2019-11-01,0,12,0,0,8,False
2019-12-01,0,9,0,0,9,False
2020-01-01,0,15,0,0,14,False
2020-02-01,0,11,1,1,27,False
2020-03-01,0,26,0,0,11,False
2020-04-01,0,23,0,0,9,False
2020-05-01,0,33,1,0,7,False
2020-06-01,0,20,1,0,8,False
2020-07-01,0,17,1,1,17,False
2020-08-01,0,14,0,0,13,False
2020-09-01,0,13,1,0,10,False
2020-10-01,0,11,1,0,11,False
