date,Iyad Rahwan,David Whyte,Robin Hanson,Carolyn Bertozzi,Iraola,isPartial
2011-10-01,0,18,2,4,32,False
2011-11-01,0,16,4,2,28,False
2011-12-01,1,20,2,2,27,False
2012-01-01,1,20,3,2,25,False
2012-02-01,1,21,3,2,30,False
2012-03-01,1,21,4,3,54,False
2012-04-01,0,18,3,1,34,False
2012-05-01,1,21,5,1,41,False
2012-06-01,0,20,2,1,32,False
2012-07-01,1,15,4,1,23,False
2012-08-01,1,15,4,1,24,False
2012-09-01,0,21,3,1,26,False
2012-10-01,0,15,3,2,25,False
2012-11-01,0,17,2,2,27,False
2012-12-01,1,15,3,1,23,False
2013-01-01,1,17,2,1,24,False
2013-02-01,0,16,2,2,25,False
2013-03-01,0,17,2,1,23,False
2013-04-01,1,17,3,1,25,False
2013-05-01,1,16,4,2,21,False
2013-06-01,0,12,3,1,23,False
2013-07-01,1,15,2,1,23,False
2013-08-01,0,17,4,1,24,False
2013-09-01,1,18,5,1,30,False
2013-10-01,0,17,4,1,26,False
2013-11-01,0,19,3,1,24,False
2013-12-01,1,19,2,1,25,False
2014-01-01,1,17,1,1,22,False
2014-02-01,1,15,3,2,25,False
2014-03-01,0,19,3,2,28,False
2014-04-01,0,15,3,2,22,False
2014-05-01,1,16,2,1,25,False
2014-06-01,1,15,3,2,21,False
2014-07-01,1,16,2,2,26,False
2014-08-01,0,16,5,1,34,False
2014-09-01,1,55,1,2,35,False
2014-10-01,0,17,2,1,27,False
2014-11-01,1,17,3,1,26,False
2014-12-01,1,19,3,2,22,False
2015-01-01,0,16,2,1,21,False
2015-02-01,1,16,1,2,26,False
2015-03-01,0,17,2,1,37,False
2015-04-01,0,20,3,2,38,False
2015-05-01,0,19,2,1,100,False
2015-06-01,1,19,2,1,44,False
2015-07-01,0,15,1,1,50,False
2015-08-01,0,13,3,1,34,False
2015-09-01,0,20,2,2,30,False
2015-10-01,0,15,4,2,24,False
2015-11-01,0,17,2,2,23,False
2015-12-01,0,31,1,1,20,False
2016-01-01,1,21,2,1,24,False
2016-02-01,0,21,1,1,23,False
2016-03-01,1,19,3,1,26,False
2016-04-01,0,46,1,1,18,False
2016-05-01,0,32,2,1,32,False
2016-06-01,0,22,3,1,26,False
2016-07-01,0,23,3,1,28,False
2016-08-01,2,18,3,1,18,False
2016-09-01,0,15,4,2,25,False
2016-10-01,0,19,4,2,24,False
2016-11-01,0,23,3,1,33,False
2016-12-01,1,28,3,1,19,False
2017-01-01,1,16,5,1,18,False
2017-02-01,0,16,3,2,21,False
2017-03-01,0,19,3,1,18,False
2017-04-01,1,16,4,0,19,False
2017-05-01,1,18,2,2,24,False
2017-06-01,0,14,3,1,19,False
2017-07-01,1,13,2,1,20,False
2017-08-01,0,20,4,1,18,False
2017-09-01,0,18,3,1,18,False
2017-10-01,1,20,3,2,16,False
2017-11-01,1,19,2,2,14,False
2017-12-01,1,19,3,1,14,False
2018-01-01,1,17,4,2,19,False
2018-02-01,0,15,5,1,17,False
2018-03-01,1,23,15,2,14,False
2018-04-01,1,17,10,1,16,False
2018-05-01,1,16,13,1,17,False
2018-06-01,1,16,4,1,17,False
2018-07-01,0,18,7,1,16,False
2018-08-01,0,13,6,1,17,False
2018-09-01,1,16,5,1,18,False
2018-10-01,0,14,2,2,20,False
2018-11-01,1,20,6,1,17,False
2018-12-01,0,30,4,2,16,False
2019-01-01,1,25,3,1,16,False
2019-02-01,1,21,5,1,19,False
2019-03-01,0,14,2,2,15,False
2019-04-01,1,19,5,1,19,False
2019-05-01,0,14,4,1,16,False
