date,Tal Golesworthy,Abigail Washburn,Atul Gawande,Drew Curtis,Iraola,isPartial
2004-01-01,0,11,17,23,17,False
2004-02-01,0,0,11,28,45,False
2004-03-01,0,0,28,14,14,False
2004-04-01,0,0,11,11,15,False
2004-05-01,0,0,10,19,13,False
2004-06-01,0,0,9,19,14,False
2004-07-01,0,0,10,20,13,False
2004-08-01,0,0,9,15,15,False
2004-09-01,0,0,17,8,21,False
2004-10-01,0,0,9,20,20,False
2004-11-01,0,0,11,9,26,False
2004-12-01,0,8,35,11,16,False
2005-01-01,0,7,21,17,23,False
2005-02-01,0,7,11,59,18,False
2005-03-01,0,0,10,21,14,False
2005-04-01,0,0,37,11,18,False
2005-05-01,0,0,24,14,20,False
2005-06-01,0,6,20,0,22,False
2005-07-01,0,0,9,17,19,False
2005-08-01,0,15,8,22,16,False
2005-09-01,0,25,7,11,22,False
2005-10-01,0,5,14,20,20,False
2005-11-01,0,18,22,10,20,False
2005-12-01,0,12,8,5,17,False
2006-01-01,0,10,10,13,13,False
2006-02-01,0,5,8,20,17,False
2006-03-01,0,8,9,6,28,False
2006-04-01,0,10,10,11,18,False
2006-05-01,0,13,10,6,18,False
2006-06-01,0,9,14,4,20,False
2006-07-01,0,7,4,16,24,False
2006-08-01,0,5,5,6,15,False
2006-09-01,0,4,18,8,13,False
2006-10-01,0,16,26,14,20,False
2006-11-01,0,6,9,7,19,False
2006-12-01,0,9,7,11,16,False
2007-01-01,0,10,6,9,21,False
2007-02-01,0,6,13,11,18,False
2007-03-01,0,5,9,9,29,False
2007-04-01,0,7,57,13,19,False
2007-05-01,0,8,48,9,19,False
2007-06-01,0,6,22,13,20,False
2007-07-01,0,7,20,11,17,False
2007-08-01,2,5,20,10,13,False
2007-09-01,0,3,20,8,24,False
2007-10-01,0,4,11,10,18,False
2007-11-01,0,3,12,10,16,False
2007-12-01,0,7,20,12,21,False
2008-01-01,0,4,21,11,14,False
2008-02-01,0,8,22,11,22,False
2008-03-01,0,7,11,10,19,False
2008-04-01,0,7,14,7,20,False
2008-05-01,0,16,19,6,20,False
2008-06-01,0,13,13,7,18,False
2008-07-01,0,20,21,6,11,False
2008-08-01,0,22,12,5,24,False
2008-09-01,0,17,14,7,27,False
2008-10-01,0,14,10,6,23,False
2008-11-01,0,6,10,6,23,False
2008-12-01,0,8,13,5,19,False
2009-01-01,0,11,17,4,23,False
2009-02-01,0,8,9,5,26,False
2009-03-01,0,6,12,5,18,False
2009-04-01,0,5,18,6,24,False
2009-05-01,0,9,15,5,30,False
2009-06-01,0,3,67,7,20,False
2009-07-01,0,4,36,4,20,False
2009-08-01,0,4,41,6,24,False
2009-09-01,0,5,30,7,29,False
2009-10-01,0,8,20,4,21,False
2009-11-01,0,4,25,6,27,False
2009-12-01,0,5,32,4,20,False
2010-01-01,0,7,61,5,26,False
2010-02-01,0,6,48,5,13,False
2010-03-01,0,5,31,4,20,False
2010-04-01,0,6,32,4,21,False
2010-05-01,0,4,26,4,18,False
2010-06-01,0,6,25,5,22,False
2010-07-01,0,4,31,5,15,False
2010-08-01,0,6,44,3,20,False
2010-09-01,0,11,30,6,24,False
2010-10-01,0,4,29,5,26,False
2010-11-01,0,5,22,8,32,False
2010-12-01,0,11,30,4,26,False
2011-01-01,1,36,48,5,21,False
2011-02-01,1,30,35,5,29,False
2011-03-01,0,22,26,1,34,False
2011-04-01,2,13,29,3,26,False
2011-05-01,0,12,27,3,24,False
2011-06-01,0,14,44,3,25,False
2011-07-01,0,10,22,7,21,False
2011-08-01,0,9,29,4,32,False
2011-09-01,1,8,30,3,26,False
2011-10-01,0,10,32,7,24,False
