date,Eduardo Paes,Nancy Lublin,Joe Smith,Brenda Romero,Iraola,isPartial
2004-01-01,3,3,26,0,4,False
2004-02-01,3,0,32,0,10,False
2004-03-01,0,0,30,0,3,False
2004-04-01,2,0,26,0,3,False
2004-05-01,2,0,24,0,3,False
2004-06-01,2,2,24,4,3,False
2004-07-01,5,0,39,2,3,False
2004-08-01,4,0,28,0,3,False
2004-09-01,2,0,22,0,5,False
2004-10-01,4,0,22,0,5,False
2004-11-01,2,0,26,2,6,False
2004-12-01,2,2,24,0,4,False
2005-01-01,2,0,33,0,5,False
2005-02-01,0,0,33,2,4,False
2005-03-01,0,0,30,0,3,False
2005-04-01,2,0,29,0,4,False
2005-05-01,2,0,17,1,5,False
2005-06-01,3,1,28,0,5,False
2005-07-01,1,0,25,0,4,False
2005-08-01,2,1,26,0,4,False
2005-09-01,2,0,21,0,5,False
2005-10-01,2,0,26,2,5,False
2005-11-01,2,0,26,1,5,False
2005-12-01,2,0,26,1,4,False
2006-01-01,1,0,30,2,3,False
2006-02-01,2,1,23,0,4,False
2006-03-01,3,0,28,1,6,False
2006-04-01,2,0,20,1,4,False
2006-05-01,1,0,18,0,4,False
2006-06-01,1,0,20,1,5,False
2006-07-01,2,0,20,1,5,False
2006-08-01,3,1,26,1,3,False
2006-09-01,8,0,21,1,3,False
2006-10-01,6,1,20,1,5,False
2006-11-01,1,0,20,0,4,False
2006-12-01,1,0,26,0,4,False
2007-01-01,2,0,20,1,5,False
2007-02-01,2,0,27,0,4,False
2007-03-01,1,1,26,1,7,False
2007-04-01,1,1,26,1,4,False
2007-05-01,1,1,32,1,4,False
2007-06-01,1,1,20,0,5,False
2007-07-01,1,0,30,0,4,False
2007-08-01,2,0,18,1,3,False
2007-09-01,1,0,17,0,5,False
2007-10-01,2,0,21,0,4,False
2007-11-01,2,0,20,0,4,False
2007-12-01,1,0,16,1,5,False
2008-01-01,1,1,21,0,3,False
2008-02-01,1,0,31,1,5,False
2008-03-01,1,1,20,0,4,False
2008-04-01,1,0,22,0,5,False
2008-05-01,1,0,25,0,5,False
2008-06-01,2,0,19,0,4,False
2008-07-01,3,0,24,0,3,False
2008-08-01,6,0,20,1,6,False
2008-09-01,15,0,18,0,6,False
2008-10-01,50,0,26,1,5,False
2008-11-01,9,0,25,1,5,False
2008-12-01,5,0,21,1,4,False
2009-01-01,9,1,21,1,5,False
2009-02-01,5,1,30,0,6,False
2009-03-01,3,0,30,0,4,False
2009-04-01,5,0,26,0,5,False
2009-05-01,4,0,23,1,7,False
2009-06-01,4,1,18,1,5,False
2009-07-01,5,0,18,0,4,False
2009-08-01,3,1,23,1,6,False
2009-09-01,5,0,17,0,7,False
2009-10-01,3,0,17,1,5,False
2009-11-01,4,0,17,1,6,False
2009-12-01,3,0,16,1,5,False
2010-01-01,2,0,18,0,6,False
2010-02-01,2,0,18,1,3,False
2010-03-01,3,0,17,1,4,False
2010-04-01,7,0,20,0,5,False
2010-05-01,3,0,17,1,4,False
2010-06-01,3,0,18,1,5,False
2010-07-01,2,1,20,1,3,False
2010-08-01,3,1,19,1,5,False
2010-09-01,3,0,20,1,5,False
2010-10-01,3,0,17,1,6,False
2010-11-01,4,0,17,0,7,False
2010-12-01,3,0,66,0,6,False
2011-01-01,3,0,22,1,5,False
2011-02-01,4,0,20,0,6,False
2011-03-01,4,0,17,0,8,False
2011-04-01,3,0,22,0,6,False
2011-05-01,3,0,17,1,5,False
2011-06-01,2,0,19,1,6,False
2011-07-01,2,0,15,1,5,False
2011-08-01,2,0,16,1,7,False
2011-09-01,2,0,17,1,6,False
2011-10-01,3,0,17,1,5,False
2011-11-01,2,0,20,1,5,False
2011-12-01,2,0,19,2,5,False
2012-01-01,3,0,24,1,4,False
2012-02-01,3,0,19,0,5,False
2012-03-01,4,0,20,1,9,False
2012-04-01,3,0,18,1,6,False
2012-05-01,4,0,22,1,7,False
2012-06-01,4,0,19,0,5,False
2012-07-01,7,0,20,0,4,False
2012-08-01,15,0,17,1,4,False
2012-09-01,19,0,18,0,4,False
2012-10-01,29,0,17,0,4,False
2012-11-01,5,0,18,0,5,False
2012-12-01,4,0,18,0,4,False
2013-01-01,4,1,25,1,4,False
2013-02-01,3,0,24,0,4,False
2013-03-01,3,0,21,1,4,False
2013-04-01,3,0,19,1,4,False
2013-05-01,10,0,17,1,4,False
2013-06-01,11,0,17,1,4,False
2013-07-01,6,0,18,1,4,False
2013-08-01,5,0,16,0,4,False
2013-09-01,4,0,17,0,5,False
2013-10-01,6,0,16,0,4,False
2013-11-01,3,0,19,1,4,False
2013-12-01,4,0,17,1,4,False
2014-01-01,2,0,20,1,4,False
2014-02-01,5,0,17,1,4,False
2014-03-01,7,0,15,1,5,False
2014-04-01,4,0,18,1,4,False
2014-05-01,4,0,17,1,4,False
2014-06-01,3,0,15,1,4,False
2014-07-01,6,0,18,1,4,False
2014-08-01,5,0,17,1,6,False
2014-09-01,2,0,16,1,6,False
2014-10-01,4,0,17,1,5,False
2014-11-01,2,0,18,0,4,False
2014-12-01,2,0,20,0,4,False
2015-01-01,2,0,18,1,4,False
2015-02-01,8,0,17,1,4,False
2015-03-01,3,0,16,1,6,False
2015-04-01,2,0,17,1,6,False
2015-05-01,3,0,16,1,17,False
2015-06-01,1,0,17,1,8,False
2015-07-01,3,0,20,1,9,False
2015-08-01,2,0,17,1,6,False
2015-09-01,3,0,18,1,5,False
2015-10-01,3,0,16,1,4,False
2015-11-01,5,1,16,0,4,False
2015-12-01,4,0,18,0,3,False
2016-01-01,4,0,17,0,4,False
2016-02-01,3,0,15,1,4,False
2016-03-01,36,0,16,1,4,False
2016-04-01,7,0,16,1,3,False
2016-05-01,5,0,17,1,5,False
2016-06-01,5,0,24,1,4,False
2016-07-01,16,0,17,0,5,False
2016-08-01,26,0,22,1,3,False
2016-09-01,7,0,15,0,4,False
2016-10-01,7,0,19,0,4,False
2016-11-01,7,0,17,1,6,False
2016-12-01,5,0,51,0,3,False
2017-01-01,2,0,22,1,3,False
2017-02-01,1,0,21,1,4,False
2017-03-01,2,0,17,0,3,False
2017-04-01,3,0,16,1,3,False
