date,Mary Robinson,Robin Morgan,Samuel Cohen,Taiye Selasi,Iraola,isPartial
2004-01-01,74,40,10,0,15,False
2004-02-01,71,20,10,0,40,False
2004-03-01,87,31,13,0,12,False
2004-04-01,100,24,10,0,13,False
2004-05-01,47,11,8,0,11,False
2004-06-01,47,17,8,0,12,False
2004-07-01,61,15,0,0,12,False
2004-08-01,32,19,8,0,14,False
2004-09-01,40,12,0,0,19,False
2004-10-01,81,30,8,0,18,False
2004-11-01,58,15,8,0,23,False
2004-12-01,52,16,7,0,14,False
2005-01-01,58,33,8,0,21,False
2005-02-01,83,22,7,0,16,False
2005-03-01,75,18,5,0,13,False
2005-04-01,59,12,6,0,16,False
2005-05-01,59,22,5,0,18,False
2005-06-01,67,5,5,0,20,False
2005-07-01,33,15,16,0,17,False
2005-08-01,30,12,5,0,14,False
2005-09-01,45,18,5,0,19,False
2005-10-01,59,11,9,0,18,False
2005-11-01,69,15,5,0,18,False
2005-12-01,46,10,9,0,15,False
2006-01-01,59,23,6,0,12,False
2006-02-01,66,16,11,0,15,False
2006-03-01,60,16,7,0,25,False
2006-04-01,47,26,5,0,16,False
2006-05-01,64,11,8,0,16,False
2006-06-01,39,12,5,0,18,False
2006-07-01,26,17,7,0,21,False
2006-08-01,34,10,5,0,13,False
2006-09-01,51,16,6,0,12,False
2006-10-01,45,14,6,0,18,False
2006-11-01,33,16,8,0,17,False
2006-12-01,26,11,7,0,15,False
2007-01-01,36,13,8,0,18,False
2007-02-01,42,12,3,0,16,False
2007-03-01,41,7,5,0,26,False
2007-04-01,39,10,6,0,17,False
2007-05-01,41,14,5,0,17,False
2007-06-01,32,13,2,0,18,False
2007-07-01,32,9,6,0,15,False
2007-08-01,25,14,3,0,11,False
2007-09-01,33,9,2,0,22,False
2007-10-01,45,15,5,0,16,False
2007-11-01,31,14,6,0,14,False
2007-12-01,29,11,6,0,19,False
2008-01-01,29,11,3,0,12,False
2008-02-01,38,56,4,0,19,False
2008-03-01,34,28,7,0,17,False
2008-04-01,33,18,4,0,18,False
2008-05-01,32,16,7,0,18,False
2008-06-01,26,13,5,0,16,False
2008-07-01,24,9,3,0,10,False
2008-08-01,23,18,3,0,22,False
2008-09-01,28,14,4,0,24,False
2008-10-01,26,11,5,0,20,False
2008-11-01,29,8,2,0,21,False
2008-12-01,29,14,5,0,17,False
2009-01-01,37,10,4,0,20,False
2009-02-01,36,16,3,0,23,False
2009-03-01,25,14,5,0,16,False
2009-04-01,31,11,4,0,21,False
2009-05-01,29,12,4,0,26,False
2009-06-01,25,10,3,0,18,False
2009-07-01,23,8,2,0,18,False
2009-08-01,68,11,4,0,22,False
2009-09-01,35,5,5,0,26,False
2009-10-01,40,10,5,0,19,False
2009-11-01,32,8,2,0,24,False
2009-12-01,32,12,4,0,18,False
2010-01-01,33,13,4,1,23,False
2010-02-01,30,14,3,0,12,False
2010-03-01,31,10,3,0,17,False
2010-04-01,30,10,4,0,18,False
2010-05-01,31,15,2,0,16,False
2010-06-01,19,13,2,1,20,False
2010-07-01,20,15,4,1,14,False
2010-08-01,22,9,4,0,18,False
2010-09-01,29,10,4,0,21,False
2010-10-01,32,13,2,0,23,False
2010-11-01,29,13,5,0,28,False
2010-12-01,21,9,14,0,23,False
2011-01-01,28,9,5,0,19,False
2011-02-01,26,10,2,0,25,False
2011-03-01,24,9,4,0,31,False
2011-04-01,25,10,4,1,23,False
2011-05-01,35,11,3,0,21,False
2011-06-01,25,12,3,1,22,False
2011-07-01,26,10,4,0,18,False
2011-08-01,27,13,4,1,28,False
2011-09-01,22,9,3,1,23,False
2011-10-01,30,11,3,1,21,False
2011-11-01,27,10,4,1,19,False
2011-12-01,21,14,2,0,18,False
2012-01-01,24,10,2,1,17,False
2012-02-01,22,12,2,1,20,False
2012-03-01,23,13,3,2,36,False
2012-04-01,20,14,4,1,23,False
2012-05-01,22,14,5,0,27,False
2012-06-01,19,12,3,1,21,False
2012-07-01,21,15,3,0,15,False
2012-08-01,26,20,4,0,16,False
2012-09-01,42,17,3,1,17,False
2012-10-01,26,12,4,0,17,False
2012-11-01,26,11,3,1,18,False
2012-12-01,21,13,4,1,16,False
2013-01-01,26,13,4,1,16,False
2013-02-01,24,14,3,3,17,False
2013-03-01,31,14,3,16,16,False
2013-04-01,29,15,2,15,17,False
2013-05-01,25,14,4,8,14,False
2013-06-01,20,12,4,5,16,False
2013-07-01,25,14,3,5,16,False
2013-08-01,29,13,3,5,16,False
2013-09-01,23,12,3,6,20,False
2013-10-01,21,13,5,6,17,False
2013-11-01,21,13,3,16,16,False
2013-12-01,27,12,2,12,16,False
