date,Bahia Shehab,Aris Venetikidis,Vicki Arroyo,Amy Cuddy,Iraola,isPartial
2017-10-01,1,0,0,79,16,False
2017-11-01,0,0,1,50,14,False
2017-12-01,0,0,0,35,14,False
2018-01-01,0,0,0,40,19,False
2018-02-01,0,0,0,37,16,False
2018-03-01,0,0,0,41,13,False
2018-04-01,0,0,0,36,16,False
2018-05-01,0,0,0,35,17,False
2018-06-01,0,0,0,31,17,False
2018-07-01,0,0,0,28,15,False
2018-08-01,0,0,1,27,17,False
2018-09-01,1,0,0,32,18,False
2018-10-01,0,0,1,35,20,False
2018-11-01,0,0,0,29,17,False
2018-12-01,0,0,0,24,16,False
2019-01-01,1,0,0,33,16,False
2019-02-01,0,0,0,29,18,False
2019-03-01,0,0,0,27,15,False
2019-04-01,0,0,0,33,19,False
2019-05-01,1,0,0,28,15,False
2019-06-01,1,0,0,27,17,False
2019-07-01,1,0,0,21,24,False
2019-08-01,0,0,0,23,19,False
2019-09-01,1,0,1,34,17,False
2019-10-01,1,0,1,28,16,False
2019-11-01,1,0,0,26,16,False
2019-12-01,0,0,0,18,18,False
2020-01-01,0,0,0,26,28,False
2020-02-01,0,0,0,25,53,False
2020-03-01,0,0,1,21,21,False
2020-04-01,0,0,0,22,17,False
2020-05-01,0,0,0,23,13,False
2020-06-01,0,0,0,20,16,False
2020-07-01,0,0,0,19,33,False
2020-08-01,0,0,0,19,26,False
2020-09-01,0,0,0,24,19,False
2020-10-01,0,0,0,19,21,False
