date,Steven Johnson,Charles Leadbeater,Pilobolus,Anna Deavere Smith,Iraola,isPartial
2004-01-01,45,9,9,4,4,False
2004-02-01,34,6,53,15,11,False
2004-03-01,47,5,18,5,5,False
2004-04-01,47,4,14,6,10,False
2004-05-01,50,0,11,4,4,False
2004-06-01,53,4,16,7,10,False
2004-07-01,22,0,4,11,6,False
2004-08-01,39,0,3,5,9,False
2004-09-01,36,3,11,5,14,False
2004-10-01,43,3,21,6,10,False
2004-11-01,53,3,5,0,10,False
2004-12-01,40,6,18,7,10,False
2005-01-01,50,5,13,0,8,False
2005-02-01,55,5,12,11,3,False
2005-03-01,32,2,15,5,3,False
2005-04-01,52,5,14,4,4,False
2005-05-01,49,2,9,2,10,False
2005-06-01,52,5,9,0,8,False
2005-07-01,34,2,26,5,6,False
2005-08-01,46,2,7,4,3,False
2005-09-01,48,3,11,2,13,False
2005-10-01,63,2,14,14,10,False
2005-11-01,46,3,14,3,9,False
2005-12-01,39,0,9,4,7,False
2006-01-01,43,0,12,5,5,False
2006-02-01,39,2,8,3,8,False
2006-03-01,50,0,11,5,9,False
2006-04-01,39,0,10,6,9,False
2006-05-01,37,3,11,5,10,False
2006-06-01,42,2,10,4,8,False
2006-07-01,25,3,12,1,8,False
2006-08-01,35,2,6,4,4,False
2006-09-01,39,2,9,3,6,False
2006-10-01,50,1,11,5,5,False
2006-11-01,39,1,6,4,10,False
2006-12-01,40,1,10,2,9,False
2007-01-01,38,1,8,2,6,False
2007-02-01,33,1,36,4,11,False
2007-03-01,36,4,23,3,8,False
2007-04-01,36,2,13,3,7,False
2007-05-01,42,0,19,4,6,False
2007-06-01,27,1,15,1,6,False
2007-07-01,35,1,14,1,8,False
2007-08-01,40,2,12,3,8,False
2007-09-01,43,0,19,2,7,False
2007-10-01,37,2,26,3,7,False
2007-11-01,43,1,25,3,6,False
2007-12-01,33,1,12,1,6,False
2008-01-01,35,1,15,5,8,False
2008-02-01,30,1,15,1,6,False
2008-03-01,31,3,8,5,8,False
2008-04-01,36,2,9,2,9,False
2008-05-01,34,1,10,2,8,False
2008-06-01,34,3,10,3,6,False
2008-07-01,33,2,19,1,4,False
2008-08-01,40,2,41,0,11,False
2008-09-01,45,2,33,4,11,False
2008-10-01,33,1,21,5,7,False
2008-11-01,36,2,21,2,7,False
2008-12-01,38,1,18,2,8,False
2009-01-01,41,1,19,2,9,False
2009-02-01,43,1,15,2,10,False
2009-03-01,40,1,12,2,8,False
2009-04-01,41,1,15,3,9,False
2009-05-01,38,1,23,2,10,False
2009-06-01,37,3,12,3,10,False
2009-07-01,37,2,17,4,9,False
2009-08-01,44,1,10,5,7,False
2009-09-01,46,1,28,3,12,False
2009-10-01,47,1,28,9,11,False
2009-11-01,48,2,11,13,10,False
2009-12-01,43,1,7,7,8,False
2010-01-01,45,2,9,3,11,False
2010-02-01,48,2,16,3,8,False
2010-03-01,47,2,16,4,6,False
2010-04-01,50,2,11,4,10,False
2010-05-01,44,2,11,4,8,False
2010-06-01,54,1,10,3,6,False
2010-07-01,46,2,11,1,5,False
2010-08-01,50,2,6,2,7,False
2010-09-01,57,1,10,3,10,False
2010-10-01,60,1,10,2,9,False
2010-11-01,62,1,9,2,10,False
2010-12-01,52,1,5,3,12,False
2011-01-01,59,1,10,4,6,False
2011-02-01,54,2,8,6,9,False
2011-03-01,53,2,7,5,13,False
2011-04-01,51,1,20,4,10,False
2011-05-01,46,2,37,5,12,False
2011-06-01,50,1,13,7,11,False
2011-07-01,55,1,30,4,6,False
2011-08-01,52,1,15,3,11,False
2011-09-01,54,1,9,4,12,False
2011-10-01,56,1,11,2,9,False
2011-11-01,81,1,13,2,7,False
2011-12-01,50,1,13,1,8,False
2012-01-01,48,1,11,8,7,False
2012-02-01,59,2,13,4,9,False
2012-03-01,61,1,10,2,12,False
2012-04-01,55,1,9,4,10,False
2012-05-01,66,1,7,2,11,False
2012-06-01,56,1,6,3,8,False
2012-07-01,56,1,8,3,7,False
2012-08-01,68,1,7,2,6,False
2012-09-01,62,1,8,3,7,False
2012-10-01,61,1,9,1,6,False
2012-11-01,54,1,7,2,8,False
2012-12-01,46,1,8,2,7,False
2013-01-01,56,1,13,2,8,False
2013-02-01,56,1,16,2,7,False
2013-03-01,55,1,17,3,6,False
2013-04-01,56,1,11,4,6,False
2013-05-01,52,1,9,4,6,False
2013-06-01,50,1,6,3,6,False
2013-07-01,58,0,9,3,7,False
2013-08-01,55,1,9,2,6,False
2013-09-01,59,1,10,3,9,False
2013-10-01,56,1,8,2,7,False
2013-11-01,56,1,6,3,6,False
2013-12-01,53,0,6,2,7,False
2014-01-01,53,1,8,1,7,False
2014-02-01,52,1,6,3,6,False
2014-03-01,51,1,6,2,9,False
2014-04-01,61,1,7,3,6,False
2014-05-01,53,1,4,4,7,False
2014-06-01,49,0,4,3,5,False
2014-07-01,54,0,6,2,7,False
2014-08-01,56,1,4,1,9,False
2014-09-01,56,1,4,3,11,False
2014-10-01,61,1,6,5,7,False
2014-11-01,61,0,6,1,7,False
2014-12-01,71,0,4,2,7,False
2015-01-01,52,1,3,2,6,False
2015-02-01,57,1,8,2,7,False
2015-03-01,60,1,4,4,11,False
2015-04-01,50,1,5,3,12,False
2015-05-01,46,1,5,3,29,False
2015-06-01,53,1,3,3,11,False
2015-07-01,51,1,2,4,14,False
2015-08-01,50,1,2,2,10,False
2015-09-01,71,1,3,2,8,False
2015-10-01,61,1,3,1,7,False
2015-11-01,54,0,4,3,6,False
2015-12-01,51,1,3,3,7,False
2016-01-01,44,1,3,4,6,False
2016-02-01,39,1,3,4,7,False
2016-03-01,62,1,4,2,7,False
2016-04-01,53,0,4,3,5,False
2016-05-01,50,0,3,2,8,False
2016-06-01,46,1,2,2,7,False
2016-07-01,39,1,1,2,8,False
2016-08-01,43,1,2,2,6,False
2016-09-01,45,1,4,3,6,False
2016-10-01,44,1,3,3,8,False
2016-11-01,53,0,3,4,8,False
2016-12-01,40,1,4,3,6,False
2017-01-01,38,1,4,2,4,False
2017-02-01,40,0,3,2,6,False
2017-03-01,46,1,3,2,5,False
2017-04-01,47,0,3,3,5,False
2017-05-01,50,0,4,2,5,False
2017-06-01,39,0,2,2,4,False
2017-07-01,38,0,2,2,5,False
2017-08-01,40,0,2,1,5,False
2017-09-01,49,1,2,2,4,False
2017-10-01,48,1,3,2,5,False
2017-11-01,51,0,2,1,5,False
2017-12-01,42,0,3,2,4,False
2018-01-01,41,0,3,2,5,False
2018-02-01,100,1,3,24,4,False
2018-03-01,50,0,2,7,5,False
2018-04-01,50,0,1,4,4,False
2018-05-01,47,1,2,2,5,False
2018-06-01,43,1,2,2,4,False
2018-07-01,43,0,2,1,5,False
2018-08-01,43,1,1,1,5,False
2018-09-01,48,0,2,2,5,False
2018-10-01,58,0,3,2,5,False
2018-11-01,47,0,3,2,4,False
2018-12-01,40,0,2,2,5,False
2019-01-01,44,0,2,2,5,False
2019-02-01,47,0,3,2,5,False
2019-03-01,48,0,3,3,4,False
2019-04-01,57,1,2,3,5,False
2019-05-01,48,0,2,3,5,False
2019-06-01,51,0,2,2,5,False
2019-07-01,43,1,1,2,6,False
2019-08-01,44,0,1,1,6,False
2019-09-01,47,1,2,2,5,False
2019-10-01,46,0,2,3,4,False
2019-11-01,50,0,2,2,5,False
2019-12-01,50,0,1,1,5,False
2020-01-01,58,0,2,1,7,False
2020-02-01,44,0,2,2,14,False
2020-03-01,43,0,2,1,7,False
2020-04-01,41,0,2,2,4,False
2020-05-01,38,1,1,1,4,False
2020-06-01,39,0,1,7,5,False
2020-07-01,41,0,1,2,10,False
2020-08-01,41,0,1,2,7,False
2020-09-01,40,0,1,2,7,False
2020-10-01,41,0,1,1,6,False
2020-11-01,45,0,2,0,7,True
