date,David Binder,Daphne Bavelier,Amos Winter,Sleepy Man Banjo Boys,Iraola,isPartial
2004-01-01,20,15,35,0,23,False
2004-02-01,30,0,30,0,60,False
2004-03-01,0,0,37,0,18,False
2004-04-01,22,0,48,0,19,False
2004-05-01,12,0,33,0,17,False
2004-06-01,12,0,45,0,19,False
2004-07-01,13,0,20,0,17,False
2004-08-01,12,0,18,0,20,False
2004-09-01,17,11,22,0,28,False
2004-10-01,0,11,38,0,26,False
2004-11-01,17,0,34,0,34,False
2004-12-01,21,11,39,0,21,False
2005-01-01,9,0,34,0,31,False
2005-02-01,20,0,20,0,24,False
2005-03-01,8,0,22,0,19,False
2005-04-01,0,0,21,0,24,False
2005-05-01,16,0,37,0,27,False
2005-06-01,20,0,30,0,29,False
2005-07-01,8,8,25,0,25,False
2005-08-01,12,16,24,0,21,False
2005-09-01,11,0,19,0,29,False
2005-10-01,7,7,23,0,27,False
2005-11-01,11,0,22,0,27,False
2005-12-01,0,0,55,0,22,False
2006-01-01,8,0,23,0,17,False
2006-02-01,14,0,20,0,22,False
2006-03-01,9,5,19,0,38,False
2006-04-01,11,0,19,0,24,False
2006-05-01,15,0,28,0,24,False
2006-06-01,5,0,23,0,27,False
2006-07-01,7,0,23,0,32,False
2006-08-01,7,0,24,0,20,False
2006-09-01,14,5,19,0,17,False
2006-10-01,16,0,21,0,27,False
2006-11-01,7,0,21,0,25,False
2006-12-01,4,0,23,0,22,False
2007-01-01,7,0,26,0,27,False
2007-02-01,6,6,17,0,24,False
2007-03-01,3,7,16,0,39,False
2007-04-01,6,4,22,0,25,False
2007-05-01,6,0,14,0,25,False
2007-06-01,3,3,23,0,27,False
2007-07-01,5,3,23,0,22,False
2007-08-01,8,0,24,0,17,False
2007-09-01,7,0,26,0,32,False
2007-10-01,7,3,17,0,24,False
2007-11-01,6,4,28,0,21,False
2007-12-01,5,0,26,0,28,False
2008-01-01,5,2,26,0,18,False
2008-02-01,7,0,25,0,29,False
2008-03-01,5,2,20,0,25,False
2008-04-01,7,0,15,0,27,False
2008-05-01,7,2,14,0,27,False
2008-06-01,6,0,16,0,24,False
2008-07-01,8,0,17,0,15,False
2008-08-01,4,0,18,0,32,False
2008-09-01,6,2,14,0,35,False
2008-10-01,7,0,16,0,30,False
2008-11-01,8,2,24,0,31,False
2008-12-01,7,0,30,0,25,False
2009-01-01,7,0,22,0,30,False
2009-02-01,4,0,23,0,35,False
2009-03-01,6,3,18,0,24,False
2009-04-01,6,2,19,0,32,False
2009-05-01,4,0,24,0,39,False
2009-06-01,8,0,20,0,27,False
2009-07-01,3,0,18,0,26,False
2009-08-01,6,0,16,0,32,False
2009-09-01,3,0,17,0,38,False
2009-10-01,3,0,27,0,28,False
2009-11-01,3,1,32,0,36,False
2009-12-01,6,1,39,0,27,False
2010-01-01,2,1,29,0,35,False
2010-02-01,6,0,26,0,18,False
2010-03-01,6,3,22,0,26,False
2010-04-01,8,0,20,0,27,False
2010-05-01,3,1,25,0,24,False
2010-06-01,4,1,24,0,29,False
2010-07-01,6,0,16,0,20,False
2010-08-01,8,0,21,0,27,False
2010-09-01,2,2,20,1,32,False
2010-10-01,6,1,21,0,34,False
2010-11-01,3,2,26,0,42,False
2010-12-01,5,1,34,1,34,False
2011-01-01,4,1,22,0,28,False
2011-02-01,4,1,18,0,38,False
2011-03-01,4,1,17,0,46,False
2011-04-01,6,2,15,1,34,False
2011-05-01,3,0,16,9,31,False
2011-06-01,6,1,16,17,33,False
2011-07-01,4,1,10,39,28,False
2011-08-01,3,2,13,21,42,False
2011-09-01,3,1,20,8,34,False
2011-10-01,3,2,19,6,32,False
2011-11-01,3,1,25,8,28,False
2011-12-01,3,1,18,9,27,False
