date,Fredy Peccerelli,Tasso Azevedo,Navi Radjou,Robert Swan,Iraola,isPartial
2004-01-01,0,0,0,23,23,False
2004-02-01,15,0,0,30,60,False
2004-03-01,0,0,0,37,18,False
2004-04-01,0,0,0,19,19,False
2004-05-01,0,0,0,21,17,False
2004-06-01,0,0,0,12,19,False
2004-07-01,0,0,0,13,17,False
2004-08-01,12,0,0,24,20,False
2004-09-01,0,0,0,33,28,False
2004-10-01,0,0,0,34,26,False
2004-11-01,0,0,11,23,34,False
2004-12-01,0,0,0,28,21,False
2005-01-01,0,0,0,28,31,False
2005-02-01,0,10,10,29,24,False
2005-03-01,0,0,0,22,19,False
2005-04-01,0,9,0,18,24,False
2005-05-01,0,0,0,16,27,False
2005-06-01,0,0,0,30,29,False
2005-07-01,0,0,0,37,25,False
2005-08-01,0,0,0,24,21,False
2005-09-01,0,0,0,24,29,False
2005-10-01,0,0,0,17,27,False
2005-11-01,0,0,0,20,27,False
2005-12-01,0,0,0,33,22,False
2006-01-01,6,6,6,25,17,False
2006-02-01,0,0,6,14,22,False
2006-03-01,0,5,0,24,38,False
2006-04-01,6,0,0,11,24,False
2006-05-01,0,0,0,10,24,False
2006-06-01,0,5,0,27,27,False
2006-07-01,0,0,0,21,32,False
2006-08-01,0,0,0,18,20,False
2006-09-01,0,0,0,14,17,False
2006-10-01,0,9,0,21,27,False
2006-11-01,0,0,0,15,25,False
2006-12-01,0,0,0,7,22,False
2007-01-01,0,0,4,21,27,False
2007-02-01,8,0,0,24,24,False
2007-03-01,0,3,0,17,39,False
2007-04-01,0,4,4,8,25,False
2007-05-01,0,6,0,7,25,False
2007-06-01,0,0,0,8,27,False
2007-07-01,0,0,0,14,22,False
2007-08-01,0,0,3,12,17,False
2007-09-01,0,3,3,15,32,False
2007-10-01,0,3,0,13,24,False
2007-11-01,0,0,0,16,21,False
2007-12-01,0,3,0,24,28,False
2008-01-01,2,0,0,14,18,False
2008-02-01,2,2,0,14,29,False
2008-03-01,2,2,0,23,25,False
2008-04-01,0,2,0,21,27,False
2008-05-01,0,2,2,23,27,False
2008-06-01,2,0,0,15,24,False
2008-07-01,2,0,0,16,15,False
2008-08-01,0,2,0,23,32,False
2008-09-01,0,4,2,31,35,False
2008-10-01,0,0,2,27,30,False
2008-11-01,0,0,0,69,31,False
2008-12-01,0,0,0,83,25,False
2009-01-01,0,0,2,98,30,False
2009-02-01,2,3,0,62,35,False
2009-03-01,0,2,2,62,24,False
2009-04-01,0,2,2,60,32,False
2009-05-01,0,0,0,43,39,False
2009-06-01,2,2,0,58,27,False
2009-07-01,0,2,0,52,26,False
2009-08-01,0,3,0,57,32,False
2009-09-01,2,0,0,42,38,False
2009-10-01,1,1,0,46,28,False
2009-11-01,1,0,1,64,36,False
2009-12-01,0,0,0,74,27,False
2010-01-01,0,1,0,52,35,False
2010-02-01,0,0,0,36,18,False
2010-03-01,0,0,0,37,26,False
2010-04-01,1,1,1,35,27,False
2010-05-01,0,1,0,34,24,False
2010-06-01,0,2,0,36,29,False
2010-07-01,0,1,0,54,20,False
2010-08-01,0,1,1,38,27,False
2010-09-01,0,1,1,30,32,False
2010-10-01,1,1,0,23,34,False
2010-11-01,0,1,1,22,42,False
2010-12-01,0,1,2,41,34,False
2011-01-01,0,1,0,55,28,False
2011-02-01,0,1,0,37,38,False
2011-03-01,0,2,0,31,46,False
2011-04-01,0,2,0,27,34,False
2011-05-01,0,0,0,24,31,False
2011-06-01,0,2,2,27,33,False
2011-07-01,0,1,1,21,28,False
2011-08-01,0,1,0,19,42,False
2011-09-01,1,0,0,22,34,False
2011-10-01,0,1,0,18,32,False
2011-11-01,0,0,1,39,28,False
2011-12-01,0,1,0,37,27,False
2012-01-01,0,0,0,30,25,False
2012-02-01,0,2,1,23,30,False
2012-03-01,0,1,1,23,54,False
2012-04-01,1,2,1,19,34,False
2012-05-01,1,1,1,18,41,False
2012-06-01,1,1,1,17,32,False
2012-07-01,1,1,0,22,23,False
2012-08-01,0,1,0,29,24,False
2012-09-01,1,1,1,19,26,False
2012-10-01,0,0,1,21,25,False
2012-11-01,0,1,1,24,27,False
2012-12-01,0,1,1,23,23,False
2013-01-01,1,1,0,21,24,False
2013-02-01,0,0,1,16,25,False
2013-03-01,0,0,1,19,23,False
2013-04-01,0,0,1,18,25,False
2013-05-01,1,1,1,17,21,False
2013-06-01,1,1,1,14,23,False
2013-07-01,0,0,1,16,23,False
2013-08-01,0,1,1,14,24,False
2013-09-01,1,0,2,13,30,False
2013-10-01,0,1,1,14,26,False
2013-11-01,0,1,1,15,24,False
2013-12-01,0,1,1,14,25,False
2014-01-01,0,1,2,15,22,False
2014-02-01,0,1,1,14,25,False
2014-03-01,0,1,1,16,28,False
2014-04-01,1,2,1,13,22,False
2014-05-01,0,1,1,15,25,False
2014-06-01,0,1,1,13,21,False
2014-07-01,0,0,1,14,26,False
2014-08-01,0,1,1,15,34,False
2014-09-01,0,1,1,13,35,False
2014-10-01,0,1,1,14,27,False
2014-11-01,0,1,1,12,26,False
2014-12-01,0,1,2,14,22,False
2015-01-01,1,1,2,19,21,False
2015-02-01,1,1,2,19,26,False
2015-03-01,0,1,3,13,37,False
2015-04-01,0,1,1,15,38,False
2015-05-01,0,0,1,10,100,False
2015-06-01,0,1,1,13,44,False
2015-07-01,0,0,2,12,50,False
2015-08-01,0,0,1,12,34,False
2015-09-01,0,0,2,12,30,False
2015-10-01,0,0,3,14,24,False
2015-11-01,0,0,1,13,23,False
2015-12-01,0,0,1,13,20,False
2016-01-01,0,0,1,12,24,False
2016-02-01,0,0,1,14,23,False
2016-03-01,0,0,1,12,26,False
2016-04-01,1,1,1,14,18,False
2016-05-01,0,0,2,14,32,False
2016-06-01,0,0,0,14,26,False
2016-07-01,1,0,1,13,28,False
2016-08-01,1,1,0,28,18,False
2016-09-01,1,1,1,17,25,False
2016-10-01,0,0,1,12,24,False
2016-11-01,0,0,2,10,33,False
2016-12-01,0,0,0,8,19,False
2017-01-01,0,0,1,12,18,False
2017-02-01,0,0,1,15,21,False
2017-03-01,0,1,1,12,18,False
2017-04-01,0,0,0,13,19,False
2017-05-01,0,1,1,11,24,False
2017-06-01,0,0,1,11,19,False
2017-07-01,1,0,1,10,20,False
2017-08-01,0,1,0,10,18,False
2017-09-01,0,0,1,10,18,False
2017-10-01,0,0,0,12,16,False
2017-11-01,0,1,0,11,14,False
2017-12-01,0,0,1,14,14,False
2018-01-01,0,1,0,10,19,False
2018-02-01,0,0,0,11,17,False
2018-03-01,0,0,1,11,14,False
2018-04-01,0,0,1,12,16,False
2018-05-01,0,1,1,10,17,False
2018-06-01,0,1,1,14,17,False
2018-07-01,0,0,0,15,16,False
2018-08-01,0,1,0,12,17,False
2018-09-01,0,1,1,12,18,False
2018-10-01,0,0,1,11,20,False
2018-11-01,0,1,0,10,17,False
2018-12-01,0,0,1,13,16,False
2019-01-01,0,0,1,17,16,False
2019-02-01,0,0,1,15,19,False
2019-03-01,0,1,0,11,15,False
2019-04-01,0,1,0,14,19,False
2019-05-01,0,1,1,12,16,False
2019-06-01,0,1,0,12,17,False
2019-07-01,0,1,1,13,24,False
2019-08-01,0,2,1,12,20,False
2019-09-01,0,1,1,9,17,False
2019-10-01,0,1,1,12,16,False
2019-11-01,0,1,1,12,16,False
2019-12-01,0,1,0,11,19,False
2020-01-01,0,0,1,12,28,False
2020-02-01,0,0,0,8,54,False
2020-03-01,0,1,0,10,21,False
2020-04-01,0,0,1,13,17,False
2020-05-01,0,1,1,14,14,False
2020-06-01,0,0,1,11,16,False
2020-07-01,0,1,1,13,34,False
2020-08-01,0,1,1,13,27,False
2020-09-01,0,1,0,12,19,False
2020-10-01,0,0,1,11,21,False
