date,Sue Desmond-Hellmann,Samantha Nutt,Norman Lear,Stephen Wilkes,Iraola,isPartial
2004-01-01,0,0,14,14,14,False
2004-02-01,0,0,15,0,37,False
2004-03-01,0,11,23,0,11,False
2004-04-01,0,0,18,9,12,False
2004-05-01,0,0,26,15,10,False
2004-06-01,0,8,15,15,11,False
2004-07-01,0,0,11,0,11,False
2004-08-01,0,0,20,7,12,False
2004-09-01,0,0,18,0,17,False
2004-10-01,0,0,21,7,16,False
2004-11-01,0,0,7,7,21,False
2004-12-01,0,0,16,13,13,False
2005-01-01,0,0,13,0,19,False
2005-02-01,0,0,9,6,15,False
2005-03-01,0,0,12,10,12,False
2005-04-01,0,0,11,0,15,False
2005-05-01,0,0,18,0,16,False
2005-06-01,0,5,7,5,18,False
2005-07-01,0,0,15,0,15,False
2005-08-01,0,5,32,0,13,False
2005-09-01,0,0,9,4,18,False
2005-10-01,0,4,14,4,17,False
2005-11-01,0,0,10,4,17,False
2005-12-01,0,0,12,4,14,False
2006-01-01,0,0,7,7,11,False
2006-02-01,0,0,12,4,13,False
2006-03-01,0,0,13,0,23,False
2006-04-01,0,0,6,7,15,False
2006-05-01,0,3,11,3,14,False
2006-06-01,0,0,7,7,16,False
2006-07-01,0,0,10,5,20,False
2006-08-01,0,3,13,3,12,False
2006-09-01,0,0,7,3,11,False
2006-10-01,0,3,9,3,17,False
2006-11-01,0,3,12,3,15,False
2006-12-01,0,3,8,6,13,False
2007-01-01,0,5,5,8,17,False
2007-02-01,0,2,6,5,15,False
2007-03-01,0,4,11,4,24,False
2007-04-01,0,3,13,4,15,False
2007-05-01,0,0,10,3,15,False
2007-06-01,0,0,8,6,16,False
2007-07-01,0,2,10,3,14,False
2007-08-01,0,2,3,3,10,False
2007-09-01,0,4,6,6,20,False
2007-10-01,0,2,10,5,15,False
2007-11-01,0,4,12,5,13,False
2007-12-01,0,0,8,3,17,False
2008-01-01,0,2,7,2,11,False
2008-02-01,0,2,10,3,18,False
2008-03-01,0,4,10,1,16,False
2008-04-01,0,2,7,1,16,False
2008-05-01,0,3,6,3,17,False
2008-06-01,0,2,8,2,15,False
2008-07-01,0,0,6,1,9,False
2008-08-01,0,1,8,2,20,False
2008-09-01,0,2,4,2,22,False
2008-10-01,0,2,7,3,19,False
2008-11-01,0,2,8,2,19,False
2008-12-01,0,3,5,1,15,False
2009-01-01,0,0,11,2,18,False
2009-02-01,0,1,12,3,21,False
2009-03-01,0,3,11,2,15,False
2009-04-01,0,3,15,3,19,False
2009-05-01,1,1,7,2,24,False
2009-06-01,0,0,16,2,16,False
2009-07-01,0,1,11,3,16,False
2009-08-01,0,2,6,0,20,False
2009-09-01,1,1,5,3,24,False
2009-10-01,1,1,7,1,17,False
2009-11-01,0,1,6,4,22,False
2009-12-01,1,4,8,1,16,False
2010-01-01,1,1,6,2,21,False
2010-02-01,0,1,9,1,11,False
2010-03-01,0,2,5,2,16,False
2010-04-01,0,2,6,1,17,False
2010-05-01,0,1,5,4,14,False
2010-06-01,0,1,7,2,18,False
2010-07-01,0,1,15,2,13,False
2010-08-01,0,1,6,1,17,False
2010-09-01,0,2,3,1,20,False
2010-10-01,0,1,4,2,21,False
2010-11-01,0,2,5,3,26,False
2010-12-01,0,1,5,2,21,False
2011-01-01,0,1,7,1,17,False
2011-02-01,0,1,8,1,23,False
2011-03-01,0,1,5,1,28,False
2011-04-01,0,1,7,1,21,False
2011-05-01,0,1,6,2,19,False
2011-06-01,0,1,8,2,20,False
2011-07-01,0,1,6,1,17,False
2011-08-01,0,2,5,11,26,False
2011-09-01,0,4,4,7,21,False
2011-10-01,0,3,7,5,19,False
2011-11-01,0,3,4,3,17,False
2011-12-01,0,2,4,4,17,False
2012-01-01,0,3,9,3,16,False
2012-02-01,0,2,5,2,18,False
2012-03-01,0,1,4,2,33,False
2012-04-01,0,3,8,3,21,False
2012-05-01,0,3,6,2,25,False
2012-06-01,0,1,7,2,20,False
2012-07-01,0,1,9,2,14,False
2012-08-01,0,1,7,2,15,False
2012-09-01,0,1,7,2,16,False
2012-10-01,0,2,5,3,15,False
2012-11-01,0,2,4,12,16,False
2012-12-01,0,2,5,4,14,False
2013-01-01,0,2,5,3,14,False
2013-02-01,0,2,5,4,15,False
2013-03-01,0,2,7,3,14,False
2013-04-01,0,1,5,3,16,False
2013-05-01,0,1,4,3,13,False
2013-06-01,0,1,11,2,14,False
2013-07-01,0,1,7,2,14,False
2013-08-01,0,1,4,4,15,False
2013-09-01,0,1,5,3,18,False
2013-10-01,0,2,4,2,16,False
2013-11-01,0,1,5,4,15,False
2013-12-01,1,1,3,3,15,False
2014-01-01,0,1,4,3,14,False
2014-02-01,0,1,5,2,15,False
2014-03-01,0,1,5,3,17,False
2014-04-01,0,1,7,3,13,False
2014-05-01,1,1,4,3,15,False
2014-06-01,0,1,5,3,13,False
2014-07-01,0,1,9,2,16,False
2014-08-01,0,1,4,2,21,False
2014-09-01,0,1,6,2,22,False
2014-10-01,0,6,39,2,17,False
2014-11-01,0,1,41,2,16,False
2014-12-01,0,2,58,2,13,False
2015-01-01,1,2,12,2,13,False
2015-02-01,1,1,10,1,16,False
2015-03-01,1,1,8,2,22,False
2015-04-01,1,1,17,1,23,False
2015-05-01,1,0,7,2,61,False
2015-06-01,0,1,17,2,27,False
2015-07-01,1,0,13,2,31,False
2015-08-01,1,0,15,2,21,False
2015-09-01,0,1,8,2,18,False
2015-10-01,0,1,11,2,15,False
2015-11-01,0,5,14,4,14,False
2015-12-01,0,1,9,2,12,False
2016-01-01,0,1,24,9,15,False
2016-02-01,0,0,10,4,14,False
2016-03-01,1,1,7,2,16,False
2016-04-01,0,1,17,2,11,False
2016-05-01,1,1,22,2,20,False
2016-06-01,1,3,15,10,16,False
2016-07-01,0,1,34,6,17,False
2016-08-01,1,0,12,3,11,False
2016-09-01,0,1,12,2,16,False
2016-10-01,0,1,58,3,15,False
2016-11-01,0,1,55,2,20,False
2016-12-01,0,1,18,3,12,False
2017-01-01,0,1,16,2,11,False
2017-02-01,0,2,17,3,13,False
2017-03-01,0,1,12,2,11,False
2017-04-01,0,2,14,3,11,False
2017-05-01,0,2,17,3,15,False
2017-06-01,0,1,23,1,11,False
2017-07-01,0,1,13,2,12,False
2017-08-01,0,0,33,2,11,False
2017-09-01,1,1,42,3,11,False
2017-10-01,0,1,12,3,10,False
2017-11-01,0,1,8,3,9,False
2017-12-01,0,0,48,2,8,False
2018-01-01,1,1,15,2,12,False
2018-02-01,0,1,11,5,10,False
2018-03-01,0,0,11,2,8,False
2018-04-01,0,1,9,2,10,False
2018-05-01,1,1,12,2,10,False
2018-06-01,0,1,8,3,11,False
2018-07-01,1,1,11,1,10,False
2018-08-01,0,0,11,1,11,False
2018-09-01,0,1,8,1,11,False
2018-10-01,0,0,8,1,12,False
2018-11-01,0,0,11,2,10,False
2018-12-01,1,0,9,2,10,False
2019-01-01,0,0,14,2,10,False
2019-02-01,0,0,14,2,11,False
2019-03-01,0,0,18,3,9,False
2019-04-01,0,1,12,1,12,False
2019-05-01,1,0,100,3,10,False
2019-06-01,1,1,14,3,10,False
2019-07-01,0,0,32,3,15,False
2019-08-01,0,0,18,3,12,False
2019-09-01,1,0,27,3,11,False
2019-10-01,1,0,9,5,10,False
2019-11-01,0,0,15,3,10,False
2019-12-01,1,0,29,2,11,False
2020-01-01,0,0,19,2,17,False
2020-02-01,0,0,15,2,33,False
2020-03-01,1,0,11,1,13,False
2020-04-01,0,0,15,2,10,False
2020-05-01,1,1,14,2,8,False
2020-06-01,0,0,10,2,10,False
2020-07-01,0,0,21,2,21,False
2020-08-01,0,0,18,2,16,False
2020-09-01,0,0,17,1,12,False
2020-10-01,0,0,11,2,13,False
