date,Maya Penn,Esta Soler,Dan Berkenstock,Teddy Cruz,Iraola,isPartial
2012-09-01,2,3,0,2,26,False
2012-10-01,2,1,0,5,25,False
2012-11-01,2,2,0,3,27,False
2012-12-01,3,3,1,4,23,False
2013-01-01,2,2,0,5,24,False
2013-02-01,1,2,0,3,25,False
2013-03-01,1,2,0,3,23,False
2013-04-01,1,2,0,2,25,False
2013-05-01,2,1,1,4,21,False
2013-06-01,1,3,1,2,23,False
2013-07-01,1,1,0,2,23,False
2013-08-01,1,2,1,1,24,False
2013-09-01,1,3,1,4,30,False
2013-10-01,2,2,0,6,26,False
2013-11-01,2,1,0,4,24,False
2013-12-01,2,3,0,3,25,False
2014-01-01,4,1,0,2,22,False
2014-02-01,15,3,2,4,25,False
2014-03-01,4,3,1,5,28,False
2014-04-01,4,3,2,5,22,False
2014-05-01,4,2,1,2,25,False
2014-06-01,3,3,3,3,21,False
2014-07-01,1,3,1,3,26,False
2014-08-01,2,4,1,2,34,False
2014-09-01,2,3,0,4,35,False
2014-10-01,2,2,1,2,27,False
2014-11-01,3,2,0,2,26,False
2014-12-01,2,2,0,2,22,False
2015-01-01,3,2,0,3,21,False
2015-02-01,3,3,0,3,26,False
2015-03-01,3,2,0,4,37,False
2015-04-01,8,2,1,3,38,False
2015-05-01,2,3,0,3,100,False
2015-06-01,1,2,1,3,44,False
2015-07-01,1,3,0,2,50,False
2015-08-01,2,1,0,3,34,False
2015-09-01,1,2,0,3,30,False
2015-10-01,2,2,0,3,24,False
2015-11-01,3,3,0,3,23,False
2015-12-01,2,2,0,4,20,False
2016-01-01,3,2,0,6,24,False
2016-02-01,3,2,1,8,23,False
2016-03-01,5,1,0,9,26,False
2016-04-01,8,3,0,5,18,False
2016-05-01,3,3,0,4,32,False
2016-06-01,2,3,0,3,26,False
2016-07-01,1,3,0,3,28,False
2016-08-01,2,2,0,2,18,False
2016-09-01,2,2,0,4,25,False
2016-10-01,3,3,0,2,24,False
2016-11-01,2,2,0,2,33,False
2016-12-01,1,2,0,2,19,False
2017-01-01,2,1,0,3,18,False
2017-02-01,3,2,0,3,21,False
2017-03-01,2,1,0,3,18,False
