date,Angela Patton,Ellen Jorgensen,Cameron Russell,Richard Weller,Iraola,isPartial
2004-01-01,0,0,7,5,8,False
2004-02-01,0,0,8,0,22,False
2004-03-01,7,0,0,0,7,False
2004-04-01,0,0,9,0,7,False
2004-05-01,0,0,14,9,6,False
2004-06-01,5,0,7,0,7,False
2004-07-01,0,0,7,0,6,False
2004-08-01,4,0,0,11,7,False
2004-09-01,0,4,6,6,10,False
2004-10-01,4,0,4,4,10,False
2004-11-01,4,0,4,8,12,False
2004-12-01,0,0,4,0,8,False
2005-01-01,0,0,8,5,11,False
2005-02-01,0,0,7,4,9,False
2005-03-01,3,0,4,3,7,False
2005-04-01,0,0,3,7,9,False
2005-05-01,0,0,4,3,10,False
2005-06-01,0,0,7,3,11,False
2005-07-01,0,0,7,4,9,False
2005-08-01,3,0,7,6,8,False
2005-09-01,3,3,6,4,10,False
2005-10-01,0,0,4,3,10,False
2005-11-01,2,0,3,4,10,False
2005-12-01,4,0,5,4,8,False
2006-01-01,0,0,7,3,6,False
2006-02-01,2,0,6,4,8,False
2006-03-01,2,0,4,3,14,False
2006-04-01,0,0,5,2,9,False
2006-05-01,4,0,5,4,9,False
2006-06-01,0,0,8,2,10,False
2006-07-01,0,0,7,2,12,False
2006-08-01,4,0,5,3,7,False
2006-09-01,2,2,6,2,6,False
2006-10-01,0,0,6,2,10,False
2006-11-01,0,0,8,2,9,False
2006-12-01,2,0,5,3,8,False
2007-01-01,1,1,5,1,10,False
2007-02-01,0,0,4,2,9,False
2007-03-01,1,1,5,1,14,False
2007-04-01,0,0,6,3,9,False
2007-05-01,0,0,6,2,9,False
2007-06-01,1,1,5,1,10,False
2007-07-01,2,0,2,2,8,False
2007-08-01,0,0,4,0,6,False
2007-09-01,1,1,2,2,12,False
2007-10-01,1,0,5,2,9,False
2007-11-01,2,1,8,2,7,False
2007-12-01,1,0,6,2,10,False
2008-01-01,1,0,5,3,7,False
2008-02-01,0,0,4,2,10,False
2008-03-01,0,0,3,3,9,False
2008-04-01,1,0,4,1,10,False
2008-05-01,2,1,4,2,10,False
2008-06-01,0,0,3,2,9,False
2008-07-01,1,0,2,1,5,False
2008-08-01,1,1,3,1,12,False
2008-09-01,1,1,3,2,13,False
2008-10-01,1,0,4,3,11,False
2008-11-01,1,0,4,1,11,False
2008-12-01,1,0,4,1,9,False
2009-01-01,1,0,5,1,11,False
2009-02-01,1,1,3,1,13,False
2009-03-01,1,0,4,1,9,False
2009-04-01,1,0,3,1,11,False
2009-05-01,1,0,4,1,14,False
2009-06-01,1,0,4,0,10,False
2009-07-01,1,0,3,2,9,False
2009-08-01,1,0,2,1,12,False
2009-09-01,1,0,3,1,14,False
2009-10-01,2,0,3,1,10,False
2009-11-01,1,0,4,2,13,False
2009-12-01,1,1,4,1,10,False
2010-01-01,1,0,4,1,13,False
2010-02-01,1,1,3,2,6,False
2010-03-01,1,0,4,1,9,False
2010-04-01,1,0,5,1,10,False
2010-05-01,1,0,4,1,9,False
2010-06-01,1,0,6,0,11,False
2010-07-01,0,0,5,2,7,False
2010-08-01,1,0,4,1,10,False
2010-09-01,1,0,4,1,12,False
2010-10-01,0,0,5,2,12,False
2010-11-01,1,0,4,1,15,False
2010-12-01,0,0,4,1,12,False
2011-01-01,1,0,5,0,10,False
2011-02-01,1,0,3,1,14,False
2011-03-01,1,0,3,2,17,False
2011-04-01,0,0,5,1,12,False
2011-05-01,1,0,7,1,11,False
2011-06-01,2,0,4,1,12,False
2011-07-01,1,0,6,1,10,False
2011-08-01,3,0,5,1,15,False
2011-09-01,1,1,5,1,12,False
2011-10-01,1,0,3,1,11,False
2011-11-01,1,0,6,1,10,False
2011-12-01,3,0,6,1,10,False
2012-01-01,2,0,6,1,9,False
2012-02-01,1,0,4,1,11,False
2012-03-01,2,0,4,1,20,False
2012-04-01,3,0,4,1,12,False
2012-05-01,1,0,4,1,15,False
2012-06-01,1,0,4,1,12,False
2012-07-01,1,0,4,1,8,False
2012-08-01,1,1,3,1,9,False
2012-09-01,1,0,4,1,9,False
2012-10-01,1,0,4,1,9,False
2012-11-01,1,0,10,1,10,False
2012-12-01,1,0,14,1,8,False
2013-01-01,1,1,54,1,9,False
2013-02-01,1,0,100,1,9,False
2013-03-01,1,0,21,1,8,False
2013-04-01,1,0,21,1,9,False
2013-05-01,1,0,20,1,8,False
2013-06-01,12,0,16,1,8,False
2013-07-01,3,1,14,1,8,False
2013-08-01,2,0,13,2,9,False
2013-09-01,2,0,14,1,11,False
2013-10-01,1,0,16,1,9,False
2013-11-01,0,0,12,1,9,False
2013-12-01,1,0,18,1,9,False
2014-01-01,1,0,21,1,8,False
2014-02-01,1,0,14,1,9,False
2014-03-01,1,0,16,1,10,False
2014-04-01,1,0,27,1,8,False
2014-05-01,1,0,14,1,9,False
2014-06-01,1,0,11,1,7,False
2014-07-01,1,0,14,1,9,False
2014-08-01,1,0,13,1,12,False
2014-09-01,1,0,12,1,13,False
2014-10-01,1,0,10,1,10,False
2014-11-01,1,0,13,0,9,False
2014-12-01,1,0,19,1,8,False
2015-01-01,1,0,14,0,8,False
2015-02-01,1,0,14,1,10,False
2015-03-01,2,0,12,1,13,False
2015-04-01,0,0,13,1,14,False
2015-05-01,0,0,13,1,36,False
2015-06-01,1,0,9,1,16,False
2015-07-01,1,0,9,1,18,False
2015-08-01,1,0,9,0,12,False
2015-09-01,1,0,10,1,11,False
2015-10-01,1,0,10,1,9,False
2015-11-01,0,0,11,0,8,False
2015-12-01,0,0,14,1,7,False
2016-01-01,1,0,23,1,9,False
2016-02-01,1,0,11,1,8,False
2016-03-01,1,0,10,1,9,False
2016-04-01,1,0,13,0,7,False
2016-05-01,2,0,13,1,12,False
2016-06-01,1,0,10,0,9,False
2016-07-01,1,0,9,1,10,False
2016-08-01,1,1,5,1,6,False
2016-09-01,1,0,6,0,9,False
2016-10-01,0,0,8,1,9,False
2016-11-01,1,0,7,1,12,False
2016-12-01,1,0,10,1,7,False
2017-01-01,1,0,10,0,6,False
2017-02-01,1,0,10,1,8,False
2017-03-01,1,0,8,1,7,False
2017-04-01,1,0,7,0,7,False
2017-05-01,1,0,6,0,9,False
2017-06-01,0,0,7,1,7,False
2017-07-01,0,0,4,0,7,False
2017-08-01,0,0,8,1,6,False
2017-09-01,0,0,7,1,6,False
2017-10-01,1,0,12,1,6,False
2017-11-01,1,0,8,1,5,False
2017-12-01,1,0,11,0,5,False
2018-01-01,1,0,12,1,7,False
2018-02-01,1,0,7,1,6,False
2018-03-01,0,0,6,1,5,False
2018-04-01,0,0,7,1,6,False
2018-05-01,0,0,5,0,6,False
2018-06-01,0,0,5,0,6,False
2018-07-01,1,0,5,0,6,False
2018-08-01,1,0,7,1,6,False
2018-09-01,0,0,6,1,7,False
2018-10-01,1,0,7,1,7,False
2018-11-01,0,0,6,1,6,False
2018-12-01,1,0,5,0,6,False
2019-01-01,0,0,6,1,6,False
2019-02-01,1,0,4,1,7,False
2019-03-01,1,0,4,1,6,False
2019-04-01,0,0,5,0,7,False
2019-05-01,0,0,5,0,6,False
2019-06-01,1,0,5,1,6,False
2019-07-01,1,0,10,0,9,False
2019-08-01,0,0,5,0,7,False
2019-09-01,1,0,6,0,6,False
2019-10-01,0,0,7,1,6,False
2019-11-01,0,0,6,1,6,False
2019-12-01,0,0,6,1,7,False
2020-01-01,1,0,7,1,10,False
2020-02-01,0,0,5,0,19,False
2020-03-01,0,0,3,0,8,False
2020-04-01,0,0,5,1,6,False
2020-05-01,0,0,6,1,5,False
2020-06-01,1,0,4,0,6,False
2020-07-01,1,0,4,1,12,False
2020-08-01,1,0,4,1,10,False
2020-09-01,0,0,4,1,7,False
2020-10-01,0,0,4,0,8,False
