date,Hugh Evans,Paula Hammond,Astro Teller,Mary Norris,Iraola,isPartial
2014-08-01,13,2,4,4,34,False
2014-09-01,17,2,4,4,35,False
2014-10-01,24,1,3,5,27,False
2014-11-01,13,1,3,3,26,False
2014-12-01,13,1,1,4,22,False
2015-01-01,15,3,2,4,21,False
2015-02-01,13,2,5,7,26,False
2015-03-01,11,2,8,9,37,False
2015-04-01,16,2,4,12,38,False
2015-05-01,13,1,6,8,100,False
2015-06-01,13,2,6,8,44,False
2015-07-01,12,2,6,7,50,False
2015-08-01,12,2,6,7,34,False
2015-09-01,21,2,5,7,30,False
2015-10-01,11,1,3,8,24,False
2015-11-01,10,2,3,5,23,False
2015-12-01,11,1,2,5,20,False
2016-01-01,12,2,2,7,24,False
2016-02-01,12,2,5,6,23,False
2016-03-01,17,2,3,6,26,False
2016-04-01,15,4,8,6,18,False
2016-05-01,22,3,7,5,32,False
2016-06-01,12,1,15,6,26,False
2016-07-01,11,2,9,3,28,False
2016-08-01,9,1,5,6,18,False
2016-09-01,15,1,4,5,25,False
2016-10-01,10,1,5,4,24,False
2016-11-01,9,1,4,4,33,False
2016-12-01,11,1,5,5,19,False
2017-01-01,10,1,3,7,18,False
2017-02-01,9,1,3,6,21,False
2017-03-01,20,2,4,7,18,False
2017-04-01,12,3,3,4,19,False
2017-05-01,11,2,4,4,24,False
2017-06-01,10,1,3,5,19,False
2017-07-01,12,2,3,5,20,False
2017-08-01,8,2,2,13,18,False
2017-09-01,11,2,4,4,18,False
2017-10-01,10,1,4,5,16,False
2017-11-01,12,1,3,6,14,False
2017-12-01,11,1,2,5,14,False
2018-01-01,10,1,3,4,19,False
2018-02-01,8,1,2,5,17,False
2018-03-01,12,2,2,6,14,False
2018-04-01,10,2,5,2,16,False
2018-05-01,14,1,2,4,17,False
2018-06-01,11,1,2,5,17,False
2018-07-01,9,2,2,4,16,False
2018-08-01,9,1,2,3,17,False
2018-09-01,9,1,3,4,18,False
2018-10-01,7,1,5,5,20,False
2018-11-01,8,1,4,4,17,False
2018-12-01,10,1,3,3,16,False
2019-01-01,10,1,3,7,16,False
2019-02-01,11,1,2,5,19,False
2019-03-01,10,2,1,5,15,False
2019-04-01,8,1,2,9,19,False
2019-05-01,12,1,2,8,16,False
2019-06-01,11,1,2,5,17,False
2019-07-01,10,1,2,4,24,False
2019-08-01,7,1,2,5,20,False
2019-09-01,9,1,2,3,17,False
2019-10-01,9,2,2,5,16,False
2019-11-01,8,1,2,3,16,False
2019-12-01,6,1,1,3,19,False
2020-01-01,7,1,3,4,28,False
2020-02-01,8,1,2,4,54,False
2020-03-01,8,1,1,4,21,False
2020-04-01,17,1,1,4,17,False
2020-05-01,10,1,2,4,14,False
2020-06-01,7,1,1,5,16,False
2020-07-01,9,1,2,4,34,False
2020-08-01,10,1,1,5,27,False
2020-09-01,11,1,1,4,19,False
2020-10-01,7,1,2,4,21,False
