date,E.O. Wilson,James Nachtwey,Jane Goodall,Seth Godin,Iraola,isPartial
2017-11-01,0,2,32,8,2,False
2017-12-01,0,2,22,7,2,False
2018-01-01,0,2,24,8,3,False
2018-02-01,0,2,28,9,2,False
2018-03-01,0,1,68,8,2,False
2018-04-01,1,1,58,8,2,False
2018-05-01,0,1,34,9,2,False
2018-06-01,0,1,24,8,2,False
2018-07-01,0,1,15,9,2,False
2018-08-01,0,1,17,9,2,False
2018-09-01,0,1,37,8,2,False
2018-10-01,0,1,26,8,3,False
2018-11-01,0,1,21,13,2,False
2018-12-01,0,1,20,9,2,False
2019-01-01,0,0,37,9,2,False
2019-02-01,0,1,31,10,2,False
2019-03-01,0,1,41,9,2,False
2019-04-01,0,1,48,8,3,False
2019-05-01,0,1,34,8,2,False
2019-06-01,0,1,24,7,2,False
2019-07-01,0,1,23,11,3,False
2019-08-01,0,1,22,10,3,False
2019-09-01,0,1,28,9,2,False
2019-10-01,0,1,23,9,2,False
2019-11-01,0,1,24,8,2,False
2019-12-01,0,1,26,7,2,False
2020-01-01,0,1,31,8,4,False
2020-02-01,0,1,33,8,7,False
2020-03-01,0,1,36,7,3,False
2020-04-01,0,1,100,8,2,False
2020-05-01,0,1,40,8,2,False
2020-06-01,0,0,26,7,2,False
2020-07-01,0,0,24,8,4,False
2020-08-01,0,0,18,7,4,False
2020-09-01,0,1,25,7,3,False
2020-10-01,0,0,21,6,3,False
