date,Paul Moller,Greg Lynn,Rob Forbes,Scott McCloud,Iraola,isPartial
2004-01-01,0,67,15,37,22,False
2004-02-01,15,64,22,59,59,False
2004-03-01,0,61,18,36,18,False
2004-04-01,14,47,0,21,19,False
2004-05-01,24,74,12,29,16,False
2004-06-01,16,61,36,32,18,False
2004-07-01,13,47,0,19,17,False
2004-08-01,12,36,12,20,20,False
2004-09-01,0,51,11,22,27,False
2004-10-01,0,52,0,17,26,False
2004-11-01,34,52,0,30,33,False
2004-12-01,0,38,0,21,21,False
2005-01-01,18,48,9,21,30,False
2005-02-01,0,58,19,48,24,False
2005-03-01,21,32,8,35,19,False
2005-04-01,18,21,9,13,24,False
2005-05-01,12,71,8,16,26,False
2005-06-01,8,37,8,100,29,False
2005-07-01,8,27,0,19,24,False
2005-08-01,8,44,8,28,21,False
2005-09-01,7,33,7,26,28,False
2005-10-01,7,31,7,15,26,False
2005-11-01,13,60,7,20,26,False
2005-12-01,10,45,0,19,22,False
2006-01-01,11,45,6,14,17,False
2006-02-01,14,39,0,14,22,False
2006-03-01,5,45,10,33,37,False
2006-04-01,13,42,5,25,24,False
2006-05-01,5,35,15,15,23,False
2006-06-01,5,26,5,24,26,False
2006-07-01,10,18,8,16,31,False
2006-08-01,7,26,5,13,19,False
2006-09-01,9,38,5,43,17,False
2006-10-01,13,43,4,21,27,False
2006-11-01,6,12,6,34,24,False
2006-12-01,6,17,4,18,21,False
2007-01-01,9,24,6,20,27,False
2007-02-01,6,26,4,21,23,False
2007-03-01,6,35,7,12,38,False
2007-04-01,7,28,5,28,25,False
2007-05-01,5,19,5,24,24,False
2007-06-01,5,21,5,13,26,False
2007-07-01,12,15,9,20,22,False
2007-08-01,25,22,3,19,17,False
2007-09-01,13,33,6,23,31,False
2007-10-01,5,33,6,15,23,False
2007-11-01,3,24,0,17,20,False
2007-12-01,6,24,5,20,28,False
2008-01-01,0,15,8,14,18,False
2008-02-01,5,18,7,19,28,False
2008-03-01,2,27,5,12,25,False
2008-04-01,3,35,4,23,26,False
2008-05-01,2,24,3,15,26,False
2008-06-01,3,23,2,16,23,False
2008-07-01,4,16,4,12,15,False
2008-08-01,5,24,2,7,32,False
2008-09-01,2,25,6,82,35,False
2008-10-01,5,25,4,16,30,False
2008-11-01,6,31,3,18,30,False
2008-12-01,4,16,4,11,24,False
2009-01-01,6,16,6,22,29,False
2009-02-01,4,20,4,15,34,False
2009-03-01,2,26,7,20,24,False
2009-04-01,5,22,3,14,31,False
2009-05-01,2,20,4,16,38,False
2009-06-01,2,17,5,16,26,False
2009-07-01,3,17,3,16,26,False
2009-08-01,2,20,4,14,32,False
2009-09-01,3,17,5,14,38,False
2009-10-01,2,18,2,15,27,False
2009-11-01,3,24,4,14,36,False
2009-12-01,3,17,2,12,26,False
2010-01-01,1,15,5,17,34,False
2010-02-01,2,22,4,19,17,False
2010-03-01,2,18,4,13,26,False
2010-04-01,1,17,6,15,27,False
2010-05-01,4,17,6,18,23,False
2010-06-01,2,14,6,15,29,False
2010-07-01,2,11,6,10,20,False
2010-08-01,3,13,5,15,27,False
2010-09-01,0,18,5,15,31,False
2010-10-01,1,14,5,13,34,False
2010-11-01,2,15,4,14,41,False
2010-12-01,1,13,5,11,34,False
2011-01-01,1,13,4,13,28,False
2011-02-01,3,10,4,13,37,False
2011-03-01,2,10,2,15,45,False
2011-04-01,2,14,4,14,33,False
2011-05-01,2,13,5,11,31,False
2011-06-01,2,8,6,12,32,False
2011-07-01,1,11,3,13,27,False
2011-08-01,2,10,5,17,41,False
2011-09-01,2,11,4,12,33,False
2011-10-01,2,12,3,15,31,False
2011-11-01,2,16,2,11,28,False
2011-12-01,2,8,2,9,26,False
2012-01-01,4,7,4,13,25,False
2012-02-01,2,10,4,12,29,False
2012-03-01,2,11,8,10,53,False
2012-04-01,2,9,8,13,33,False
2012-05-01,1,11,5,10,40,False
2012-06-01,1,11,5,9,31,False
2012-07-01,1,12,8,12,22,False
2012-08-01,1,12,6,11,23,False
2012-09-01,2,11,7,12,26,False
2012-10-01,1,11,5,13,25,False
2012-11-01,2,10,6,12,26,False
2012-12-01,2,10,4,11,23,False
2013-01-01,2,9,5,11,23,False
2013-02-01,1,7,6,14,24,False
2013-03-01,1,13,5,11,23,False
2013-04-01,2,11,5,14,25,False
2013-05-01,2,8,6,10,20,False
2013-06-01,2,6,5,10,23,False
2013-07-01,1,11,5,7,23,False
2013-08-01,1,9,2,7,24,False
2013-09-01,2,11,4,15,29,False
2013-10-01,2,13,5,13,25,False
2013-11-01,6,9,6,11,23,False
2013-12-01,3,8,4,9,24,False
2014-01-01,2,9,6,12,22,False
2014-02-01,2,10,6,14,24,False
2014-03-01,2,11,5,9,28,False
2014-04-01,1,9,4,12,21,False
2014-05-01,1,9,5,9,24,False
2014-06-01,2,7,3,11,20,False
2014-07-01,2,6,5,7,25,False
2014-08-01,2,7,6,7,33,False
2014-09-01,1,9,5,9,35,False
2014-10-01,1,8,4,13,27,False
2014-11-01,1,9,2,9,25,False
2014-12-01,2,7,2,7,21,False
2015-01-01,2,7,4,13,21,False
2015-02-01,1,8,4,23,26,False
2015-03-01,1,9,3,20,36,False
2015-04-01,1,8,3,19,37,False
2015-05-01,2,6,3,14,98,False
2015-06-01,2,7,4,12,43,False
2015-07-01,1,6,2,9,49,False
2015-08-01,1,7,4,10,34,False
2015-09-01,1,8,3,10,29,False
2015-10-01,1,8,4,12,24,False
2015-11-01,0,9,3,13,22,False
2015-12-01,1,9,4,12,20,False
2016-01-01,1,8,3,13,23,False
2016-02-01,1,8,3,12,23,False
2016-03-01,1,7,4,10,25,False
2016-04-01,0,8,3,10,18,False
2016-05-01,1,7,5,9,31,False
2016-06-01,1,5,3,8,25,False
2016-07-01,1,6,6,5,27,False
2016-08-01,1,10,4,8,18,False
2016-09-01,1,10,6,9,25,False
2016-10-01,1,9,5,9,23,False
2016-11-01,0,8,3,12,32,False
2016-12-01,1,8,3,10,19,False
2017-01-01,2,7,4,9,17,False
2017-02-01,1,7,3,11,20,False
2017-03-01,1,10,4,9,18,False
2017-04-01,1,8,4,9,18,False
2017-05-01,0,9,3,5,23,False
2017-06-01,1,5,4,7,18,False
2017-07-01,1,7,3,7,19,False
2017-08-01,1,7,3,7,17,False
2017-09-01,1,9,2,8,17,False
2017-10-01,1,7,3,10,16,False
2017-11-01,0,4,3,9,14,False
2017-12-01,1,7,2,7,14,False
2018-01-01,1,6,3,13,19,False
2018-02-01,1,6,3,10,16,False
2018-03-01,1,8,3,7,13,False
2018-04-01,1,6,3,9,16,False
2018-05-01,1,6,3,6,17,False
2018-06-01,1,6,3,7,17,False
2018-07-01,1,6,3,6,15,False
2018-08-01,1,6,3,7,17,False
2018-09-01,1,6,2,7,18,False
2018-10-01,1,7,2,7,19,False
2018-11-01,1,7,3,8,16,False
2018-12-01,1,6,3,8,15,False
2019-01-01,1,7,2,6,16,False
2019-02-01,2,5,3,7,18,False
2019-03-01,1,4,6,7,15,False
2019-04-01,2,5,5,9,19,False
2019-05-01,1,6,2,6,15,False
2019-06-01,1,7,3,5,16,False
2019-07-01,1,6,4,7,24,False
2019-08-01,1,5,3,6,19,False
2019-09-01,2,6,4,7,17,False
2019-10-01,1,5,4,8,16,False
2019-11-01,1,4,5,6,16,False
2019-12-01,0,4,11,6,18,False
2020-01-01,1,4,7,6,28,False
2020-02-01,1,5,7,8,52,False
2020-03-01,1,5,5,7,21,False
2020-04-01,0,6,4,9,17,False
2020-05-01,1,5,4,6,13,False
2020-06-01,1,4,4,5,16,False
2020-07-01,1,5,4,5,33,False
2020-08-01,1,7,6,7,26,False
2020-09-01,1,7,7,6,19,False
2020-10-01,1,6,5,6,21,False
