date,Beau Lotto + Amy O'Toole,Heather Brooke,Ryan Merkley,Pankaj Ghemawat,Iraola,isPartial
2010-01-01,0,54,0,0,5,False
2010-02-01,0,52,0,1,3,False
2010-03-01,0,48,0,1,4,False
2010-04-01,0,55,0,0,4,False
2010-05-01,0,52,0,0,3,False
2010-06-01,0,57,0,0,4,False
2010-07-01,1,54,0,0,3,False
2010-08-01,0,60,0,0,4,False
2010-09-01,0,52,0,0,5,False
2010-10-01,0,52,0,0,5,False
2010-11-01,0,45,0,0,6,False
2010-12-01,1,48,0,0,5,False
2011-01-01,0,44,0,0,4,False
2011-02-01,0,40,0,0,5,False
2011-03-01,0,38,0,0,6,False
2011-04-01,0,39,0,1,5,False
2011-05-01,0,41,0,0,4,False
2011-06-01,0,38,0,0,5,False
2011-07-01,0,38,0,1,4,False
2011-08-01,0,43,0,1,6,False
2011-09-01,0,36,0,0,5,False
2011-10-01,1,38,0,1,5,False
2011-11-01,1,36,0,1,4,False
2011-12-01,0,36,0,1,4,False
2012-01-01,0,33,0,1,4,False
2012-02-01,0,30,0,0,4,False
2012-03-01,0,31,0,0,8,False
2012-04-01,0,38,0,1,5,False
2012-05-01,0,36,0,1,6,False
2012-06-01,0,32,0,0,5,False
2012-07-01,0,37,0,0,3,False
2012-08-01,0,32,0,0,3,False
2012-09-01,0,35,0,0,4,False
2012-10-01,1,32,0,1,4,False
2012-11-01,1,32,0,1,4,False
2012-12-01,0,34,0,1,3,False
2013-01-01,0,29,0,1,3,False
2013-02-01,0,28,0,0,4,False
2013-03-01,0,26,0,0,3,False
2013-04-01,0,29,0,0,4,False
2013-05-01,0,27,0,0,3,False
2013-06-01,1,30,0,0,3,False
2013-07-01,0,29,0,0,3,False
2013-08-01,0,30,0,0,3,False
2013-09-01,0,26,0,0,4,False
2013-10-01,0,25,0,0,4,False
2013-11-01,0,24,0,0,3,False
2013-12-01,0,26,0,0,3,False
2014-01-01,0,26,0,1,3,False
2014-02-01,0,23,0,1,4,False
2014-03-01,0,23,0,0,4,False
2014-04-01,0,24,0,0,3,False
2014-05-01,0,23,0,0,4,False
2014-06-01,0,25,0,0,3,False
2014-07-01,0,23,0,0,4,False
2014-08-01,0,21,0,0,5,False
2014-09-01,1,22,0,0,5,False
2014-10-01,0,24,0,0,4,False
2014-11-01,0,22,0,0,4,False
2014-12-01,0,21,0,0,3,False
2015-01-01,0,20,0,0,3,False
2015-02-01,0,20,0,0,4,False
2015-03-01,0,20,0,0,5,False
2015-04-01,0,20,0,1,5,False
2015-05-01,0,20,0,0,14,False
2015-06-01,0,19,0,0,6,False
2015-07-01,0,21,0,0,7,False
2015-08-01,0,24,0,0,5,False
2015-09-01,0,20,0,0,4,False
2015-10-01,0,18,0,0,3,False
2015-11-01,0,19,0,0,3,False
2015-12-01,0,19,0,0,3,False
2016-01-01,0,15,0,0,3,False
2016-02-01,0,13,0,0,3,False
2016-03-01,0,15,0,0,4,False
2016-04-01,0,13,1,0,3,False
2016-05-01,0,12,0,0,5,False
2016-06-01,0,13,0,0,4,False
2016-07-01,0,12,0,0,4,False
2016-08-01,0,13,0,0,3,False
2016-09-01,0,16,0,0,4,False
2016-10-01,0,11,0,0,3,False
2016-11-01,0,11,0,0,5,False
2016-12-01,0,12,0,0,3,False
2017-01-01,0,10,0,0,3,False
2017-02-01,0,11,0,0,3,False
2017-03-01,0,12,0,0,3,False
2017-04-01,1,13,1,0,3,False
2017-05-01,0,10,0,0,3,False
