Peter Eigen,Jamie Oliver,David Cameron,Philip K. Howard,Iraola,isPartial
0,31,1,0,0,False
0,26,2,0,1,False
0,26,1,0,0,False
0,30,2,0,1,False
0,29,2,0,0,False
0,22,2,0,1,False
0,25,2,0,0,False
1,26,2,0,1,False
0,23,1,0,1,False
0,27,2,0,0,False
0,27,1,0,0,False
0,31,2,0,1,False
0,26,1,0,0,False
0,28,1,0,0,False
0,45,1,0,0,False
0,31,1,0,0,False
0,27,2,0,0,False
0,22,1,0,0,False
0,25,1,0,0,False
0,24,2,0,0,False
0,29,2,0,1,False
0,35,10,0,1,False
0,36,4,0,0,False
0,43,9,0,0,False
0,31,5,0,0,False
0,31,4,0,0,False
0,28,3,0,1,False
0,24,3,0,0,False
0,25,4,0,0,False
0,20,3,0,0,False
0,21,2,0,1,False
0,27,2,0,0,False
0,34,4,0,0,False
0,32,6,0,0,False
0,35,3,0,0,False
0,39,2,0,1,False
0,27,3,0,0,False
0,29,4,0,1,False
0,24,4,0,1,False
0,23,3,0,0,False
0,21,4,0,0,False
0,22,2,0,0,False
0,21,3,0,0,False
0,28,2,0,0,False
0,30,2,0,1,False
0,29,4,0,0,False
0,27,3,0,0,False
0,44,2,0,0,False
0,43,2,0,0,False
0,36,2,0,0,False
0,34,3,0,0,False
0,27,2,0,1,False
0,24,3,0,1,False
0,26,2,0,0,False
0,27,3,0,0,False
0,26,2,0,1,False
0,25,3,0,1,False
0,40,3,0,0,False
0,36,3,0,0,False
0,54,2,0,0,False
0,37,3,0,0,False
0,38,7,0,1,False
0,31,3,0,0,False
0,36,3,0,1,False
0,31,4,0,0,False
0,29,4,0,0,False
0,30,3,0,0,False
0,34,3,0,0,False
0,38,3,0,1,False
0,42,9,0,1,False
0,46,4,0,1,False
0,74,3,0,1,False
0,51,5,0,1,False
0,49,5,0,0,False
0,63,7,0,0,False
0,71,21,0,0,False
0,52,60,0,0,False
0,46,9,0,0,False
0,46,8,0,0,False
0,45,10,0,0,False
0,54,9,0,1,False
0,67,8,0,1,False
0,69,9,0,1,False
0,94,7,0,1,False
0,78,6,0,0,False
0,71,9,0,1,False
0,55,8,0,1,False
0,58,9,0,1,False
0,58,8,0,1,False
0,59,7,0,0,False
0,56,8,0,0,False
0,59,11,0,1,False
0,56,6,0,1,False
0,56,8,0,0,False
0,57,7,0,0,False
0,90,9,0,0,False
0,60,9,0,0,False
0,61,6,0,0,False
0,52,9,0,1,False
0,49,7,0,0,False
0,46,8,0,1,False
0,51,9,0,0,False
0,55,6,0,0,False
0,50,6,0,0,False
0,50,8,0,0,False
0,58,7,0,0,False
0,67,9,0,0,False
0,100,6,0,0,False
0,63,8,0,0,False
0,58,8,0,0,False
0,59,6,0,0,False
0,54,7,0,0,False
0,50,7,0,0,False
0,47,6,0,0,False
0,48,8,0,0,False
0,61,7,0,0,False
0,63,7,0,0,False
0,64,6,0,0,False
0,65,7,0,0,False
0,95,10,0,0,False
0,64,6,0,0,False
0,59,7,0,0,False
0,52,8,0,0,False
0,52,7,0,0,False
0,51,7,0,0,False
0,50,7,0,0,False
0,52,6,0,0,False
0,55,7,0,1,False
0,52,14,0,1,False
0,58,10,0,0,False
0,59,7,0,0,False
0,90,6,0,0,False
0,62,9,0,0,False
0,55,7,0,0,False
0,51,11,0,1,False
0,52,17,0,1,False
0,52,33,0,2,False
0,47,7,0,1,False
0,46,8,0,1,False
0,48,6,0,1,False
0,53,40,0,0,False
0,55,11,0,0,False
0,58,12,0,0,False
0,88,12,0,0,False
0,64,11,0,0,False
0,55,12,0,0,False
0,55,9,0,0,False
0,47,20,0,0,False
0,44,10,0,0,False
0,41,53,0,0,False
0,43,25,0,0,False
0,57,5,0,0,False
0,43,6,0,0,False
0,48,6,0,0,False
0,52,5,0,0,False
0,81,4,0,0,False
0,54,5,0,0,False
0,47,4,0,0,False
0,42,4,0,0,False
0,45,4,0,0,False
0,39,4,0,0,False
0,38,6,0,0,False
0,38,2,0,0,False
0,41,3,0,0,False
0,48,2,0,0,False
0,50,3,0,0,False
0,54,3,0,0,False
0,80,4,0,0,False
0,54,3,0,0,False
0,50,3,0,0,False
0,44,3,0,0,False
0,38,3,0,0,False
0,37,2,0,0,False
0,36,2,0,0,False
0,34,3,0,0,False
0,38,2,0,0,False
0,38,2,0,0,False
0,36,3,0,0,False
0,39,4,0,0,False
0,64,4,0,0,False
0,43,5,0,0,False
0,37,3,0,0,False
0,36,5,0,0,False
0,35,3,0,0,False
0,44,3,0,0,False
0,29,3,0,0,False
0,28,3,0,0,False
0,32,2,0,0,False
0,30,8,0,0,False
0,31,3,0,0,False
0,33,3,0,0,False
0,57,3,0,0,False
0,34,2,0,0,False
0,31,2,0,1,False
0,35,2,0,0,False
0,63,3,0,0,False
0,48,3,0,0,False
0,38,2,0,0,False
0,33,2,0,0,False
0,33,2,0,0,False
0,36,2,0,0,False
0,36,2,0,0,True
