Mac Stone,Martin Pistorius,Emilie Wapnick,Alice Bows-Larkin,Iraola,isPartial
22,0,0,0,8,False
9,0,0,0,11,False
12,0,0,0,5,False
10,0,0,0,9,False
13,0,0,0,8,False
11,0,0,0,10,False
6,0,0,0,8,False
10,0,0,0,11,False
8,0,0,0,9,False
10,0,0,0,6,False
8,0,0,0,4,False
9,0,0,0,9,False
10,0,0,0,7,False
14,0,0,0,7,False
7,0,0,0,5,False
15,0,0,0,5,False
10,0,0,0,5,False
7,0,0,0,4,False
10,0,0,0,4,False
11,0,0,0,4,False
12,0,0,0,8,False
6,0,0,0,9,False
13,0,0,0,8,False
8,0,0,0,7,False
11,0,0,0,5,False
13,0,0,0,6,False
9,0,0,0,11,False
10,0,0,0,5,False
10,0,0,0,7,False
10,0,0,0,8,False
12,0,0,0,8,False
7,0,0,0,7,False
13,0,0,0,6,False
9,1,0,0,6,False
14,0,0,0,6,False
14,0,0,0,9,False
15,0,0,0,7,False
13,0,0,0,9,False
10,0,0,0,10,False
12,0,0,0,6,False
13,0,0,0,6,False
14,0,0,0,8,False
14,0,0,0,5,False
14,0,0,0,6,False
14,0,0,0,9,False
10,0,0,0,8,False
15,0,0,0,5,False
15,0,0,0,8,False
19,0,0,0,6,False
16,1,0,0,8,False
16,1,0,0,8,False
17,0,0,0,9,False
20,0,0,0,8,False
20,1,0,0,5,False
23,0,0,0,6,False
25,0,0,0,10,False
25,0,0,0,10,False
20,0,0,0,8,False
20,0,0,0,8,False
23,0,0,0,8,False
30,0,0,0,8,False
25,1,0,0,8,False
22,0,0,0,7,False
27,0,0,0,8,False
23,0,0,0,8,False
25,0,0,0,7,False
31,0,0,0,7,False
30,0,0,0,8,False
24,0,0,0,11,False
23,0,0,0,9,False
26,0,0,0,9,False
33,1,0,0,9,False
32,0,0,0,10,False
29,1,0,0,7,False
25,0,0,0,7,False
24,0,0,0,7,False
24,0,0,0,7,False
27,0,0,0,8,False
30,0,0,0,5,False
29,0,0,0,7,False
26,0,0,0,9,False
28,0,0,0,10,False
26,0,0,0,12,False
27,0,0,0,8,False
30,0,0,0,8,False
25,0,0,0,9,False
24,0,0,0,11,False
28,0,0,0,8,False
29,0,0,0,9,False
31,0,0,0,8,False
34,1,0,0,7,False
33,0,0,0,10,False
30,0,0,0,9,False
28,0,0,0,7,False
25,1,0,0,8,False
29,0,0,0,7,False
31,0,0,0,7,False
27,0,0,0,7,False
22,1,0,0,16,False
24,1,0,0,8,False
23,1,0,0,11,False
26,1,0,0,7,False
27,1,0,0,7,False
25,1,0,0,7,False
26,1,0,0,7,False
23,1,0,0,7,False
21,1,0,0,6,False
23,1,0,0,7,False
24,1,0,0,7,False
22,5,0,0,7,False
19,1,0,0,6,False
20,1,0,0,7,False
19,1,0,0,6,False
21,1,0,0,6,False
19,1,0,0,7,False
19,1,0,0,7,False
18,0,0,0,7,False
18,1,0,0,7,False
16,0,0,0,7,False
15,1,0,0,7,False
18,1,0,0,7,False
16,1,0,0,7,False
16,3,0,0,7,False
16,3,0,0,5,False
16,1,0,0,6,False
12,1,0,0,6,False
13,1,0,0,6,False
15,1,0,0,9,False
16,2,0,0,9,False
15,2,0,0,8,False
14,1,0,0,7,False
16,0,0,0,6,False
18,100,0,0,6,False
16,45,0,0,7,False
14,16,0,0,9,False
14,9,0,0,10,False
14,12,0,0,29,False
19,8,0,0,11,False
19,4,0,0,14,False
22,4,0,0,9,False
23,11,0,0,8,False
28,11,5,0,6,False
29,7,2,0,6,False
32,4,1,0,6,False
32,6,1,0,7,False
31,4,1,0,5,False
27,3,1,0,6,False
25,2,1,0,6,False
22,3,1,0,7,False
22,4,1,0,7,False
18,4,0,0,8,False
17,7,0,0,5,False
17,4,1,0,6,False
18,3,0,0,6,False
18,4,0,0,8,False
18,6,0,0,6,False
18,3,0,0,5,False
16,3,1,0,5,False
14,4,1,0,5,False
12,3,0,0,5,False
12,10,1,0,6,False
14,4,1,0,5,False
13,6,1,0,5,False
12,7,0,0,4,False
12,3,0,0,4,False
11,5,0,0,4,False
12,3,1,0,4,False
12,3,0,0,3,False
11,3,1,0,5,False
9,4,1,0,5,False
10,5,1,0,5,False
9,5,1,0,4,False
10,3,1,0,5,False
8,2,1,0,5,False
9,6,1,0,4,False
10,3,0,0,5,False
13,3,1,0,5,False
9,2,1,0,5,False
10,4,1,0,4,False
8,2,0,0,4,False
10,3,0,0,4,False
8,3,1,0,5,False
7,2,1,0,4,False
8,2,0,0,5,False
7,2,1,0,5,False
8,2,0,0,4,False
7,2,1,0,5,False
8,2,0,0,5,False
9,2,0,0,4,False
8,2,0,0,5,False
7,2,0,0,5,False
7,2,0,0,4,False
8,2,0,0,7,False
7,2,0,0,13,False
7,2,0,0,6,False
10,1,1,0,4,False
9,5,0,0,4,False
7,8,0,0,5,False
7,6,0,0,8,False
8,3,1,0,8,False
7,9,1,0,5,False
7,5,0,0,5,True
