Maya Beiser,Bill Ford,Daniel Tammet,Jok Church,Iraola,isPartial
10,91,0,0,10,False
0,57,0,0,13,False
0,74,12,0,6,False
5,58,5,0,11,False
0,55,0,0,10,False
4,79,0,0,12,False
0,52,0,0,10,False
4,75,0,0,14,False
0,76,0,4,11,False
4,47,0,4,8,False
0,74,0,0,5,False
0,69,4,0,12,False
6,65,3,0,9,False
0,56,28,3,8,False
3,65,5,3,6,False
3,62,16,0,6,False
0,57,45,0,6,False
3,69,8,0,5,False
3,71,7,0,6,False
3,75,8,5,5,False
0,70,9,2,10,False
3,63,7,0,11,False
2,61,7,0,10,False
0,59,8,0,8,False
2,86,6,0,6,False
0,75,5,2,7,False
2,79,10,2,14,False
0,64,5,2,7,False
0,68,6,0,9,False
3,66,4,0,10,False
0,77,12,0,11,False
3,70,6,0,9,False
2,100,18,0,7,False
2,67,9,0,7,False
3,60,7,0,7,False
2,56,9,0,12,False
2,58,41,0,8,False
0,61,33,1,11,False
1,58,80,0,12,False
1,53,27,1,8,False
0,62,17,0,8,False
2,55,18,0,10,False
2,54,16,0,6,False
2,61,28,1,8,False
3,53,23,0,11,False
1,62,25,0,10,False
0,47,22,0,6,False
1,46,17,0,9,False
1,57,17,0,8,False
0,52,14,0,10,False
0,46,18,1,10,False
1,52,14,0,11,False
1,45,11,0,10,False
2,56,10,0,6,False
1,47,18,0,8,False
2,53,19,1,12,False
0,50,9,1,12,False
1,51,13,1,10,False
1,43,9,0,10,False
1,47,12,0,10,False
2,55,48,0,10,False
1,52,37,0,10,False
2,54,54,0,8,False
1,54,18,0,11,False
3,49,17,0,10,False
1,58,19,1,8,False
0,71,12,0,9,False
1,72,15,0,10,False
1,54,12,0,13,False
0,52,13,0,11,False
0,45,10,0,12,False
0,49,14,0,11,False
0,55,12,0,13,False
1,52,11,0,8,False
0,55,20,0,9,False
1,58,13,0,9,False
1,45,10,0,9,False
1,51,33,0,10,False
1,60,8,0,6,False
1,56,11,0,8,False
1,52,9,0,12,False
0,43,10,0,12,False
1,45,15,0,15,False
0,52,14,0,10,False
1,52,10,0,9,False
1,53,9,0,11,False
0,54,10,0,14,False
1,57,11,0,10,False
0,47,8,0,11,False
1,52,11,1,10,False
1,59,12,2,9,False
1,54,8,1,12,False
1,48,8,1,12,False
1,48,9,1,9,False
1,46,10,0,10,False
0,44,10,0,8,False
0,51,7,0,9,False
0,55,9,0,9,False
0,50,15,0,20,False
1,48,9,0,10,False
0,53,11,0,14,False
0,48,10,0,9,False
0,53,9,0,9,False
1,51,10,0,9,False
1,48,8,0,9,False
1,47,9,0,9,False
0,42,10,0,7,False
0,47,9,0,9,False
0,52,23,0,9,False
1,49,12,0,9,False
1,52,9,0,8,False
0,47,7,0,9,False
0,50,10,0,8,False
1,52,6,0,8,False
1,48,7,0,8,False
0,50,8,0,8,False
0,47,8,0,9,False
0,48,9,0,9,False
1,57,10,0,9,False
0,49,9,0,9,False
1,51,7,0,9,False
3,56,7,0,8,False
1,56,8,0,9,False
0,54,9,0,7,False
1,50,8,0,8,False
0,51,9,0,7,False
1,49,10,0,7,False
1,55,9,0,11,False
1,49,8,0,11,False
4,44,12,0,9,False
1,46,7,0,9,False
1,47,6,0,7,False
1,50,7,0,8,False
1,53,7,0,9,False
1,54,5,0,11,False
1,57,6,0,13,False
0,51,6,0,36,False
0,53,5,0,14,False
0,51,5,0,17,False
0,54,5,0,12,False
1,52,6,0,10,False
1,48,7,0,8,False
1,46,4,0,7,False
1,59,6,0,8,False
1,46,3,0,9,False
0,54,3,0,6,False
1,52,7,0,8,False
0,46,10,0,7,False
0,47,6,1,9,False
0,45,4,0,9,False
0,48,3,0,10,False
1,43,3,0,6,False
0,43,3,0,8,False
0,48,4,0,8,False
0,56,4,0,10,False
0,42,4,0,7,False
0,49,3,0,6,False
1,50,5,0,7,False
1,46,4,0,6,False
0,47,4,0,6,False
0,50,4,0,7,False
0,46,6,0,6,False
0,45,3,0,6,False
0,46,4,0,5,False
0,46,5,0,5,False
0,47,8,0,5,False
0,44,6,0,6,False
0,44,6,0,4,False
0,43,4,0,6,False
0,45,3,0,7,False
0,47,5,0,6,False
0,48,4,0,5,False
0,49,3,0,6,False
0,48,3,0,6,False
0,42,4,0,5,False
1,44,6,0,6,False
0,77,5,0,6,False
0,61,5,0,7,False
0,42,4,0,5,False
0,44,5,0,6,False
0,45,6,0,5,False
0,47,4,0,7,False
0,48,4,0,6,False
0,44,4,0,6,False
0,48,3,0,7,False
0,45,4,0,6,False
0,46,3,0,7,False
0,54,4,0,7,False
0,50,4,0,5,False
0,48,5,0,6,False
0,50,4,0,6,False
0,45,3,0,5,False
1,45,9,0,9,False
0,48,5,0,17,False
0,46,4,0,7,False
0,50,6,0,5,False
0,50,3,0,5,False
0,49,2,0,6,False
0,49,1,0,10,False
0,48,2,0,9,False
0,41,2,0,7,False
0,44,2,0,6,True
